BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
RATHBONE MANSIONS,1227 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BELLE MANSIONS LLC,3682458.19132,535751.679879,"(29.9671022269438, -90.0648967828842)"
WG CREOLE HOUSE,1724  CLIO ST,,NEW ORLEANS,LA,70113,4703 - BED & BREAKFAST INNS,WG CREOLE HOUSE,3679138.50799,526693.81171,"(29.9422967692081, -90.075694324818)"
DOUBLETREE NEW ORLEANS,300 CANAL ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"NORTHWEST AIRMOTIVE,INC",3682143.72834,529836.705729,"(29.9508476328934, -90.0660964437057)"
2028-30 IBERVILLE LLC,2028-30 IBERVILLE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2028-30 IBERVILLE LLC,,,
BUDGET INN EXPRESS,8542 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BUDGET INN EXPRESS,3707060.68638,553179.547799,"(30.0142505299718, -89.9865557173739)"
WYNDHAM GARDEN HOTEL,10100 I 10 SERVICE RD,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NOLA EAST HOTEL LLC,,,
FRENCHMEN ORLEANS AT 519,519 FRENCHMEN ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"LATOUR HOTELS & RESORTS, INC",3684789.48412,534323.479877,"(29.9631040034846, -90.0575847720349)"
2036-38 IBERVILLE,2036-38 IBERVILLE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"2036-38 IBERVILLE,LLC",,,
ALFREDS AWAY,800 COMMON ST,,NEW ORLEANS,LA,70112,"4704 - TRAVELER ACCOMMODATION, ALL OTH",ALFREDS AWAY LLC,3680543.81007,530518.449602,"(29.9527707550619, -90.0711244599928)"
HAMPTON INN & SUITES NEW ORLEANS-CONVENTION CENTER,1201 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"INTERSTATE MANAGMENT COMPANY, LLC",3682617.3261,525900.845757,"(29.9400109307209, -90.0647386517114)"
NOLA PLACE,616 LOUISA ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,JAMES F. EATON,3689101.40764,534158.973381,"(29.9625189583777, -90.043974118993)"
RESIDENCE INN BY MARRIOTT-[H/P],345 SAINT JOSEPH ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"RESIDENCE INN OF MARRIOTT, LLC.",,,
LUCKY INN HOTEL,3106 TAFT PARK,,METAIRIE,LA,70002,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"JAE INVESTMENTS, LLC",,,
CARRIE'S COOL PROPERTIES,2307 RIVERSIDE FARMS RD,#A,AUSTIN,TX,78741,4703 - BED & BREAKFAST INNS,ALTEMUS CARRIE J,,,
PETER AND PAUL HOTEL,143 ROEBLING ST,STE 2,BROOKLYN,NY,11211,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,PETER AND PAUL MT LLC,,,
THE TROUBADOUR,1111 GRAVIER,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"EHP NOLA HOTEL,LLC",,,
