State ,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
Connecticut,"Connecticut
(41.562661, -72.64984)",2.4,2.7,,,5.9,6.1,2.1,2.5,3.7,4.6,1.1,
Kentucky,"Kentucky
(37.645973, -84.774968)",4,3.9,1.8,2,7.2,7.8,3.7,3.4,6.5,6.5,1.5,1.3
South Dakota,"South Dakota
(44.35313, -100.373529)",5.7,5.6,,,,,,6.2,7.4,8.7,,
Oklahoma,"Oklahoma
(35.472031, -97.521068)",5.6,4,,,10.5,7.4,5.8,3.9,9.300000000000001,6,1.9,2.1
West Virginia,"West, Virginia
(38.665511, -80.712638)",5.6,4.7,,,12.9,10,4.4,4,9.300000000000001,7.1,,
Virginia,"Virginia
(37.542681, -78.457889)",2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.1,3.9,0.9,1.2
Iowa,"Iowa
(42.469401, -93.816487)",3.2,3,,,5.9,4.6,2.9,3.4,5.1,4.8,,
Louisiana,"Louisiana
(31.312663, -92.445678)",5.2,5.4,2.8,1.8,8.6,9.4,5.1,5.7,8.300000000000001,9.1,2.4,1.9
Tennessee,"Tennessee
(35.680941, -85.774487)",4.6,4.1,1.6,,8,8.2,4.9,4.1,7.5,6.8,1.8,1.5
Missouri,"Missouri
(38.635791, -92.566299)",4.8,3.4,1.9,,9.5,6.9,4.4,3.2,7.8,5.6,1.8,1.3
Georgia,"Georgia
(32.839683, -83.627579)",3,2.7,1,0.8,5.8,5.2,3.1,2.9,4.9,4.7,1.2,0.9
Texas,"Texas
(31.82724, -99.426768)",4.9,5.4,2.1,2.3,10,10,4.7,5.3,7.6,8.1,2.4,2.7
Maine,"Maine
(45.254229, -68.985026)",3.8,3.3,,,,,2.8,3.1,6.6,5.1,,
Mississippi,"Mississippi
(32.745513, -89.538027)",6.1,6,2.6,2.8,12,10.8,5.7,5.8,9.800000000000001,9.4,2.7,2.8
Colorado,"Colorado
(38.843843, -106.133609)",2.5,3,,1.7,5.6,5.6,2,2.6,3.9,4.6,1.1,1.3
Alabama,"Alabama
(32.840572, -86.631857)",5.5,5.5,2.7,2.1,10.3,10,5,5.5,8.4,8.6,2.9,2.6
Maryland,"Maryland
(39.290583, -76.60926)",2.7,2.2,1.6,,5.8,5.4,2.2,1.8,4.1,3.5,1.4,0.9
California,"California
(37.638642, -120.999996)",2,2.2,0.9,1,4.5,4.6,1.8,2,3.2,3.4,1,1.1
Idaho,"Idaho
(43.682632, -114.363727)",3.6,3.3,,,8.699999999999999,,2.7,3,5.8,4.8,,
Vermont,"Vermont
(43.625384, -72.517637)",3.4,,,,,,,,,,,
District of Columbia,"District of Columbia
(38.890373, -77.031957)",,,,,,,,,,,,
North Dakota,"North Dakota
(47.475319, -100.118428)",11.3,7.2,,,15.3,15.2,12,6.1,17.399999999999999,10.7,,
Wisconsin,"Wisconsin
(44.393191, -89.816366)",3.6,2.9,1.6,,6.5,7.5,3.5,2.3,5.6,4.8,1.6,1.2
Oregon,"Oregon
(44.56745, -120.155029)",2.2,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4
Hawaii,"Hawaii
(21.304852, -157.857748)",3.8,2.2,,,,,3.2,,5.7,3.6,,
Pennsylvania,"Pennsylvania
(40.793734, -77.860697)",3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1
Arizona,"Arizona
(34.865974, -111.763807)",3.6,3,1.6,,6.9,5.5,3.3,3.1,5.4,4.5,1.7,1.5
Washington,"Washington
(47.522288, -120.470028)",2.1,1.9,,,4,3.4,2,1.9,3.6,2.9,0.7,0.9
United States,"United States
(39.759996, -98.499999)",3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4
Alaska,"Alaska
(64.845078, -147.72206)",,2.8,,,,,,,,,,
New York,"New York
(42.827004, -75.543966)",1.7,1.6,0.6,0.7,3.3,3,1.7,1.5,2.7,2.4,0.8,0.8
Illinois,"Illinois
(40.485012, -88.997709)",2.5,2.4,0.7,0.7,6,5.5,2.1,2.2,4,3.7,1,1.3
South Carolina,"South Carolina
(33.998822, -81.045366)",7.6,5.8,2.8,2,14.2,12.4,7.6,5.3,12.3,9,3.2,2.9
Indiana,"Indiana
(39.766913, -86.149956)",3.6,3.2,1.2,,7.2,6.3,3.5,3.2,6,5.1,1.3,1.3
Utah,"Utah
(39.360701, -111.587128)",1.2,2,,,,,1.9,2.3,1.7,3,,
Nebraska,"Nebraska
(41.641044, -99.365719)",4,3.3,,,6.5,7,3.5,3,6.4,5,,
Massachusetts,"Massachusetts
(42.276874, -72.082687)",1.8,1.9,,,3.3,4,1.7,1.8,2.7,3.1,0.9,0.9
Montana,"Montana
(47.066528, -109.424416)",9.4,7.3,,,21.4,15.4,7.2,6.9,14.9,10.2,4,4.3
New Mexico,"New Mexico
(34.520881, -106.240578)",4.8,5.7,,,9.1,11.2,4.5,5.1,6.9,8.6,2.9,2.8
New Jersey,"New Jersey
(40.130571, -74.273688)",1.8,1.8,,,4.6,3.6,1.4,1.7,2.9,2.9,0.9,0.8
Wyoming,"Wyoming
(43.235541, -108.109827)",7.1,8.2,,,17.3,,,8.1,11.3,13.1,,
North Carolina,"North Carolina
(35.46622, -79.15925)",4.2,3.8,1.7,1.4,8,7.7,4,3.6,6.8,6.3,1.7,1.5
Ohio,"Ohio
(40.060212, -82.404257)",3.5,2.7,1.2,0.8,6.8,5.6,3.3,2.6,5.5,4.2,1.6,1.3
Delaware,"Delaware
(39.008834, -75.577736)",3.8,5.2,,,,11.7,4,4.6,6.6,7.4,,
Kansas,"Kansas
(38.347743, -98.200778)",3.4,3.6,2.3,,6,7.4,3,3.3,6,5.8,,1.4
Florida,"Florida
(28.932043, -81.928958)",3.7,3.5,1.2,1.2,8,7.4,3.3,3.1,5.7,5.4,1.7,1.7
New Hampshire,"New Hampshire
(43.655953, -71.500357)",2.4,2.4,,,,,2.9,,4.1,3.2,,
Minnesota,"Minnesota
(46.355649, -94.7942)",2.1,1.9,,,3.7,3.5,2.2,2.1,3.2,3,1.2,0.9
Arkansas,"Arkansas
(34.74865, -92.27449)",5.1,4.6,,,10.5,6.3,4.3,5.4,8.1,7.2,2.2,2.2
Michigan,"Michigan
(44.661322, -84.714386)",2.7,2.2,1.1,1,6.8,5.1,2,1.8,4.3,3.3,1.2,1.1
Rhode Island,"Rhode Island
(41.708281, -71.522466)",2.3,,,,,,,,,,,
Nevada,"Nevada
(39.493242, -117.071839)",2.8,3.3,,,4.6,6.4,3.2,2.7,4.2,4.9,1.4,1.7
