Report Date,Borough,Community Districts,Census Type,Adult Family Comm Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Comm Hotel,Family Cluster,Family with Children Comm Hotel,Family with Chidren Shelter
07/31/2018,Bronx,1,Individuals,,183,219,,169,74,1206
07/31/2018,Bronx,2,Individuals,,184,,,244,,960
07/31/2018,Bronx,3,Individuals,,146,424,,260,280,1347
07/31/2018,Bronx,4,Individuals,,,419,62,1655,,1970
07/31/2018,Bronx,5,Individuals,,264,493,,925,,1045
07/31/2018,Bronx,6,Individuals,,52,120,69,524,,2161
07/31/2018,Bronx,7,Individuals,,96,391,,395,,320
07/31/2018,Bronx,8,Individuals,,,,,,,274
07/31/2018,Bronx,9,Individuals,,,101,,561,,212
07/31/2018,Bronx,10,Individuals,,,,,,,575
07/31/2018,Bronx,11,Individuals,,,,,,,
07/31/2018,Bronx,12,Individuals,,,98,,270,,299
07/31/2018,Brooklyn,1,Individuals,,164,682,,,109,
07/31/2018,Brooklyn,2,Individuals,,205,386,,,,71
07/31/2018,Brooklyn,3,Individuals,,,562,,242,171,647
07/31/2018,Brooklyn,4,Individuals,,,364,65,60,175,811
07/31/2018,Brooklyn,5,Individuals,,,849,259,2,238,819
07/31/2018,Brooklyn,6,Individuals,,,97,286,,,
07/31/2018,Brooklyn,7,Individuals,,,188,88,,538,13
07/31/2018,Brooklyn,8,Individuals,,48,571,,40,116,518
07/31/2018,Brooklyn,9,Individuals,,,362,,24,,428
07/31/2018,Brooklyn,10,Individuals,,,,,,,
07/31/2018,Brooklyn,11,Individuals,,,,,,,
07/31/2018,Brooklyn,12,Individuals,,,,,,,164
07/31/2018,Brooklyn,13,Individuals,,,,,,77,
07/31/2018,Brooklyn,14,Individuals,,,,,,,98
07/31/2018,Brooklyn,15,Individuals,,40,,,,,211
07/31/2018,Brooklyn,16,Individuals,,,664,118,21,352,2486
07/31/2018,Brooklyn,17,Individuals,,,,137,11,,796
07/31/2018,Brooklyn,18,Individuals,,361,,,,,865
07/31/2018,Manhattan,1,Individuals,,,,,,132,
07/31/2018,Manhattan,2,Individuals,,,,,,,
07/31/2018,Manhattan,3,Individuals,,,882,244,36,231,383
07/31/2018,Manhattan,4,Individuals,,304,267,,,596,
07/31/2018,Manhattan,5,Individuals,,260,,,,1796,324
07/31/2018,Manhattan,6,Individuals,,,989,,,,
07/31/2018,Manhattan,7,Individuals,,186,309,,,110,606
07/31/2018,Manhattan,8,Individuals,,,78,,,,
07/31/2018,Manhattan,9,Individuals,,67,,,55,,792
07/31/2018,Manhattan,10,Individuals,,398,558,,46,,851
07/31/2018,Manhattan,11,Individuals,,,1144,,255,,686
07/31/2018,Manhattan,12,Individuals,,,289,,,120,
07/31/2018,Queens,1,Individuals,,,200,,,227,335
07/31/2018,Queens,2,Individuals,,106,,53,,332,230
07/31/2018,Queens,3,Individuals,,,,90,,,881
07/31/2018,Queens,4,Individuals,,,,135,,109,369
07/31/2018,Queens,5,Individuals,,,,94,,,
07/31/2018,Queens,6,Individuals,,,,,,,
07/31/2018,Queens,7,Individuals,,,100,,,137,
07/31/2018,Queens,8,Individuals,,,,,,,318
07/31/2018,Queens,9,Individuals,,,,,,206,
07/31/2018,Queens,10,Individuals,391,,174,64,,408,
07/31/2018,Queens,11,Individuals,,,,,,,
07/31/2018,Queens,12,Individuals,,275,357,825,,745,1049
07/31/2018,Queens,13,Individuals,,,,430,,302,761
07/31/2018,Queens,14,Individuals,,302,,,,166,
07/31/2018,Staten Island,1,Individuals,,,,,,,141
07/31/2018,Staten Island,2,Individuals,,,,,,,
07/31/2018,Staten Island,3,Individuals,,,,,,,
08/31/2018,Bronx,1,Individuals,,184,212,,160,76,1231
08/31/2018,Bronx,2,Individuals,,188,,,266,,967
08/31/2018,Bronx,3,Individuals,,154,426,,242,300,1361
08/31/2018,Bronx,4,Individuals,,,431,74,1601,,1947
08/31/2018,Bronx,5,Individuals,,264,492,,898,,1067
08/31/2018,Bronx,6,Individuals,,84,121,80,544,,2252
08/31/2018,Bronx,7,Individuals,,95,539,,409,,336
08/31/2018,Bronx,8,Individuals,,,,,,,272
08/31/2018,Bronx,9,Individuals,,,100,,526,,223
08/31/2018,Bronx,10,Individuals,,,,,,,578
08/31/2018,Bronx,11,Individuals,,,,,,,
08/31/2018,Bronx,12,Individuals,,,107,,277,,300
08/31/2018,Brooklyn,1,Individuals,,172,668,,,105,
08/31/2018,Brooklyn,2,Individuals,,191,383,,,,72
08/31/2018,Brooklyn,3,Individuals,,,558,,233,205,704
08/31/2018,Brooklyn,4,Individuals,,,363,65,64,181,796
08/31/2018,Brooklyn,5,Individuals,,,843,259,,238,830
08/31/2018,Brooklyn,6,Individuals,,,96,278,,,
08/31/2018,Brooklyn,7,Individuals,,,182,87,,554,13
08/31/2018,Brooklyn,8,Individuals,,50,543,,42,126,517
08/31/2018,Brooklyn,9,Individuals,,,345,,20,,438
08/31/2018,Brooklyn,10,Individuals,,,,,,,
08/31/2018,Brooklyn,11,Individuals,,,,,,,
08/31/2018,Brooklyn,12,Individuals,,,,,,,155
08/31/2018,Brooklyn,13,Individuals,,,,,,68,
08/31/2018,Brooklyn,14,Individuals,,,,,,,97
08/31/2018,Brooklyn,15,Individuals,,,,,,,218
08/31/2018,Brooklyn,16,Individuals,,,663,120,17,374,2508
08/31/2018,Brooklyn,17,Individuals,,,,133,,,820
08/31/2018,Brooklyn,18,Individuals,,373,,,,,871
08/31/2018,Manhattan,1,Individuals,,,,,,140,
08/31/2018,Manhattan,2,Individuals,,,,,,,
08/31/2018,Manhattan,3,Individuals,,,876,239,40,222,367
08/31/2018,Manhattan,4,Individuals,,300,263,,,624,
08/31/2018,Manhattan,5,Individuals,,281,,,,1815,335
08/31/2018,Manhattan,6,Individuals,,,991,,,,
08/31/2018,Manhattan,7,Individuals,,176,304,,,112,579
