INSPECTION_NO,INSPECTION_DATE,VIOLATIONS,WARNINGS
1092316101846,09/02/2016 10:00:00 AM,0,0
1090919072906,09/06/2019 03:50:00 PM,0,0
1012820085411,01/13/2020 05:45:00 PM,0,0
1102810083047,10/27/2010 03:50:00 PM,0,0
1061511081542,06/14/2011 11:05:00 AM,0,0
1082813112001,08/23/2013 07:50:00 AM,0,0
1022317074222,02/22/2017 05:50:00 PM,0,0
1050713161518,05/07/2013 07:25:00 AM,0,0
1021511130908,02/14/2011 08:00:00 AM,0,0
1121911145414,12/16/2011 08:20:00 AM,0,1
1121911145414,12/16/2011 08:20:00 AM,0,1
1121911145414,12/16/2011 08:20:00 AM,0,1
1021815124958,02/14/2015 07:30:00 AM,0,0
1061418070701,06/01/2018 03:40:00 PM,0,0
1121415091032,12/10/2015 03:00:00 PM,0,0
1041513131259,04/03/2013 11:35:00 AM,0,0
1022620071444,02/14/2020 04:15:00 PM,0,0
1102214105922,10/02/2014 11:30:00 AM,0,0
1022807133438,02/27/2007 05:56:00 PM,0,0
1122118085922,12/19/2018 05:15:00 PM,0,0
1120517120042,12/05/2017 12:40:00 AM,0,0
1032513090049,03/21/2013 05:40:00 PM,0,0
1031308133301,03/13/2008 08:40:00 AM,0,0
1052207212727,05/22/2007 04:30:00 AM,0,0
1011413093804,12/06/2012 10:00:00 AM,0,0
1100209133153,10/02/2009 01:05:00 AM,0,0
1041514092503,04/06/2014 10:00:00 AM,0,0
1091109094645,09/10/2009 04:20:00 PM,0,0
1041913124346,04/18/2013 04:55:00 PM,0,0
1010615120458,12/30/2014 04:35:00 PM,0,0
1110613100909,10/29/2013 08:00:00 AM,0,0
1103007150535,10/09/2007 03:51:00 PM,0,0
1123114091919,12/26/2014 09:30:00 AM,0,0
1101116123357,09/22/2016 04:30:00 PM,0,0
1022213130010,02/07/2013 03:50:00 PM,0,0
1021608061755,02/16/2008 01:25:00 AM,0,0
1071612092530,07/13/2012 09:10:00 AM,0,0
1113010083400,11/29/2010 07:20:00 AM,0,0
1122911122305,12/29/2011 02:05:00 AM,0,0
1082710075705,08/26/2010 09:00:00 AM,0,0
1090809131230,09/05/2009 09:30:00 AM,0,0
1011011140557,01/07/2011 09:20:00 PM,0,0
1062714103509,06/26/2014 07:30:00 AM,0,0
1063015105720,06/29/2015 08:25:00 AM,0,0
1020916130251,02/04/2016 05:40:00 PM,0,0
1041814150554,04/11/2014 10:10:00 AM,0,0
1031816084559,03/15/2016 07:35:00 AM,0,0
1021119074736,02/04/2019 04:50:00 PM,0,0
1121714084629,12/05/2014 05:02:00 PM,0,0
1103117100249,10/27/2017 06:05:00 PM,0,0
1062218085549,06/22/2018 09:30:00 AM,0,0
1110615115121,11/02/2015 02:30:00 AM,0,0
1082108060630,08/20/2008 09:45:00 AM,0,0
1091819073840,09/17/2019 05:20:00 PM,0,0
1053113113035,05/20/2013 09:40:00 AM,0,0
1112318082139,11/21/2018 10:50:00 AM,0,0
1112315133203,11/19/2015 04:00:00 PM,0,0
1122109084440,12/18/2009 08:55:00 AM,0,0
1040314141108,03/17/2014 03:50:00 PM,0,0
1031115120320,03/03/2015 10:05:00 AM,0,0
1081007102906,07/27/2007 07:30:00 AM,0,0
1102212153115,10/19/2012 08:00:00 AM,0,0
1101107134129,10/11/2007 08:45:00 AM,0,0
1060314140038,05/28/2014 10:55:00 AM,0,0
1022513123856,02/22/2013 10:40:00 AM,0,0
1092010091233,09/17/2010 07:30:00 AM,0,0
1121416080802,11/23/2016 08:45:00 AM,0,0
1032112100053,03/21/2012 01:35:00 AM,0,0
1040618080610,03/15/2018 11:50:00 AM,0,0
1080916092015,07/18/2016 09:05:00 AM,0,0
1090409094813,09/04/2009 02:55:00 AM,0,0
1082707110020,08/15/2007 08:20:00 AM,0,0
1031407213438,03/14/2007 04:21:00 PM,0,0
1081919063400,08/16/2019 03:10:00 PM,0,0
1111809092731,11/17/2009 09:50:00 AM,0,0
1010617124148,01/05/2017 09:05:00 AM,0,0
1112907213409,11/29/2007 03:30:00 PM,0,0
1120219092207,11/29/2019 11:35:00 AM,0,0
1060214092327,05/23/2014 11:50:00 AM,0,0
1051011110810,05/08/2011 11:20:00 PM,0,0
1021119091120,02/05/2019 04:10:00 PM,0,0
1090209080839,09/01/2009 07:35:00 AM,0,0
1013114065718,01/30/2014 08:25:00 AM,0,0
1112818084529,11/26/2018 04:35:00 PM,0,0
1081109074306,08/10/2009 08:35:00 AM,0,0
1122116063228,12/12/2016 02:15:00 AM,0,0
1021120111023,02/10/2020 11:20:00 PM,0,0
1022613131535,02/04/2013 04:05:00 PM,0,0
1032715122315,03/19/2015 03:05:00 AM,0,0
1112408205802,11/24/2008 03:40:00 PM,0,0
1042611083645,04/25/2011 08:50:00 AM,0,0
1031010125415,03/09/2010 07:55:00 AM,0,0
1080817093346,08/03/2017 01:10:00 AM,0,0
1101711095545,10/14/2011 08:09:00 AM,0,0
1030112102942,02/29/2012 12:35:00 AM,0,0
1102814121125,10/23/2014 05:20:00 PM,0,0
1050710135631,05/06/2010 03:40:00 PM,0,0
1122211105326,12/21/2011 07:40:00 AM,0,0
1030620072604,03/01/2020 12:30:00 PM,0,0
1062013115731,06/17/2013 05:00:00 PM,0,0
1060612112700,06/04/2012 07:15:00 AM,0,0
1121613073545,12/13/2013 06:50:00 AM,0,0
1080514094416,07/30/2014 02:45:00 AM,0,0
1041910084327,04/16/2010 08:30:00 AM,0,0
1092514111506,09/09/2014 07:45:00 AM,0,0
1011019073909,01/04/2019 03:45:00 PM,0,0
1070114114904,06/20/2014 09:25:00 AM,0,1
1051718080944,05/15/2018 08:05:00 AM,0,0
1011818111341,01/16/2018 12:00:00 AM,0,0
1111010092108,11/09/2010 07:30:00 AM,0,0
1072511125107,07/22/2011 09:10:00 AM,0,0
1011119104908,01/11/2019 01:00:00 AM,0,0
1101614110033,10/08/2014 08:05:00 AM,0,0
1081114092152,08/01/2014 07:20:00 AM,0,0
1112519084244,11/23/2019 08:35:00 AM,0,0
1050614111852,04/27/2014 06:50:00 AM,0,0
1083109140534,08/31/2009 10:30:00 AM,0,0
1021607132320,02/16/2007 09:50:00 AM,0,0
1022819084030,02/26/2019 07:05:00 AM,0,0
1041211095908,04/11/2011 09:00:00 AM,0,0
1120313114725,10/18/2013 09:10:00 AM,0,0
1041619124022,04/14/2019 07:05:00 AM,0,0
1030810073858,03/05/2010 01:10:00 PM,0,0
1010810102408,01/07/2010 09:15:00 AM,0,0
1052207124214,05/14/2007 01:16:00 AM,0,0
1021418064308,02/02/2018 08:45:00 AM,0,0
1050516114749,04/27/2016 10:15:00 AM,0,0
1041707060346,04/14/2007 08:56:00 AM,0,0
1080509103424,08/04/2009 03:35:00 PM,0,0
1081016093307,07/28/2016 06:00:00 PM,0,0
1120216125014,10/04/2016 02:00:00 AM,0,0
1122216112522,12/09/2016 02:40:00 AM,0,0
1052708132313,05/27/2008 09:50:00 AM,0,0
1041020073451,04/09/2020 06:40:00 AM,0,0
1121416061736,11/23/2016 12:50:00 PM,0,0
1043013103317,04/29/2013 12:05:00 PM,0,0
1090419063821,09/03/2019 09:05:00 AM,0,0
1121213080654,12/11/2013 03:45:00 PM,0,0
1110218120737,10/19/2018 06:05:00 PM,0,0
1032513092513,03/21/2013 09:35:00 AM,0,0
1122815114955,12/28/2015 01:45:00 AM,0,0
1112913113134,11/25/2013 09:45:00 AM,0,0
1040411100021,04/02/2011 06:50:00 AM,0,0
1092514100845,09/09/2014 12:15:00 PM,0,0
1032320074523,03/17/2020 07:45:00 PM,0,0
1022118065939,02/07/2018 08:00:00 PM,0,0
1090607132319,09/06/2007 11:30:00 AM,0,0
1040314121917,03/21/2014 04:20:00 PM,0,0
1020508132224,02/04/2008 08:40:00 AM,0,1
1110613081120,11/04/2013 10:45:00 AM,0,0
1112713113630,11/04/2013 12:00:00 PM,0,0
1121313082852,12/12/2013 07:05:00 AM,0,0
1121213103314,12/07/2013 06:40:00 AM,0,0
1082718091422,08/24/2018 10:50:00 AM,0,0
1012811081237,01/25/2011 04:00:00 PM,0,0
1020119092618,01/03/2019 08:35:00 AM,0,0
1122619074020,12/20/2019 05:40:00 PM,0,0
1013113081854,01/02/2013 03:00:00 PM,0,0
1010819103701,01/07/2019 10:35:00 AM,0,0
1021907081534,02/18/2007 09:41:00 AM,0,0
1040912124500,04/07/2012 11:25:00 AM,0,0
1092209084934,09/18/2009 10:30:00 AM,0,0
1091613103804,09/11/2013 10:25:00 AM,0,0
1100118122959,09/14/2018 02:05:00 AM,0,0
1031111091542,03/10/2011 12:20:00 PM,0,0
1070111142938,07/01/2011 11:05:00 AM,0,0
1060817071356,06/07/2017 09:15:00 AM,0,0
1060513083940,06/03/2013 03:00:00 PM,0,0
1010515123938,12/31/2014 02:35:00 PM,0,0
1032508133130,03/25/2008 09:00:00 AM,0,0
1101514114337,10/09/2014 04:25:00 PM,0,0
1020212125529,02/01/2012 08:25:00 AM,0,0
1010711092851,01/06/2011 08:20:00 AM,0,0
1072015130614,07/15/2015 06:00:00 PM,0,0
1123114130113,12/26/2014 12:55:00 AM,0,0
1100813121906,09/24/2013 09:40:00 AM,0,0
1012914092055,01/21/2014 12:05:00 AM,0,0
1101316083523,09/28/2016 12:45:00 AM,0,0
1112219070822,11/21/2019 11:00:00 AM,0,0
1031114100551,03/05/2014 06:45:00 AM,0,0
1043007212858,04/30/2007 05:01:00 PM,0,0
1102708211035,10/24/2008 03:40:00 PM,0,0
1033116122431,03/30/2016 11:25:00 AM,0,0
1050516125221,04/25/2016 09:45:00 AM,0,0
1071414083320,07/02/2014 04:50:00 PM,0,0
1011316155950,01/02/2016 10:15:00 AM,0,0
1111615111709,11/05/2015 10:30:00 PM,0,0
1030817093437,03/07/2017 08:50:00 AM,0,0
1050714133032,04/30/2014 10:35:00 AM,0,0
