School Code,Borough Name,DOB#,Inspection Category,Inspection Date,Date Requested,Request Status Description
HS047R,STATEN ISLAND,500871746,PLUMBING,04/16/2020 11:31:00 AM,04/16/2020 11:30:34 AM,COMPLETED
HS122K,BROOKLYN,,POWERANDLIGHTING,04/02/2020 02:00:00 PM,03/09/2020 04:11:13 PM,CANCELLED
HS122K,BROOKLYN,,POWERANDLIGHTING,04/16/2020 09:00:00 AM,04/15/2020 11:49:12 PM,COMPLETED
HS157M,MANHATTAN,104212790,POWERANDLIGHTING,04/30/2020 09:00:00 AM,04/23/2020 05:47:43 PM,OPEN
HS260X,BRONX,201200565,PLUMBING,04/02/2020 06:00:00 PM,04/02/2020 12:42:28 PM,COMPLETED
HS288M,MANHATTAN,103645511,MASONRY,04/10/2020 10:00:00 AM,02/26/2020 07:22:21 PM,CANCELLED
HS288M,MANHATTAN,103645511,ROOFING,04/10/2020 10:00:00 AM,02/26/2020 07:23:02 PM,CANCELLED
HS332X,BRONX,201200048,PLUMBING,04/13/2020 02:45:00 PM,04/13/2020 11:53:23 AM,COMPLETED
HS400Q,QUEENS,421105850,PLUMBING,04/07/2020 07:10:00 AM,04/07/2020 07:05:41 AM,COMPLETED
HS400Q,QUEENS,,LOWVOLTAGE,04/27/2020 09:00:00 AM,04/23/2020 03:57:08 PM,OPEN
HS400Q,QUEENS,,POWERANDLIGHTING,04/03/2020 04:00:00 PM,04/03/2020 10:50:43 AM,COMPLETED
HS402M,MANHATTAN,102416798,LOWVOLTAGE,04/08/2020 09:00:00 AM,03/24/2020 01:33:17 PM,CANCELLED
HS402M,MANHATTAN,102416798,POWERANDLIGHTING,04/08/2020 09:00:00 AM,03/19/2020 10:06:58 AM,CANCELLED
HS402M,MANHATTAN,102416798,ROOFING,04/27/2020 01:00:00 PM,04/21/2020 02:23:04 PM,COMPLETED
HS402M,MANHATTAN,102416798,SPRINKLERSTANDPIPE,04/14/2020 05:45:00 PM,04/14/2020 02:25:19 PM,COMPLETED
HS402M,MANHATTAN,103650229,ARCHITECTURAL,04/16/2020 12:00:00 PM,03/13/2020 03:36:21 PM,CANCELLED
HS403X,BRONX,201200235,MASONRY,04/01/2020 10:00:00 AM,03/31/2020 02:53:41 PM,COMPLETED
HS403X,BRONX,201200235,MASONRY,04/09/2020 01:00:00 PM,04/07/2020 09:32:05 AM,COMPLETED
HS403X,BRONX,201200235,MASONRY,04/16/2020 01:00:00 PM,04/09/2020 10:13:36 AM,COMPLETED
HS403X,BRONX,201200235,MASONRY,04/23/2020 01:00:00 PM,04/16/2020 04:05:05 PM,COMPLETED
HS403X,BRONX,201200235,MASONRY,04/30/2020 01:00:00 PM,04/21/2020 03:49:50 PM,COMPLETED
HS403X,BRONX,201200235,PLUMBING,04/01/2020 01:00:00 PM,03/31/2020 05:49:32 PM,COMPLETED
HS405K,BROOKLYN,,LOWVOLTAGE,04/06/2020 02:00:00 PM,03/12/2020 01:57:48 PM,CANCELLED
HS405K,BROOKLYN,,POWERANDLIGHTING,04/06/2020 01:00:00 PM,03/12/2020 01:59:44 PM,CANCELLED
