PermitNumber,ApplicationTrackingID,SequenceNumber,ApplicationTypeShortDesc,PermitStatusID,PermitStatusShortDesc,PermitSeriesID,PermitSeriesShortDesc,PermitTypeID,PermitTypeDesc,SpecificStipulations,PermitIssueDate,IssuedWorkStartDate,IssuedWorkEndDate,BoroughName,OnStreetName,FromStreetName,ToStreetName,PermitteeName,CreatedOn,ModifiedOn
QIB2018124A00,2018040300961620,0001,New,906,VOIDED AFTER ISSUE,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Only 1 bus(es)  permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the Department. Permittee must follow all applicable laws and rules, including but not limited to section 1642-a of the NYS Vehicle and Traffic Law and section 4-10(d) of Title 34 of the Rules of the City of New York.",05/04/2018,05/04/2018,05/04/2019,QUEENS,HORACE HARDING EXPRESSWAY,190 STREET,194 STREET,"M&V Corporate Transportation, Inc.",05/04/2018,05/04/2018
2015082074,ICBPS-20150820-74,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",10/17/2015,10/17/2015,10/17/2016,MANHATTAN,3 AVENUE,EAST   85 STREET,EAST   86 STREET,Hampton Transportation Ventures Inc.,08/20/2015,02/09/2018
MIB2019066A00,2019030100646830,0001,New,006,ISSUED & PRINTED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Only 1 bus(es) permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the NYC DOT. Permittee must follow all applicable laws and rules, including but not limited to section 4-10 of Title 34 of the Rules of the City of New York.",03/07/2019,03/07/2019,03/07/2021,MANHATTAN,PIKE STREET,HENRY STREET,MADISON STREET,S & F Travel Inc.,03/07/2019,03/07/2019
2016100899,ICBPS-20161008-99,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2017,01/10/2017,01/10/2018,BROOKLYN,PROSPECT PARK WEST,2 STREET,3 STREET,"Hampton Jitney, Inc.",10/08/2016,03/30/2018
20171015141,ICBPS-20171015-141,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,3 AVENUE,EAST   79 STREET,EAST   80 STREET,"Hampton Jitney, Inc.",10/15/2017,01/10/2019
20171128184,ICBPS-20171128-184,0001,Renew,006,ISSUED & PRINTED,IB,BUS STOP PERMITS,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/11/2018,01/11/2018,01/11/2021,MANHATTAN,BOWERY,BAYARD STREET,PELL STREET,Soe Tour Inc.,11/28/2017,07/17/2018
20130823135,ICBPS-20130823-135,0001,Renew,030,EXPIRED,IB,Bus Stop,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2014,01/10/2014,01/10/2017,MANHATTAN,EAST   86 STREET,LEXINGTON AVENUE,PARK AVENUE,"Hampton Jitney, Inc.",08/23/2013,02/09/2018
20161118128,ICBPS-20161118-128,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",02/28/2017,02/28/2017,09/19/2018,MANHATTAN,WEST   36 STREET,7 AVENUE,8 AVENUE,"Q.T. Transport, Inc.",11/18/2016,01/04/2019
2018011622,ICBPS-20180116-22,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/30/2018,01/30/2018,01/10/2019,MANHATTAN,LEXINGTON AVENUE,EAST   76 STREET,EAST   77 STREET,"Hampton Jitney, Inc.",01/16/2018,01/10/2019
20171015140,ICBPS-20171015-140,0001,Renew,030,EXPIRED,IB,Bus Stop Permit,IB01,Intercity Bus Stop Permit,"Pursuant to our guidelines only 1 bus is permitted at any given time. Upon request, provide a copy of the approved schedule signed-off by the department.",01/10/2018,01/10/2018,01/10/2019,MANHATTAN,3 AVENUE,EAST   72 STREET,EAST   73 STREET,"Hampton Jitney, Inc.",10/15/2017,01/10/2019
