PERMIT_ID,CALENDAR_YEAR,FISCAL_YEAR,PERMIT_LOCATION_NAME,PERMIT_NUMBER,PERMIT_CONDITION,PERMIT_DESCRIPTION,PERMIT_IN_DATE,PERMIT_EXPIRE_DATE,PERMIT_FINAL_DATE,PERMIT_PARENT_ID,PERMIT_STATUS,PERMIT_SUB_TYPE,PERMIT_WORK_TYPE,INSTALLATION_DATE,REMOVAL_DATE,BANNER_DIRECTION,BANNER_LOCATION,ENGINEERING_REQ,ILLUMINATION_TYPE,SIGN_IN_ETJ,SIGN_VARIANCE_REQ,SUBMITTED_501C3,TOTAL_SIGN_FACE_AREA,CITY,STATE,ZIP_CODE,COUNCIL_DISTRICT,LATITUDE,LONGITUDE,APPLICANT_NAME,APPLICANT_ORGANIZATION,geocoded_column,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
12447141,FY 2020,FY 2020,1216 1/2 S. Lamar Blvd.,2020-052137 SB,,"OTS Banner. ""Cap10k"". Linker #7. 03/29/21-04/12/21.",03/30/2020 08:31:03 AM,03/30/2021 08:31:04 AM,,12447123,In Review,Banner Permit,Banner,,,North,1216 1/2 S. Lamar Blvd.,,,,,,,,,,,,,Christopher Thibert,Austin American-Statesman,,,,,,,
12125726,FY 2019,FY 2019,,2019-014258 SB,,"12 LP Banners. ""Austin 311 Promotion"". 4/29/19-5/13/19.@ RED_RIVER (A, B)",01/25/2019 04:32:20 PM,01/25/2020 04:32:20 PM,,,In Review,Banner Permit,Lamp Post,,05/13/2019 12:00:00 AM,,,,,,,,,,,,,,,Paul Bestgen,Austin 311,,,,,,,
12447123,FY 2020,FY 2020,200 1/2 S. Congress Ave.,2020-052127 SB,,"OTS Banner. ""Cap10k"". Linker #61. 03/29/21-04/12/21.",03/30/2020 08:24:36 AM,03/30/2021 08:24:36 AM,,,In Review,Banner Permit,Banner,,,North,200 1/2 S. Congress Ave.,,,,,,,,,,,,,Christopher Thibert,Austin American-Statesman,,,,,,,
12329575,FY 2019,FY 2019,6905 N FM 620 ROAD,2019-193913 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,RBFCU6905 FM 620 N,09/30/2019 02:28:22 PM,10/12/2020 12:00:00 AM,,,Active,Sign Permit,Freestanding,,,,,true,Internal,false,false,,60,AUSTIN,TX,78730,6,30.40151944,-97.85373902,Ms. Ann Lewis,LEWIS SIGN,,,,,,,
12447132,FY 2020,FY 2020,4199 1/2 N. Lamar Blvd.,2020-052132 SB,,"OTS Banner. ""Cap10k"". Linker #8. 03/29/21-04/12/21.",03/30/2020 08:28:27 AM,03/30/2021 08:28:27 AM,,12447123,In Review,Banner Permit,Banner,,,South,4199 1/2 N. Lamar Blvd.,,,,,,,,,,,,,Christopher Thibert,Austin American-Statesman,,,,,,,
11958015,FY 2018,FY 2018,801 1/2 E. 51st St.,2018-097090 SB,,"OTS Banner. ""Purple Martin Parties"". Linker 53. 7/9/18-7/23/18.",06/05/2018 08:57:23 AM,12/02/2018 08:57:24 AM,,,Expired,Banner Permit,Banner,,,East,801 1/2 E. 51st St.,,,,,,,,,,,,,Nicole Netherton,Travis Audubon Society,,,,,,,
12425072,FY 2020,FY 2020,11410 CENTURY OAKS TERRACE Bunit 144,2020-033038 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,Install channel letters. Blue Sushi Sake Grill. Northwest elevation,02/25/2020 09:59:20 AM,08/23/2020 09:59:21 AM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,32,AUSTIN,TX,78758,7,30.4016842,-97.72673724,Mr Kevin Hull,Texas Custom Signs,,,,,,,
12370266,FY 2019,FY 2020,7400 N LAMAR BOULEVARD,2019-228789 SB,Sign area may not exceed UNO-20% of facade area of first 15 ft. of bldg. height,THE MAGNOLIAINTERNALLY ILLUMINATED WALL SIGN,11/26/2019 11:28:32 AM,03/24/2020 11:28:13 AM,03/24/2020 11:28:13 AM,,Final,Sign Permit,Wall,,,,,true,Internal,false,false,,72,AUSTIN,TX,78752,7,30.34181142,-97.71727908,Ms. Ann Lewis,LEWIS SIGN,,,,,,,
12118521,FY 2019,FY 2019,6000FM 969 ROAD,2019-008086 SB,Sign area may not exceed Commercial-20% of facade area of first 15 ft. of bldg. height,install new 7-11 wall sign,01/14/2019 10:58:07 AM,09/20/2020 12:00:00 AM,,,Active,Sign Permit,Wall,,,,,false,Internal,false,false,,117,AUSTIN,TX,78724,1,30.28612296,-97.66388453,Chris Wilke,Baker's Signs & Manufacturing Inc,,,,,,,
12434280,FY 2020,FY 2020,10601 N FM 620 ROAD Unit 103,2020-040867 SB,Sign area may not exceed Scenic Roadway-10% of facade area of first 15 ft. of bldg. height,new wall sign for Donut4U sign B,03/10/2020 01:54:07 PM,09/06/2020 01:54:07 PM,,,Active,Sign Permit,Wall,,,,,true,Internal,false,false,,30,AUSTIN,TX,78726,6,30.44421335,-97.83214285,Claudia Salguero,,,,,,,,
