Location_No,Report_Date,Indicator_Name,Indicator_Value
13,01/01/2018,Cash Assistance Application Timeliness,0.9869
18,01/01/2018,Cash Assistance Application Timeliness,0.9921
23,01/01/2018,Cash Assistance Application Timeliness,0.9785
35,01/01/2018,Cash Assistance Application Timeliness,0.9475
38,01/01/2018,Cash Assistance Application Timeliness,0.9515
40,01/01/2018,Cash Assistance Application Timeliness,0.9879
44,01/01/2018,Cash Assistance Application Timeliness,0.9834
45,01/01/2018,Cash Assistance Application Timeliness,0.8683
46,01/01/2018,Cash Assistance Application Timeliness,0.684
47,01/01/2018,Cash Assistance Application Timeliness,0.9851
53,01/01/2018,Cash Assistance Application Timeliness,0.9679
54,01/01/2018,Cash Assistance Application Timeliness,0.9865
63,01/01/2018,Cash Assistance Application Timeliness,1
64,01/01/2018,Cash Assistance Application Timeliness,0.9369
66,01/01/2018,Cash Assistance Application Timeliness,0.9388
67,01/01/2018,Cash Assistance Application Timeliness,0.8434
70,01/01/2018,Cash Assistance Application Timeliness,0.9735
79,01/01/2018,Cash Assistance Application Timeliness,0.9745
99,01/01/2018,Cash Assistance Application Timeliness,0.9781
13,01/01/2018,SNAP Application Timeliness,0.9103
18,01/01/2018,SNAP Application Timeliness,0.9871
23,01/01/2018,SNAP Application Timeliness,0.9932
35,01/01/2018,SNAP Application Timeliness,0.9882
38,01/01/2018,SNAP Application Timeliness,0.9363
40,01/01/2018,SNAP Application Timeliness,0.9537
44,01/01/2018,SNAP Application Timeliness,0.9879
45,01/01/2018,SNAP Application Timeliness,0.8672
46,01/01/2018,SNAP Application Timeliness,0.5254
47,01/01/2018,SNAP Application Timeliness,0.9915
53,01/01/2018,SNAP Application Timeliness,0.9747
54,01/01/2018,SNAP Application Timeliness,0.9884
63,01/01/2018,SNAP Application Timeliness,0.9977
64,01/01/2018,SNAP Application Timeliness,0.891
66,01/01/2018,SNAP Application Timeliness,0.9153
67,01/01/2018,SNAP Application Timeliness,0.6918
70,01/01/2018,SNAP Application Timeliness,0.9849
79,01/01/2018,SNAP Application Timeliness,0.9963
99,01/01/2018,SNAP Application Timeliness,0.9805
13,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9964
18,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9835
23,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9755
35,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9918
38,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.979
40,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9789
44,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.977
45,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.8307
46,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9767
47,01/01/2018,Same Day SNAP Issuance (weekly Avg),1
53,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9838
54,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9896
63,01/01/2018,Same Day SNAP Issuance (weekly Avg),1
64,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.992
66,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9856
67,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9108
70,01/01/2018,Same Day SNAP Issuance (weekly Avg),1
79,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.9938
99,01/01/2018,Same Day SNAP Issuance (weekly Avg),0.907
13,01/01/2018,SNAP Separate Determination Rate,0.9789
18,01/01/2018,SNAP Separate Determination Rate,1
23,01/01/2018,SNAP Separate Determination Rate,0.961
35,01/01/2018,SNAP Separate Determination Rate,0.9924
38,01/01/2018,SNAP Separate Determination Rate,0.9195
40,01/01/2018,SNAP Separate Determination Rate,0.9672
44,01/01/2018,SNAP Separate Determination Rate,0.9872
45,01/01/2018,SNAP Separate Determination Rate,0.8882
46,01/01/2018,SNAP Separate Determination Rate,0.9946
47,01/01/2018,SNAP Separate Determination Rate,1
53,01/01/2018,SNAP Separate Determination Rate,0.8884
54,01/01/2018,SNAP Separate Determination Rate,0.9875
63,01/01/2018,SNAP Separate Determination Rate,0.9679
64,01/01/2018,SNAP Separate Determination Rate,0.9962
66,01/01/2018,SNAP Separate Determination Rate,1
67,01/01/2018,SNAP Separate Determination Rate,0.9438
70,01/01/2018,SNAP Separate Determination Rate,1
79,01/01/2018,SNAP Separate Determination Rate,0.9524
99,01/01/2018,SNAP Separate Determination Rate,0.9709
13,01/01/2018,Missing or Outdated Employment Plan,0.9762
18,01/01/2018,Missing or Outdated Employment Plan,0.9511
23,01/01/2018,Missing or Outdated Employment Plan,0.941
35,01/01/2018,Missing or Outdated Employment Plan,0.9704
38,01/01/2018,Missing or Outdated Employment Plan,0.9655
40,01/01/2018,Missing or Outdated Employment Plan,0.9415
44,01/01/2018,Missing or Outdated Employment Plan,0.9297
45,01/01/2018,Missing or Outdated Employment Plan,0.9111
46,01/01/2018,Missing or Outdated Employment Plan,0.9616
47,01/01/2018,Missing or Outdated Employment Plan,0.973
53,01/01/2018,Missing or Outdated Employment Plan,0.9686
54,01/01/2018,Missing or Outdated Employment Plan,0.9828
