Date,Adult Current Average Daily Population,Youth Current Average Daily Population,Youth positive tests,Youth tests completed,Youth Positive for COVID-19 in Detention,Adults positive tests,Adult tests completed,Adults Positive for COVID-19 in Custody,Adult change in population (from 3/13/20),Youth Change in population from (3/13/2020)
3/25/2020,1485,31,0,0,0,0,8,0,-414,-12
3/26/2020,1435,31,0,0,0,0,10,0,-464,-12
3/27/2020,1364,30,0,0,0,0,15,0,-535,-13
3/28/2020,1315,32,0,0,0,0,16,0,-584,-11
3/29/2020,1332,32,0,0,0,0,19,0,-567,-11
3/30/2020,1370,32,0,0,0,0,20,0,-529,-11
3/31/2020,1336,32,0,0,0,0,20,0,-563,-11
4/1/2020,1310,32,0,0,0,0,21,0,-589,-11
4/2/2020,1300,31,0,0,0,0,25,0,-599,-12
4/3/2020,1285,36,0,0,0,0,27,0,-614,-7
4/6/2020,1326,32,0,0,0,0,29,0,-573,-11
4/7/2020,1318,31,0,1,0,0,30,0,-581,-12
4/8/2020,1307,29,0,1,0,0,30,0,-592,-14
4/9/2020,1312,31,0,1,0,0,32,0,-587,-12
4/10/2020,1298,31,0,1,0,0,33,0,-601,-12
4/13/2020,1307,30,0,1,0,0,42,0,-592,-13
4/14/2020,1300,28,0,1,0,0,43,0,-599,-15
4/15/2020,1295,27,0,1,0,0,46,0,-604,-16
4/16/2020,1279,26,0,1,0,0,49,0,-620,-17
4/17/2020,1263,26,0,1,0,0,52,0,-636,-17
4/20/2020,1302,33,0,1,0,0,61,0,-597,-10
4/21/2020,1281,29,0,1,0,0,62,0,-618,-14
4/22/2020,1285,28,0,1,0,2,63,0,-614,-15
4/23/2020,1273,30,0,1,0,2,65,0,-626,-13
4/24/2020,1274,30,0,1,0,2,69,0,-625,-13
4/27/2020,1327,33,0,1,0,2,77,0,-572,-10
4/28/2020,1306,30,0,4,0,3,82,1,-593,-13
4/29/2020,1306,30,0,4,0,3,85,1,-593,-13
4/30/2020,1305,32,0,4,0,4,88,2,-594,-11
5/1/2020,1285,31,0,4,0,4,96,2,-614,-12
5/4/2020,1322,29,0,4,0,4,107,2,-577,-14
5/5/2020,1308,29,0,4,0,4,111,2,-591,-14
5/6/2020,1308,31,0,4,0,4,112,2,-591,-12
5/7/2020,1301,33,0,4,0,4,112,1,-598,-10
5/8/2020,1286,30,0,4,0,5,115,2,-613,-13
