Month,Fiscal Year,Month Number,Miles of Sewer Cleaned
JANUARY,2014,7,561
FEBRUARY,2014,8,565
MARCH,2014,9,620
APRIL,2014,10,634
MAY,2014,11,597
JUNE,2014,12,515
JULY,2014,1,548
AUGUST,2014,2,560
SEPTEMBER,2014,3,468
OCTOBER,2014,4,498
NOVEMBER,2014,5,470
DECEMBER,2014,6,447
JANUARY,2015,7,514
FEBRUARY,2015,8,583
MARCH,2015,9,596
APRIL,2015,10,598
MAY,2015,11,604
JUNE,2015,12,536
JULY,2015,1,563
AUGUST,2015,2,562
SEPTEMBER,2015,3,590
OCTOBER,2015,4,591
NOVEMBER,2015,5,545
DECEMBER,2015,6,633
JANUARY,2016,7,518
FEBRUARY,2016,8,563
MARCH,2016,9,589
APRIL,2016,10,592
MAY,2016,11,676
JUNE,2016,12,611
JULY,2016,1,572
AUGUST,2016,2,668
SEPTEMBER,2016,3,580
OCTOBER,2016,4,613
NOVEMBER,2016,5,582
DECEMBER,2016,6,549
JANUARY,2017,7,527
FEBRUARY,2017,8,555
MARCH,2017,9,507
APRIL,2017,10,490
MAY,2017,11,579
JUNE,2017,12,608
JULY,2017,1,557
AUGUST,2017,2,637
SEPTEMBER,2017,3,565
OCTOBER,2017,4,645
NOVEMBER,2017,5,561
DECEMBER,2017,6,506
JANUARY,2018,7,557
FEBRUARY,2018,8,535
MARCH,2018,9,602
APRIL,2018,10,620
MAY,2018,11,626
JUNE,2018,12,464
JULY,2018,1,560
AUGUST,2018,2,611
SEPTEMBER,2018,3,572
OCTOBER,2018,4,642
NOVEMBER,2018,5,577
DECEMBER,2018,6,580
JANUARY,2019,7,557
FEBRUARY,2019,8,499
MARCH,2019,9,550
APRIL,2019,10,563
MAY,2019,11,548
JUNE,2019,12,528
JULY,2019,1,568
AUGUST,2019,2,545
SEPTEMBER,2019,3,554
OCTOBER,2019,4,650
NOVEMBER,2019,5,480
DECEMBER,2019,6,513
JANUARY,2020,7,502
FEBRUARY,2020,8,510
MARCH,2020,9,554
APRIL,2020,10,390
