FY,Month,FYMonth,NUMBER OF CATCH BASIN CLEANED
2014,JULY,1,7275
2014,AUGUST,2,4498
2014,SEPTEMBER,3,3861
2014,OCTOBER,4,4055
2014,NOVEMBER,5,3685
2014,DECEMBER,6,5400
2014,JANUARY,7,6252
2014,FEBRUARY,8,5991
2014,MARCH,9,5189
2014,APRIL,10,6562
2014,MAY,11,7817
2014,JUNE,12,4907
2017,JANUARY,7,5864
2017,FEBRUARY,8,5951
2018,APRIL,10,7549
2015,FEBRUARY,8,3679
2018,MAY,11,9353
2015,JANUARY,7,2087
2015,MARCH,9,9615
2015,APRIL,10,10313
2015,MAY,11,7351
2015,JUNE,12,10391
2018,JUNE,12,8816
2018,JULY,1,8913
2018,AUGUST,2,9267
2018,SEPTEMBER,3,5831
2018,OCTOBER,4,7830
2018,NOVEMBER,5,6556
2018,DECEMBER,6,6825
2019,JANUARY,7,7094
2019,FEBRUARY,8,6811
2019,March,9,8045
2019,April,10,6035
2019,MAY,11,7133
2016,FEBRUARY,8,9240
2019,JUNE,12,9939
2016,MAY,11,7648
2016,APRIL,10,10475
2016,JUNE,12,9618
2016,MARCH,9,12047
2019,JULY,1,6264
2019,AUGUST,2,5378
2019,SEPTEMBER,3,5080
2019,OCTOBER,4,6193
2019,November,5,4865
2019,DECEMBER,6,5666
2017,MARCH,9,6228
2020,JANUARY,7,4635
2020,FEBRUARY,8,4316
2020,MARCH,9,6195
2020,APRIL,10,3429
2018,FEBRUARY,8,7776
2018,MARCH,9,6750
2018,JANUARY,7,8863
2015,JULY,1,9647
2016,JULY,1,7421
2017,JUNE,12,8453
2015,DECEMBER,6,8971
2015,SEPTEMBER,3,10330
2015,OCTOBER,4,7460
2017,APRIL,10,6864
2016,NOVEMBER,5,8733
2017,MAY,11,7551
2017,DECEMBER,6,7956
2017,NOVEMBER,5,7116
2016,AUGUST,2,9413
2017,AUGUST,2,9273
2015,AUGUST,2,12242
2016,DECEMBER,6,7070
2017,JULY,1,7489
2016,JANUARY,7,9127
2017,OCTOBER,4,7237
2017,SEPTEMBER,3,7383
2016,SEPTEMBER,3,9070
2015,NOVEMBER,5,7894
2016,OCTOBER,4,8403
