Area,Sub Area,Collection Sequence,Date Sign Posted (Round 1),Planned Start (Round 1),Date Area Started (Round 1),Date Area Ended (Round 1),Date Sign Posted (Round 2),Planned Start (Round 2),Date Area Started (Round 2),Date Area Ended (Round 2)
9,A,4,10/28/2019 12:00:00 AM,11/15/2019,11/15/2019,11/18/2019,11/19/2019,12/04/2019,12/06/2019,12/09/2019
8,E,6,10/31/2019 12:00:00 AM,11/21/2019,11/21/2019,11/25/2019,11/22/2019,12/04/2019,12/19/2019,12/21/2019
7,C,8,10/31/2019 12:00:00 AM,11/25/2019,11/25/2019,11/29/2019,11/30/2019,12/07/2019,12/19/2019,12/21/2019
8,C,1,10/28/2019 12:00:00 AM,11/11/2019,11/11/2019,11/12/2019,11/19/2019,11/29/2019,11/29/2019,12/02/2019
1,D,4,10/30/2019 12:00:00 AM,11/14/2019,11/14/2019,11/16/2019,11/20/2019,12/03/2019,12/03/2019,12/05/2019
14,G,7,11/07/2019 12:00:00 AM,11/22/2019,11/25/2019,12/02/2019,11/20/2019,12/09/2019,12/19/2019,12/21/2019
9,E,3,10/24/2019 12:00:00 AM,11/13/2019,11/14/2019,11/15/2019,11/18/2019,12/02/2019,12/05/2019,12/06/2019
6,G,7,11/04/2019 12:00:00 AM,11/21/2019,11/23/2019,11/26/2019,11/25/2019,12/07/2019,12/09/2019,12/09/2019
14,F,6,11/07/2019 12:00:00 AM,11/20/2019,11/22/2019,11/29/2019,11/19/2019,12/07/2019,12/19/2019,12/21/2019
9,G,8,11/06/2019 12:00:00 AM,11/20/2019,11/25/2019,11/30/2019,11/20/2019,12/09/2019,12/19/2019,12/21/2019
10,F,6,11/06/2019 12:00:00 AM,11/20/2019,11/21/2019,11/25/2019,11/19/2019,12/07/2019,12/20/2019,12/21/2019
1,A,7,11/01/2019 12:00:00 AM,11/19/2019,11/20/2019,11/25/2019,11/25/2019,12/07/2019,12/07/2019,12/10/2019
6,F,6,11/02/2019 12:00:00 AM,11/20/2019,11/23/2019,11/25/2019,11/25/2019,12/07/2019,12/07/2019,12/09/2019
