Address,BBL,BIN,Borough,CouncilDist,Latitude,Location,Longitude,NTAName,NUMBER,Notes,ObjectId,Operation_Date_Time,STREET,Site_Managed_By,Site_Name,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
165 Forsyth St,,,Manhattan,1,40.72107,165 Forsyth St,-73.99181,Chinatown,165,,42,,Forsyth St,M'Finda Kalunga Garden,M'Finda Kalunga Garden,10002,103,18,POINT (-73.9918069993593 40.721072999955275),11723,70,4,32,2
50 WEST 127 STREET,1017247000,1087607,Manhattan,9,40.80839,77 West 127th Street between Malcolm X Boulevard and 5th Ave,-73.94325,Central Harlem North-Polo Grounds,50,,37,"Wednesdays, 7:30 AM - 10:30 AM",WEST 127 STREET,GrowNYC,127 Street & Malcolm X Food Scrap Drop Off Site,10027,110,208,POINT (-73.94325100019142 40.80838800009998),12424,18,4,36,18
303 GREENWICH STREET,1001407000,1066317,Manhattan,1,40.71629,"Greenwich Street at Chambers Street,New York,NY",-74.01094,SoHo-TriBeCa-Civic Center-Little Italy,303,,32,"Wednesdays and Saturdays, 8:00 AM - 1:00 PM",GREENWICH STREET,GrowNYC,Tribeca Greenmarket,10013,101,21,POINT (-74.0109402992428 40.71629179942579),11728,56,4,32,1
900 GRAND CONCOURSE,2024600000,2002802,Bronx,16,40.82692,"Grand Concourse and 161 St, Bronx, NY, 10451",-73.9225,East Concourse-Concourse Village,900,,18,"Tuesdays, 8:00 AM - 2:00 PM (Seasonal, June - November)",GRAND CONCOURSE,GrowNYC,Bronx Borough Hall Greenmarket,10451,204,18301,POINT (-73.92250389941891 40.82691969994741),10929,50,5,42,27
924 Kelly Street,2027110000,2005620,Bronx,17,40.8204,924 Kelly Street,-73.89568,Longwood,924,,5,"Mondays, Wednesdays, Saturdays, 10:00 AM - 2:00 Pm (Seasonal, March-November)",Kelly Street,Kelly Street Garden,Kelly Street Garden,10459,202,87,POINT (-73.89568599986933 40.820403000527335),10937,8,5,43,24
1 BOWLING GREEN,1000120000,1000042,Manhattan,1,40.70459,"Broadway at Battery Place,New York,NY, 10004",-74.01425,Battery Park City-Lower Manhattan,1,,17,"Tuesdays, 8:00 AM - 2:00 PM",BOWLING GREEN,GrowNYC,Bowling Green Greenmarket,10004,101,9,POINT (-74.01425150027364 40.70459400021979),11725,56,4,32,1
2007 Mapes Ave,2031060000,2012934,Bronx,17,40.84477,"2007 Mapes Ave, Bronx 10460",-73.88722,East Tremont,2007,,28,"Monday - Fridays, 10:00 AM - 6:00 PM (Closed on DOE closures)",Mapes Ave,Mary Mitchell Center,Mary Mitchell Center,10460,206,371,POINT (-73.88722599981581 40.844771999794666),11269,35,5,43,31
240 EAST 47 STREET,1013207000,1037607,Manhattan,4,40.75299,"East 47 St at 2 Ave,New York,NY, 10017",-73.96988,Turtle Bay-East Midtown,240,,22,"Wednesdays, 8:00 AM - 3:00 PM",EAST 47 STREET,GrowNYC,Dag Hammarskjold Plaza Greenmarket,10017,106,90,POINT (-73.96987969921112 40.75299210011309),12079,71,4,51,9
51 EAST 161 STREET,2024840000,2002987,Bronx,8,40.82805,"161st, River Ave - NE Corner",-73.9257,West Concourse,51,,13,Fridays 7:30 AM - 11:15 AM,EAST 161 STREET,GrowNYC,161st Street - Yankee Stadium,10451,204,195,POINT (-73.92569999919992 40.82805000017436),10930,50,5,35,27
321 West 126th Street,1019530000,1000000,Manhattan,9,40.81164,321 West 126th Street,-73.95052,Central Harlem North-Polo Grounds,321,,41,"Wednesdays, 3:00 PM - 6:00 PM",West 126th Street,William B. Washington Memorial Garden,William B. Washington Memorial Garden,10027,110,215,POINT (-73.95052099935027 40.81164100001074),12424,18,4,36,20
