Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
''A'' BEST INC,7 PAYNE AVE,,N TONAWANDA,NY,14120,06/12/2006,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,8,01/02/2007,,0
A  F FIRE PROTECTION INC,90 OTIS STREET,,WEST BABYLON,NY,11704,04/04/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,49,04/17/2020,04/27/2020,2
A + CONVENIENCE,1450 N. BENSON AVE,,UPLAND,CA,91786,07/09/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,5,01/21/2020,,1
A & A SPRINT ENTERPRISES INC.,72 E. HOFFMAN AVENUE,,LINDENHURST,NY,11757,08/14/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,20,02/19/2020,02/19/2020,1
A & D ENTRANCES INC,105 WYANDANCH AVENUE,,WYANDANCH,NY,11798,11/26/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
A & N PETROLEUM CORP,64 HIGHLAND AVE,,NEW ROCHELLE,NY,10801,11/05/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,4,10/16/2019,10/16/2019,1
A AND L CESSPOOL SERVICE CORP,38-40 REVIEW AVENUE,,LIC,NY,11101,12/13/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,59,04/24/2020,04/09/2019,1
A CAPPIONE INC,54 LIBERTY AVE BOX 580,,MASSENA,NY,13662,01/06/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,0,,,0
A GREAT CHOICE LAWN CARE & LANDSCAPING,69 ARBUTUS ROAD,,JOHNSON CITY,NY,13760,08/09/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,23,03/04/2020,03/03/2020,1
A J MISSERT INC,1001 CHAMPLAIN ST.,,OGDENSBURG,NY,13669,10/22/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,11,10/04/2018,10/17/2019,1
