License Number,License Type,Business Name,State,Reporting Period,Category,Gallons,Festival Gallons,On Premise Gallons 
13803,LMS,"LUXCO, INC.",MO,2019-10-01,L,38642.2,0,0
13803,LMS,"LUXCO, INC.",MO,2019-10-01,M,0,0,0
13803,LMS,"LUXCO, INC.",MO,2019-10-01,W,164.85,0,0
13803,LMS,"LUXCO, INC.",MO,2019-11-01,L,44127.33,0,0
13803,LMS,"LUXCO, INC.",MO,2019-11-01,M,0,0,0
13803,LMS,"LUXCO, INC.",MO,2019-11-01,W,208.43,0,0
13803,LMS,"LUXCO, INC.",MO,2019-12-01,L,53834.63,0,0
13803,LMS,"LUXCO, INC.",MO,2019-12-01,M,0,0,0
13803,LMS,"LUXCO, INC.",MO,2019-12-01,W,374.88,0,0
13803,LMS,"LUXCO, INC.",MO,2020-01-01,L,21711.95,0,0
13803,LMS,"LUXCO, INC.",MO,2020-01-01,M,0,0,0
13803,LMS,"LUXCO, INC.",MO,2020-01-01,W,192.58,0,0
13803,LMS,"LUXCO, INC.",MO,2020-02-01,L,40201.43,0,0
13803,LMS,"LUXCO, INC.",MO,2020-02-01,M,0,0,0
13803,LMS,"LUXCO, INC.",MO,2020-02-01,W,237.09,0,0
13803,LMS,"LUXCO, INC.",MO,2020-03-01,L,59391.78,0,0
13803,LMS,"LUXCO, INC.",MO,2020-03-01,M,0,0,0
13803,LMS,"LUXCO, INC.",MO,2020-03-01,W,408.95,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-10-01,L,86728.13,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-10-01,M,13163.4,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-10-01,W,8775.77,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-11-01,L,61023.49,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-11-01,M,8303.29,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-11-01,W,11024.04,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-12-01,L,32535.95,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-12-01,M,7845.6,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2019-12-01,W,5913.43,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-01-01,L,18599.23,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-01-01,M,5243.89,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-01-01,W,1006.86,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-02-01,L,44353.82,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-02-01,M,9968.32,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-02-01,W,2849.61,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-03-01,L,48977.23,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-03-01,M,8813.7,0,0
13849,LS,BROWN-FORMAN CORPORATION,KY,2020-03-01,W,3581.53,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-10-01,L,67595.5,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-10-01,M,50.36,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-10-01,W,315077.95,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-11-01,L,46012.79,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-11-01,M,0,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-11-01,W,225676.47,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-12-01,L,60967.32,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-12-01,M,25.18,0,0
13867,LS,E. & J. GALLO WINERY,CA,2019-12-01,W,295958.01,0,0
13867,LS,E. & J. GALLO WINERY,CA,2020-01-01,L,58566.84,0,0
13867,LS,E. & J. GALLO WINERY,CA,2020-01-01,M,0,0,0
13867,LS,E. & J. GALLO WINERY,CA,2020-01-01,W,264959.65,0,0
13867,LS,E. & J. GALLO WINERY,CA,2020-02-01,L,40807,0,0
