License number,Limited Electrician Business License,Applicant name,License date,Issue date,Expire date,Insurance expiration date,Address - Line 1,Address - Line 2,City,STATE,ZipCode,Location
EL5371,LIMITED ELECTRICAL BUSINESS,_ SECURITY CONTRACTORS,09/09/1991,09/09/1991,09/09/2021,09/16/2020,P.O. BOX 216,,OWINGS,MD,20736,"P.O. BOX 216
OWINGS, MD 20736"
EL224289,LIMITED ELECTRICAL BUSINESS,_ SOEP NETWORKING & COMMUNICATIONS,02/01/2018,02/06/2018,02/06/2020,05/24/2020,8912A LENNINGS LANE,,BALTIMORE,MD,21237,"8912A LENNINGS LANE
BALTIMORE, MD 21237
(39.345289, -76.480121)"
EL6507,LIMITED ELECTRICAL BUSINESS,_ A V WIRING NETWORK,03/17/2011,03/17/2011,03/17/2021,11/17/2019,11909 BAYWATER ROAD,,GAITHERSBURG,MD,20878,"11909 BAYWATER ROAD
GAITHERSBURG, MD 20878
(39.132581, -77.24678)"
EL5410,LIMITED ELECTRICAL BUSINESS,_ NET 100 LTD,05/04/1994,05/04/1994,05/04/2022,09/20/2020,3675 CONCORDE PKWY,SUITE 800,CHANTILLY,VA,20151,"3675 CONCORDE PKWYSUITE 800
CHANTILLY, VA 20151
(38.910872, -77.448768)"
EL221962,LIMITED ELECTRICAL BUSINESS,_ THE GILBERTSON GROUP,10/26/2015,10/28/2015,10/28/2021,06/26/2020,101 CHESHIRE COURT,,COATSVILLE,PA,19320,"101 CHESHIRE COURT
COATSVILLE, PA 19320
(39.992599, -75.87489)"
EL3754,LIMITED ELECTRICAL BUSINESS,_ VISION TECHNOLOGIES INC,05/10/2001,05/10/2001,05/10/2021,06/01/2020,530 MCCORMICK DRIVE,SUITE-J,GLEN BURNIE,MD,21061,"530 MCCORMICK DRIVESUITE-J
GLEN BURNIE, MD 21061"
EL3964,LIMITED ELECTRICAL BUSINESS,_ APPLE SIGNS INC.,01/10/2003,02/05/2003,02/05/2021,12/31/2020,404 SERENDIPITY DRIVE,,MILLERSVILLE,MD,21108,"404 SERENDIPITY DRIVE
MILLERSVILLE, MD 21108
(39.098682, -76.629615)"
EL5472,LIMITED ELECTRICAL BUSINESS,"_ LEE ELECTRONICS, INC",11/18/1997,11/18/1997,11/18/2021,09/01/2020,10040 COLEBROOK AVE,,POTOMAC,MD,20854,"10040 COLEBROOK AVE
POTOMAC, MD 20854
(39.043732, -77.207237)"
EL223366,LIMITED ELECTRICAL BUSINESS,_ INTERFACE SECURITY SYSTEMS LLC,11/23/2016,11/23/2016,11/23/2020,10/01/2020,3773 CORPORATE CENTER DR,,EARTH CITY,MO,63045,"3773 CORPORATE CENTER DR
EARTH CITY, MO 63045
(38.76075, -90.46412)"
EL225896,LIMITED ELECTRICAL BUSINESS,_ SACMARIE TECHNOLOGIES LLC,07/27/2018,08/02/2018,08/02/2020,06/03/2020,168 POINSETT LANE,,FREDERICK,MD,21702,"168 POINSETT LANE
FREDERICK, MD 21702
(39.428055, -77.465181)"
EL3813,LIMITED ELECTRICAL BUSINESS,_ SECURITY INSTRUMENT CORP.,04/09/2012,04/09/2012,04/09/2020,01/01/2021,309 W NEWPORT PIKE,,WILMINGTON,DE,19804,"309 W NEWPORT PIKE
WILMINGTON, DE 19804
(39.713568, -75.61386)"
EL5625,LIMITED ELECTRICAL BUSINESS,"_ GLESSNER PROTECTIVE SERVICES, INC.",06/04/2009,06/10/2009,06/10/2021,11/14/2019,1216  SHERMAN  AVE,,HAGERSTOWN,MD,21740,"1216 SHERMAN AVE
HAGERSTOWN, MD 21740
(39.626947, -77.744194)"
EL224473,LIMITED ELECTRICAL BUSINESS,_ SKYLINE TECHNOLOGY SOLUTIONS LLC,05/07/2018,05/07/2018,05/07/2020,06/30/2020,2409 PEPPERMILL DR,SUITES K-P,GLEN BURNIE,MD,21061,"2409 PEPPERMILL DRSUITES K-P
GLEN BURNIE, MD 21061"
EL5456,LIMITED ELECTRICAL BUSINESS,_ SPLAINE SECURITY SYSTEMS INC,04/10/1997,04/10/1997,04/10/2021,07/26/2020,P O BOX 226,,KENSINGTON,MD,20895,"P O BOX 226
KENSINGTON, MD 20895"
EL220041,LIMITED ELECTRICAL BUSINESS,_ COMMERCIAL CABLING & SOUND INC,06/24/2015,06/26/2015,06/26/2021,12/19/2019,10540 YORK ROAD,SUITE K,COCKEYSVILLE,MD,21030,"10540 YORK ROADSUITE K
COCKEYSVILLE, MD 21030"
EL223576,LIMITED ELECTRICAL BUSINESS,_ AVIT LLC,02/08/2017,02/08/2017,02/08/2021,05/16/2020,8403 SUNSTATE ST,,TAMPA,FL,33634,"8403 SUNSTATE ST
TAMPA, FL 33634
(28.027003, -82.528604)"
EL5357,LIMITED ELECTRICAL BUSINESS,_ C H TEL CO INC,07/23/1990,07/23/1990,07/23/2020,07/11/2020,11700  PIEDMONT  RD,,CLARKSBURG,MD,20871,"11700 PIEDMONT RD
CLARKSBURG, MD 20871
(39.249114, -77.242458)"
EL226946,LIMITED ELECTRICAL BUSINESS,"_ STURMAN SECURITY SERVICES, LLC",06/25/2019,07/16/2019,07/16/2021,01/05/2020,4920 PENNELL ROAD,SUITE 334,ASTON,PA,19014,"4920 PENNELL ROADSUITE 334
ASTON, PA 19014"
EL207720,LIMITED ELECTRICAL BUSINESS,_ CUSTOM SECURITY INC,02/08/2013,02/27/2013,02/27/2021,07/28/2020,13904 WANEGARDEN DRIVE,,GERMANTOWN,MD,20874,"13904 WANEGARDEN DRIVE
GERMANTOWN, MD 20874
(39.183456, -77.288831)"
EL5492,LIMITED ELECTRICAL BUSINESS,_ C V SECURITY INC,02/17/2000,02/17/2000,10/14/2020,08/01/2020,2146 PRIEST BRIDGE CT,4,CROFTON,MD,21114,"2146 PRIEST BRIDGE CT4
CROFTON, MD 21114"
EL5602,LIMITED ELECTRICAL BUSINESS,_ KALOTHIA INC,06/17/2005,06/21/2005,06/21/2021,02/24/2020,1301 MORAN ROAD,APT 203,STERLING,VA,20166,"1301 MORAN ROADAPT 203
STERLING, VA 20166"
EL5344,LIMITED ELECTRICAL BUSINESS,_ TELECOMMUNICATIONS CONCEPTS IN,10/25/1999,10/30/2013,08/09/2021,11/12/2019,5556 PORT ROYAL  RD,,SPRINGFIELD,VA,22151,"5556 PORT ROYAL RD
SPRINGFIELD, VA 22151
(38.802926, -77.213844)"
EL223349,LIMITED ELECTRICAL BUSINESS,_ STRATEGIC SECURITY & ENGINEERING LLC,11/18/2016,11/22/2016,11/22/2020,12/09/2020,1605 SAGE BRUSH CT,,SEVERN,MD,21144,"1605 SAGE BRUSH CT
SEVERN, MD 21144
(39.134753, -76.707459)"
EL5726,LIMITED ELECTRICAL BUSINESS,"_ ABBEY SERVICES, INC",09/22/2011,10/18/2011,10/18/2019,12/29/2020,17823 CENTRAL AVENUE,,UPPER MARLBORO,MD,20774,"17823 CENTRAL AVENUE
UPPER MARLBORO, MD 20774
(38.901719, -76.695579)"
EB5979,LIMITED ELECTRICAL BUSINESS,_ BAERS ELECTRICAL SERVICE,06/04/2009,06/11/2009,06/11/2021,08/01/2020,9936 HUGHES AVENUE,,LAUREL,MD,20723,"9936 HUGHES AVENUE
LAUREL, MD 20723
(39.115897, -76.856864)"
EB8526,LIMITED ELECTRICAL BUSINESS,_ PROVIDENT ELECTRIC LLC,07/21/2010,08/05/2010,08/05/2020,08/07/2020,6320 QUINN ROAD,,FREDERICK,MD,21701,"6320 QUINN ROAD
FREDERICK, MD 21701
(39.406724, -77.330838)"
EL5426,LIMITED ELECTRICAL BUSINESS,"_ DELTA TELEPHONE & CABLING, INC",02/17/2000,02/17/2000,08/22/2021,08/10/2020,2131 ESPEY CT,SUITE-16,CROFTON,MD,21114,"2131 ESPEY CTSUITE-16
CROFTON, MD 21114"
EL226225,LIMITED ELECTRICAL BUSINESS,_ ALL AMERICAN MECHANICAL INC,09/04/2018,09/12/2018,09/12/2020,09/22/2020,10690 CLARKSVILLE PIKE,,ELLIOTT CITY,MD,21042,"10690 CLARKSVILLE PIKE
ELLIOTT CITY, MD 21042
(39.235486, -76.882571)"
EL226580,LIMITED ELECTRICAL BUSINESS,_ FIRE AND LIFE SAFETY AMERICA INC,03/07/2019,03/07/2019,03/07/2021,09/30/2020,1340 CHARWOOD RD,STE P,HANOVER,MD,21076,"1340 CHARWOOD RDSTE P
HANOVER, MD 21076"
EL205191,LIMITED ELECTRICAL BUSINESS,_ CRIME INTERVENTION ALARM CO INC,09/13/2012,09/21/2012,09/21/2020,11/15/2020,1377 SPAHN AVENUE,,YORK,PA,17403,"1377 SPAHN AVENUE
YORK, PA 17403
(39.963284, -76.698104)"
EL223751,LIMITED ELECTRICAL BUSINESS,_ TELE-TECTOR OF MARYLAND INC,04/13/2017,04/21/2017,04/21/2021,10/01/2020,8141 TELEGRAPH RD,,SEVERN,MD,21144,"8141 TELEGRAPH RD
SEVERN, MD 21144
(39.109999, -76.692446)"
EL5393,LIMITED ELECTRICAL BUSINESS,"_ POTOMAC HOME DEVICES, INC.",03/16/1993,03/16/1993,03/16/2021,10/16/2020,9821 KENDALE ROAD,,POTOMAC,MD,20854,"9821 KENDALE ROAD
POTOMAC, MD 20854
(39.017134, -77.176163)"
EL219321,LIMITED ELECTRICAL BUSINESS,_ PETITBON ALARM COMPANY INC,05/04/2015,05/04/2015,05/04/2021,12/01/2019,2125 BALDWIN AVE,10B,CROFTON,MD,21114,"2125 BALDWIN AVE10B
CROFTON, MD 21114"
EL5348,LIMITED ELECTRICAL BUSINESS,_ CRIMPCO,10/17/1989,10/17/1989,10/11/2021,02/01/2020,2545 H LORD BALTIMORE DR,,WINDSOR MILL,MD,21244,"2545 H LORD BALTIMORE DR
WINDSOR MILL, MD 21244
(39.324815, -76.750094)"
EL5633,LIMITED ELECTRICAL BUSINESS,_ R J LOW VOLTAGE SERVICES,08/04/2005,10/24/2005,10/24/2021,11/09/2020,298 CHERRY RUN ROAD,,HARPERS FERRY,WV,25425,"298 CHERRY RUN ROAD
HARPERS FERRY, WV 25425
(39.369974, -77.765001)"
EL6509,LIMITED ELECTRICAL BUSINESS,"_ WESTMINSTER SECURTY COMPANY,",06/01/2011,06/08/2011,06/08/2021,08/26/2020,141 WEST MAIN STREET,,WESTMINSTER,MD,21157,"141 WEST MAIN STREET
WESTMINSTER, MD 21157
(39.579146, -77.000028)"
EL4044,LIMITED ELECTRICAL BUSINESS,_ TELE PLUS CORP ADTEC LLC,06/06/2003,06/10/2003,06/10/2021,07/01/2019,916 ELDRIDGE DRIVE,,HAGERSTOWN,MD,21742,"916 ELDRIDGE DRIVE
HAGERSTOWN, MD 21742
(39.627033, -77.706957)"
EL5632,LIMITED ELECTRICAL BUSINESS,_ TCV LLC,06/24/2005,06/24/2005,06/24/2021,08/04/2020,9926 SW 55th AVE RD,,OCALA,FL,34476,"9926 SW 55th AVE RD
OCALA, FL 34476
(29.077887, -82.206253)"
EL227267,LIMITED ELECTRICAL BUSINESS,_ TECHNICAL SERVICES INC,10/08/2019,11/04/2019,11/04/2021,02/02/2020,9901 BUSINESS PKWY,SUITE K,LANHAM,MD,20706,"9901 BUSINESS PKWYSUITE K
LANHAM, MD 20706"
EL3783,LIMITED ELECTRICAL BUSINESS,_ VINTAGE SECURITY LLC,08/20/2001,08/20/2001,08/20/2020,10/01/2020,8220 A  STAYTON DRIVE,,JESSUP,MD,20794,"8220 A STAYTON DRIVE
JESSUP, MD 20794
(39.144487, -76.803602)"
EL5421,LIMITED ELECTRICAL BUSINESS,_ ORION COMMUNICATIONS INC,05/10/1995,05/10/1995,05/10/2021,09/07/2020,7650 STANDISH PLACE,SUITE 102,ROCKVILLE,MD,20855,"7650 STANDISH PLACESUITE 102
ROCKVILLE, MD 20855"
EL5690,LIMITED ELECTRICAL BUSINESS,_ BROADBAND TECHNOLOGY CORP,11/01/2005,11/09/2005,11/09/2021,09/08/2020,22923 QUICKSILVER DRIVE,SUITE 117,DULLES,VA,20166,"22923 QUICKSILVER DRIVESUITE 117
DULLES, VA 20166"
EL5731,LIMITED ELECTRICAL BUSINESS,"_ PROTECTIVE SECURITY, INC",10/14/2011,10/18/2011,10/18/2021,11/10/2020,12320 CONWAY ROAD,SUITE 200,BELTSVILLE,MD,20705,"12320 CONWAY ROADSUITE 200
BELTSVILLE, MD 20705"
EL3812,LIMITED ELECTRICAL BUSINESS,_ SECUREX ALARM SERVICES,11/15/2001,11/15/2001,11/15/2021,06/05/2020,9051 RED BRANCH RD,SUITE E,COLUMBIA,MD,21045,"9051 RED BRANCH RDSUITE E
COLUMBIA, MD 21045"
EL226216,LIMITED ELECTRICAL BUSINESS,_ QUICK CONNECT COMMUNICATIONS INC,08/28/2018,08/28/2018,08/28/2020,11/01/2020,616 MAIN ST,,REISTERSTOWN,MD,21136,"616 MAIN ST
REISTERSTOWN, MD 21136
(39.454223, -76.823068)"
EL5622,LIMITED ELECTRICAL BUSINESS,_ CABLING SYSTEMS INC,06/20/2005,06/21/2005,06/21/2021,07/14/2020,10101 BACON DRIVE,SUITE L,BELTSVILLE,MD,20705,"10101 BACON DRIVESUITE L
BELTSVILLE, MD 20705"
EL208542,LIMITED ELECTRICAL BUSINESS,_ PRESIDENTIAL HEATING & AIR CONDITIONING INC,03/26/2013,04/09/2013,04/09/2021,12/01/2020,8000 CESSNA AVENUE,,GAITHERSBURG,MD,20879,"8000 CESSNA AVENUE
GAITHERSBURG, MD 20879
(39.172617, -77.16403)"
EL222363,LIMITED ELECTRICAL BUSINESS,_ SKYHOP.COM INC D/B/A SDS INTEGRATED SOLUTIONS,11/10/2015,11/10/2015,11/10/2021,11/21/2020,P.O. BOX 2033,434 BELVIEW AVE,HAGERSTOWN,MD,21742,"P.O. BOX 2033434 BELVIEW AVE
HAGERSTOWN, MD 21742"
EL5406,LIMITED ELECTRICAL BUSINESS,"_ ENGINEERED SERVICES, INC.",12/29/1993,12/29/1993,12/29/2021,09/30/2020,43670 TRADE CENTER PLACE,SUITE 100,STERLING,VA,20166,"43670 TRADE CENTER PLACESUITE 100
STERLING, VA 20166"
