the_geom,OBJECTID,Contact,Name,Email,Website,Address
POINT (-90.121365156666 29.933062310193),111,,Round Table Club,,,6330 ST CHARLES AVE
POINT (-90.12278945021 29.935428846275),97,,Amistad Research Center,lhampto3@tulane.edu,http://www.amistadresearchcenter.org/,6823 ST CHARLES AVE
POINT (-90.074353880715 29.94901813057),107,,New Orleans Public Library Foundation,,http://www.noplf.org/,938 LAFAYETTE ST
POINT (-90.065888101304 29.957130613628),102,,Historic New Orleans Collection,wrc@hnoc.org,http://www.hnoc.org/,533 ROYAL ST
POINT (-90.070521004782 29.951278621141),104,,Louisiana Debating and Literary Association,,,707 UNION ST
POINT (-90.073787152393 29.950590726544),112,,Society of Mayflower Descendants Louisiana,Info@LouisianaMayflowerSociety.com,http://www.louisianamayflowersociety.com/,909 POYDRAS ST
POINT (-90.069643480576 29.951343618772),103,,Le Moyne de Bienville Club,,,666 GRAVIER ST
POINT (-90.1091126359 29.927178278676),108,,Orleans Club,,,5005 ST CHARLES AVE
POINT (-90.067830837184 29.949547918304),113,,Sons of the Revolution in Louisiana,,http://www.lassar.org/,400 MAGAZINE ST
POINT (-90.069508793299 29.952831114824),109,,Pickwick Club,,,115 ST CHARLES AVE
POINT (-90.073437191662 29.9415055688),100,,Cohorts Civic League,,,1130 ST CHARLES AVE
POINT (-90.07120019942 29.976289666764),106,,Neighborhood Story Project Inc.,avieshlomo@gmail.com,http://www.neighborhoodstoryproject.org/,2202 LAPEYROUSE ST
POINT (-90.116652410453 29.930734473634),99,,Churchill Society of New Orleans,,http://www.churchillsocietyneworleans.com/,5801 ST CHARLES AVE
POINT (-90.064185540092 29.958046678071),110,Ms. Rosemary James,Pirate's Alley Faulkner Society,faulkhouse@aol.com,www.thefaulknersociety.org,624 PIRATES ALY
POINT (-90.070677470467 29.953878563516),98,,Boston Club,,,824 CANAL ST
POINT (-90.07539263722 29.95451222759),101,,Friends of the New Orleans Public Library,,http://friendsnola.org/,219 LOYOLA AVE
POINT (-90.074353880715 29.94901813057),114,Paul Willis,"Tennessee Williams New Orleans Literary Festival, Inc.",info@tennesseewilliams.net,http://www.tennesseewilliams.net,938 LAFAYETTE ST
POINT (-90.074353880715 29.94901813057),105,Michael Sartisky,Louisiana Endowment for the Humanities,sartisky@leh.org,WWW.LEH.ORG,938 LAFAYETTE ST
