the_geom,OBJECTID,Name,Segment,Type,Address
POINT (-90.058639131561 29.961632929734),1281,IRON RAIL BOOK,Literary Arts and Humanities,Bookstore,503 BARRACKS  ST
POINT (-90.130862853913 29.948081890246),1287,MORE FUN COMICS,Literary Arts and Humanities,Bookstore,8200 OAK  ST
POINT (-90.060734860827 29.958564771963),1277,EASTERN NATIONAL,Literary Arts and Humanities,Bookstore,916 N PETERS  ST
POINT (-90.057855133158 29.963621203326),1278,FAUBOURG MARIGNY ART AND BOOKS,Literary Arts and Humanities,Bookstore,600 FRENCHMEN  ST
POINT (-90.065864961023 30.028568569265),1299,UNIVERSITY OF NEW ORLEANS PRESS,Literary Arts and Humanities,Publishing,2000 LAKESHORE  DR
POINT (-90.065706532651 29.953257533584),1265,BECKHAM'S BOOK SHOP,Literary Arts and Humanities,Bookstore,228 DECATUR  ST
POINT (-90.065601199582 29.953812531584),1294,EXPRESS PUB CO INC,Literary Arts and Humanities,Publishing,305 DECATUR  ST
POINT (-90.105009370836 29.983088306453),1270,CHIMES BOOKSTORE,Literary Arts and Humanities,Bookstore,514 CITY PARK  AVE
POINT (-90.065020459498 29.957238492228),1282,KITCHEN WITCH,Literary Arts and Humanities,Bookstore,631 TOULOUSE  ST
POINT (-90.119196313446 29.94059023722),1291,TULANE UNIVERSITY BOOKSTORE #569,Literary Arts and Humanities,Bookstore,31 MCALISTER  DR
POINT (-90.065513619977 29.951361287862),1298,PHILBEAU PUBLISHING,Literary Arts and Humanities,Publishing,365 CANAL  ST
POINT (-90.076751706486 29.955255651184),1292,TULANE UNIVERSITY BOOKSTORE #570,Literary Arts and Humanities,Bookstore,1430 TULANE  AVE
POINT (-90.115521642254 29.960213581763),1269,CATHOLIC BOOK STORE,Literary Arts and Humanities,Bookstore,3003 S CARROLLTON  AVE
POINT (-90.029802127191 29.968116521216),1295,HOT IRON PRESS,Literary Arts and Humanities,Publishing,1422 KENTUCKY  ST
POINT (-90.121451090968 29.93398262286),1284,LOYOLA UNIVERSITY NEW ORLEANS BOOK STORE,Literary Arts and Humanities,Bookstore,6363 ST CHARLES  AVE
POINT (-90.064185540092 29.958046678071),1279,FAULKNER HOUSE BOOKS,Literary Arts and Humanities,Bookstore,624 PIRATES  ALY
POINT (-90.103930642596 29.98486494383),1275,DELGADO COMMUNITY COLLEGE BOOKSTORE #279,Literary Arts and Humanities,Bookstore,615 CITY PARK  AVE
POINT (-90.084902802538 29.930049870307),1280,GARDEN DISTRICT BOOK SHOP,Literary Arts and Humanities,Bookstore,2727 PRYTANIA  ST
POINT (-90.068264522546 29.956951883484),1273,DAUPHINE STREET BOOKS,Literary Arts and Humanities,Bookstore,410 DAUPHINE  ST
POINT (-90.065948811714 29.993700348483),1276,DILLARD UNIVERSITY BOOKSTORE BOOKSTORE,Literary Arts and Humanities,Bookstore,2601 GENTILLY  BLVD
POINT (-90.078442661273 29.931905695036),1290,TRINITY TREASURES,Literary Arts and Humanities,Bookstore,1329 JACKSON  AVE
POINT (-90.066726154156 29.953996731929),1271,CRESCENT CITY BOOKS,Literary Arts and Humanities,Bookstore,230 CHARTRES  ST
,1268,BROOKSTONE STORES INC,Literary Arts and Humanities,Bookstore,500 PORT OF NEW ORLEANS  PL
POINT (-90.088418298374 29.929346713752),1285,LYLES VENTURES LLC,Literary Arts and Humanities,Bookstore,3000 ST CHARLES  AVE
POINT (-90.128331702265 29.941054030792),1286,MAPLE STREET BOOK SHOP,Literary Arts and Humanities,Bookstore,7523 MAPLE  ST
POINT (-90.062896163679 29.958683067942),1283,LIBRAIRIE BOOK SHOP,Literary Arts and Humanities,Bookstore,823 CHARTRES  ST
POINT (-90.089427140166 29.930058677741),1296,LIBERTY PRESS,Literary Arts and Humanities,Publishing,1633 8TH  ST
POINT (-90.063476515196 29.959337743405),1297,LIGHT OF NEW ORLEANS PUBLISHING LLC,Literary Arts and Humanities,Publishing,828 ROYAL  ST
POINT (-90.031380535582 29.929712618382),1274,DELGADO COMMUNITY COLLEGE BOOKSTOR #155,Literary Arts and Humanities,Bookstore,2600 GENERAL DE GAULLE  DR
POINT (-90.064820590476 29.958538760461),1264,ARCADIAN BOOKS,Literary Arts and Humanities,Bookstore,714 ORLEANS  ST
POINT (-90.013617722135 30.010366477049),1263,A & KOLA INC,Literary Arts and Humanities,Bookstore,6420 CHEF MENTEUR  HWY
,1293,XAVIER UNIVERSITY OF LOUISISIANA BOOKSTORE # 014,Literary Arts and Humanities,Bookstore,#1 DREXEL  DR
POINT (-90.107734935143 29.934866381205),1272,CRESCENT CITY COMICS,Literary Arts and Humanities,Bookstore,4916 FRERET  ST
POINT (-90.1304534631 29.947755764689),1267,BLUE CYPRESS BOOKS,Literary Arts and Humanities,Bookstore,8126 OAK  ST
POINT (-90.116681030868 29.918571931495),1288,OCTAVIA BOOKS,Literary Arts and Humanities,Bookstore,513 OCTAVIA  ST
POINT (-90.044263823817 30.025832783532),1289,SUNO BOOKSTORE,Literary Arts and Humanities,Bookstore,6400 PRESS  ST
POINT (-90.021900606794 29.9399281241),1266,BLACKSTAR BOOKS AND CAFFÉ,Literary Arts and Humanities,Bookstore,3211 GENERAL MEYERS  AVE
