Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2016,Emily J. Vaias,Toll Brothers City Living,Ballard Spahr LLP,,Bethesda Master Plan,510.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=667,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=667
2015,Ellen Coren Bogage,Airbus DS Communications,Chesapeake Public Strategies,,Matters related to procurement of public safety communications services,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=438,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=438
2014,"Stephen J. Orens, Esq.",Amir Afkhami,Miles & Stockbridge,,Zoining Ordinance Revision,960.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=282,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=282
2015,Nicola Y.Whiteman,Apartment & Office Building Association,Apartment & Office Building Association,,Real Estate & Utility Issues,57452.00,48390.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=370,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=370
2014,Charles Washington,Potomac Electric Power Company,Potomac Electric Power Company,"Jerry Pasternak, Tami Watkins",Any and all matters pertaining to an electric utility.,180.00,119.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=187,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=187
2015,Emily J. Vaias,"Abraham Morrison Memorial, LLC",Linowes and Blocher LLP,Samantha Mazo,Downtown Bethesda Sector Plan,9350.00,1250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=401,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=401
2015,Emily J. Vaias,Brookfield Washington LLC,Linowes and Blocher LLP,Samantha Mazo,Water/Sewer Category,11463.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=515,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=515
2015,Peter A Tomao,Coalition for Smarter Growth,Coalition for Smarter Growth,,"Transit issues and smart growth in Montgomery County. Bill 19-15, ITA, BRT, MC24-15",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=545,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=545
2013,Steven A. Robins,Davis Brothers Montgomery Farm Limited Partnership,"Lerch, Early & Brewer, Chartered",,Matters related to Rock Spring Center in North Bethesda; proposed legislation related to Adequate Public Facilities and premlinary plan - Validity period; issues and legislation related to impact taxes and fees.,1440.00,1240.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=55,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=55
2018,Zachary Gerdes,Sierra Club Maryland Chapter,Sierra Club Maryland Chapter,,Bill: Amendments to the FY19-24 Capital Improvements Program. Council Resolutions on a special appropriation that would reduce funding levels in SM Design/Build/Maintain Contract (No. 801901),1087.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2127,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2127
2015,Robert R. Harris,Elm Street Development,"Lerch, Early & Brewer, Chtd.",,Land use approvals,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=418,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=418
