YEAR,QUARTER,START_DATE,END_DATE,DUE_DATE,ACTIVE,Row_ID
2017,Q1,01/01/2017 12:00:00 AM,03/31/2017 12:00:00 AM,04/10/2017 12:00:00 AM,N,2017-Q1
2017,Q2,04/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,07/10/2017 12:00:00 AM,N,2017-Q2
2017,Q3,07/01/2017 12:00:00 AM,09/30/2017 12:00:00 AM,10/10/2017 12:00:00 AM,N,2017-Q3
2017,Q4,10/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,01/10/2018 12:00:00 AM,N,2017-Q4
2018,Q1,01/01/2018 12:00:00 AM,03/31/2018 12:00:00 AM,04/10/2018 12:00:00 AM,N,2018-Q1
2018,Q2,04/01/2018 12:00:00 AM,06/30/2018 12:00:00 AM,07/10/2018 12:00:00 AM,N,2018-Q2
2018,Q3,07/01/2018 12:00:00 AM,09/30/2018 12:00:00 AM,10/10/2018 12:00:00 AM,N,2018-Q3
2018,Q4,10/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,01/10/2019 12:00:00 AM,Y,2018-Q4
2019,Q1,01/01/2019 12:00:00 AM,03/31/2019 12:00:00 AM,04/10/2019 12:00:00 AM,Y,2019-Q1
2019,Q2,04/01/2019 12:00:00 AM,06/30/2019 12:00:00 AM,07/10/2019 12:00:00 AM,Y,2019-Q2
2019,Q3,07/01/2019 12:00:00 AM,09/30/2019 12:00:00 AM,10/10/2019 12:00:00 AM,Y,2019-Q3
2019,Q4,10/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,01/10/2020 12:00:00 AM,Y,2019-Q4
2020,Q1,01/01/2020 12:00:00 AM,03/31/2020 12:00:00 AM,04/10/2020 12:00:00 AM,Y,2020-Q1
2020,Q2,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,07/10/2020 12:00:00 AM,Y,2020-Q2
2020,Q3,07/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,10/10/2020 12:00:00 AM,Y,2020-Q3
2020,Q4,10/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,01/10/2021 12:00:00 AM,Y,2020-Q4
