MQ_ID,REPORT_ID,RP_ID,RP_ADR1,RP_ADR2,RP_CITY,RP_STATE,RP_ZIP,RP_PROPERTY_DESC,Row_ID
Q0018,R20170731112644,RP0018,5810 STEINER RANCH,,AUSTIN,TX,78732,,R20170731112644-Q0018-RP0018
Q0019,R20170731112644,RP0019,7200 N. MOPAC EXPRESSWAY,,AUSTIN,TX,78731,,R20170731112644-Q0019-RP0019
Q0020,R20170731112644,RP0020,610 E. 11TH STREET / 705 E. 12TH STREET,,AUSTIN,TX,78701,,R20170731112644-Q0020-RP0020
Q0021,R20170731112644,RP0021,6001 AIRPORT BLVD,,AUSTIN,TX,78752,,R20170731112644-Q0021-RP0021
Q0023,R20170731112644,RP0023,425 W. RIVERSIDE,,AUSTIN,TX,78704,,R20170731112644-Q0023-RP0023
Q0024,R20170731112644,RP0024,916 CONGRESS,,AUSTIN,TX,78701,,R20170731112644-Q0024-RP0024
Q0025,R20170731112644,RP0025,1112 S. 8TH STREET,,AUSTIN,TX,78702,,R20170731112644-Q0025-RP0025
Q0026,R20170731112644,RP0026,304 E. CESAR CHAVEZ,,AUSTIN,TX,78701,,R20170731112644-Q0026-RP0026
Q0027,R20170731112644,RP0027,1901 SAN ANTONIO ST,,AUSTIN,TX,78705,,R20170731112644-Q0027-RP0027
Q0028,R20170731112644,RP0028,S CONGRESS AND RALPH ABLENADO,,Austin,TX,78701,,R20170731112644-Q0028-RP0028
Q0029,R20170731112644,RP0029,NW CORNER OF SLAUGHTER AND IH-35,,AUSTIN,TX,78745,,R20170731112644-Q0029-RP0029
Q0030,R20170731112644,RP0030,5210 N LAMAR BLVD,,AUSTIN,TX,78751,,R20170731112644-Q0030-RP0030
Q0032,R20170731112644,RP0032,413 NAVASOTA STREET,,AUSTIN,TX,78702,,R20170731112644-Q0032-RP0032
Q0033,R20170731112644,RP0033,8212 BARTON CLUB DR,,AUSTIN,TX,78735,,R20170731112644-Q0033-RP0033
Q0034,R20170731112644,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20170731112644-Q0034-RP0034
Q0035,R20170731112644,RP0035,E STATE HWY 71,,DEL VALLE,TX,78617,,R20170731112644-Q0035-RP0035
Q0036,R20170731112644,RP0036,,,,,,LOT 1-2 BLK A ALEXAN MOUNTAIN VIEW& PT LOT 1& LOT 2 BELVIN M E SUBD& ABS 86 SUR 75 BELLA AF ACR 10.6010,R20170731112644-Q0036-RP0036
Q0001,R20170731113557,RP0001,70 Pascal Lane,,Austin,TX,78746,,R20170731113557-Q0001-RP0001
Q0002,R20170731113557,RP0002,721 Congress Ave,,Austin,TX,78701,,R20170731113557-Q0002-RP0002
Q0003,R20170731113557,RP0003,8509 FM 969,,AUSTIN,TX,78724,,R20170731113557-Q0003-RP0003
Q0004,R20170731113557,RP0004,4300 STAGGERBRUSH ROAD,,AUSTIN,TX,78749,,R20170731113557-Q0004-RP0004
Q0005,R20170731113557,RP0005,710 WEST AVE,,AUSTIN,TX,78701,,R20170731113557-Q0005-RP0005
Q0006,R20170731113557,RP0006,Colton Bluff Springs Road,,AUSTIN,TX,78744,,R20170731113557-Q0006-RP0006
Q0007,R20170731113557,RP0007,6500 RR 2222,,AUSTIN,TX,78730,,R20170731113557-Q0007-RP0007
Q0008,R20170731113557,RP0008,2300 CLOUD WAY,,AUSTIN,TX,78759,,R20170731113557-Q0008-RP0008
Q0009,R20170731113557,RP0009,NW QUADRANT OF PEARCE LN & WOLF LN INTERSECTION,,Cedar Creek,TX,78612,,R20170731113557-Q0009-RP0009
Q0010,R20170731113557,RP0010,,,,,,"LOT 1, PLEASANT HILL SUBDIVISION",R20170731113557-Q0010-RP0010
Q0011,R20170731113557,RP0011,,,,,,MCCORMICK RANCH ON LAKE AUSTIN,R20170731113557-Q0011-RP0011
Q0012,R20170731113557,RP0012,220 S. CONGRESS AVE,,AUSTIN,TX,78701,,R20170731113557-Q0012-RP0012
Q0013,R20170731113557,RP0013,823 CONGRESS AVE,,AUSTIN,TX,78701,,R20170731113557-Q0013-RP0013
Q0014,R20170731113557,RP0014,,,,,,PEARSON PLACE SECTION THREE,R20170731113557-Q0014-RP0014
Q0015,R20170731113557,RP0015,8701 N. MOPAC EXPRESSWAY,,AUSTIN,TX,78759,,R20170731113557-Q0015-RP0015
Q0016,R20170731113557,RP0016,308 GUADALUPE STREET,,AUSTIN,TX,78701,,R20170731113557-Q0016-RP0016
Q0017,R20170731113557,RP0017,1800 WESTLAKE PASS,,AUSTIN,TX,78746,,R20170731113557-Q0017-RP0017
Q0018,R20170731113557,RP0018,5810 STEINER RANCH,,AUSTIN,TX,78732,,R20170731113557-Q0018-RP0018
Q0019,R20170731113557,RP0019,7200 N. MOPAC EXPRESSWAY,,AUSTIN,TX,78731,,R20170731113557-Q0019-RP0019
Q0020,R20170731113557,RP0020,610 E. 11TH STREET / 705 E. 12TH STREET,,AUSTIN,TX,78701,,R20170731113557-Q0020-RP0020
Q0021,R20170731113557,RP0021,6001 AIRPORT BLVD,,AUSTIN,TX,78752,,R20170731113557-Q0021-RP0021
Q0023,R20170731113557,RP0023,425 W. RIVERSIDE,,AUSTIN,TX,78704,,R20170731113557-Q0023-RP0023
Q0024,R20170731113557,RP0024,916 CONGRESS,,AUSTIN,TX,78701,,R20170731113557-Q0024-RP0024
Q0025,R20170731113557,RP0025,1112 S. 8TH STREET,,AUSTIN,TX,78702,,R20170731113557-Q0025-RP0025
Q0026,R20170731113557,RP0026,304 E. CESAR CHAVEZ,,AUSTIN,TX,78701,,R20170731113557-Q0026-RP0026
Q0027,R20170731113557,RP0027,1901 SAN ANTONIO ST,,AUSTIN,TX,78705,,R20170731113557-Q0027-RP0027
Q0028,R20170731113557,RP0028,S CONGRESS AND RALPH ABLENADO,,Austin,TX,78701,,R20170731113557-Q0028-RP0028
Q0029,R20170731113557,RP0029,NW CORNER OF SLAUGHTER AND IH-35,,AUSTIN,TX,78745,,R20170731113557-Q0029-RP0029
Q0030,R20170731113557,RP0030,5210 N LAMAR BLVD,,AUSTIN,TX,78751,,R20170731113557-Q0030-RP0030
Q0032,R20170731113557,RP0032,413 NAVASOTA STREET,,AUSTIN,TX,78702,,R20170731113557-Q0032-RP0032
Q0033,R20170731113557,RP0033,8212 BARTON CLUB DR,,AUSTIN,TX,78735,,R20170731113557-Q0033-RP0033
Q0034,R20170731113557,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20170731113557-Q0034-RP0034
Q0035,R20170731113557,RP0035,E STATE HWY 71,,DEL VALLE,TX,78617,,R20170731113557-Q0035-RP0035
Q0036,R20170731113557,RP0036,,,,,,LOT 1-2 BLK A ALEXAN MOUNTAIN VIEW& PT LOT 1& LOT 2 BELVIN M E SUBD& ABS 86 SUR 75 BELLA AF ACR 10.6010,R20170731113557-Q0036-RP0036
Q0001,R20170731114209,RP0001,70 Pascal Lane,,Austin,TX,78746,,R20170731114209-Q0001-RP0001
Q0002,R20170731114209,RP0002,721 Congress Ave,,Austin,TX,78701,,R20170731114209-Q0002-RP0002
Q0003,R20170731114209,RP0003,8509 FM 969,,AUSTIN,TX,78724,,R20170731114209-Q0003-RP0003
Q0004,R20170731114209,RP0004,4300 STAGGERBRUSH ROAD,,AUSTIN,TX,78749,,R20170731114209-Q0004-RP0004
Q0005,R20170731114209,RP0005,710 WEST AVE,,AUSTIN,TX,78701,,R20170731114209-Q0005-RP0005
Q0006,R20170731114209,RP0006,Colton Bluff Springs Road,,AUSTIN,TX,78744,,R20170731114209-Q0006-RP0006
Q0007,R20170731114209,RP0007,6500 RR 2222,,AUSTIN,TX,78730,,R20170731114209-Q0007-RP0007
Q0008,R20170731114209,RP0008,2300 CLOUD WAY,,AUSTIN,TX,78759,,R20170731114209-Q0008-RP0008
Q0009,R20170731114209,RP0009,NW QUADRANT OF PEARCE LN & WOLF LN INTERSECTION,,Cedar Creek,TX,78612,,R20170731114209-Q0009-RP0009
Q0010,R20170731114209,RP0010,,,,,,"LOT 1, PLEASANT HILL SUBDIVISION",R20170731114209-Q0010-RP0010
Q0001,R20170718153602,RP0001,504 East 5th St.,,Austin,TX,78701,,R20170718153602-Q0001-RP0001
Q0002,R20170718153602,RP0002,3101 Manchaca,,Austin,TX,78704,,R20170718153602-Q0002-RP0002
Q0003,R20170718153602,RP0003,3003 Manchaca,,Austin,TX,78704,,R20170718153602-Q0003-RP0003
Q0004,R20170718153602,RP0004,7100 West US Hwy. 290,,Austin,TX,78736,,R20170718153602-Q0004-RP0004
Q0005,R20170718153602,RP0005,3424 South FM Road 973,,Austin,TX,787____,,R20170718153602-Q0005-RP0005
Q0006,R20170718153602,RP0006,1011 South Congress,,Austin,TX,78704,,R20170718153602-Q0006-RP0006
Q0007,R20170718153602,RP0007,2005 South Lamar,,Austin,TX,78704,,R20170718153602-Q0007-RP0007
Q0011,R20170731114209,RP0011,,,,,,MCCORMICK RANCH ON LAKE AUSTIN,R20170731114209-Q0011-RP0011
Q0012,R20170731114209,RP0012,220 S. CONGRESS AVE,,AUSTIN,TX,78701,,R20170731114209-Q0012-RP0012
Q0013,R20170731114209,RP0013,823 CONGRESS AVE,,AUSTIN,TX,78701,,R20170731114209-Q0013-RP0013
Q0014,R20170731114209,RP0014,,,,,,PEARSON PLACE SECTION THREE,R20170731114209-Q0014-RP0014
Q0015,R20170731114209,RP0015,8701 N. MOPAC EXPRESSWAY,,AUSTIN,TX,78759,,R20170731114209-Q0015-RP0015
Q0016,R20170731114209,RP0016,308 GUADALUPE STREET,,AUSTIN,TX,78701,,R20170731114209-Q0016-RP0016
Q0017,R20170731114209,RP0017,1800 WESTLAKE PASS,,AUSTIN,TX,78746,,R20170731114209-Q0017-RP0017
Q0018,R20170731114209,RP0018,5810 STEINER RANCH,,AUSTIN,TX,78732,,R20170731114209-Q0018-RP0018
Q0019,R20170731114209,RP0019,7200 N. MOPAC EXPRESSWAY,,AUSTIN,TX,78731,,R20170731114209-Q0019-RP0019
Q0020,R20170731114209,RP0020,610 E. 11TH STREET / 705 E. 12TH STREET,,AUSTIN,TX,78701,,R20170731114209-Q0020-RP0020
Q0021,R20170731114209,RP0021,6001 AIRPORT BLVD,,AUSTIN,TX,78752,,R20170731114209-Q0021-RP0021
Q0023,R20170731114209,RP0023,425 W. RIVERSIDE,,AUSTIN,TX,78704,,R20170731114209-Q0023-RP0023
Q0024,R20170731114209,RP0024,916 CONGRESS,,AUSTIN,TX,78701,,R20170731114209-Q0024-RP0024
Q0025,R20170731114209,RP0025,1112 S. 8TH STREET,,AUSTIN,TX,78702,,R20170731114209-Q0025-RP0025
Q0026,R20170731114209,RP0026,304 E. CESAR CHAVEZ,,AUSTIN,TX,78701,,R20170731114209-Q0026-RP0026
Q0027,R20170731114209,RP0027,1901 SAN ANTONIO ST,,AUSTIN,TX,78705,,R20170731114209-Q0027-RP0027
Q0028,R20170731114209,RP0028,S CONGRESS AND RALPH ABLENADO,,Austin,TX,78701,,R20170731114209-Q0028-RP0028
Q0029,R20170731114209,RP0029,NW CORNER OF SLAUGHTER AND IH-35,,AUSTIN,TX,78745,,R20170731114209-Q0029-RP0029
Q0030,R20170731114209,RP0030,5210 N LAMAR BLVD,,AUSTIN,TX,78751,,R20170731114209-Q0030-RP0030
Q0032,R20170731114209,RP0032,413 NAVASOTA STREET,,AUSTIN,TX,78702,,R20170731114209-Q0032-RP0032
Q0033,R20170731114209,RP0033,8212 BARTON CLUB DR,,AUSTIN,TX,78735,,R20170731114209-Q0033-RP0033
Q0034,R20170731114209,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20170731114209-Q0034-RP0034
Q0035,R20170731114209,RP0035,E STATE HWY 71,,DEL VALLE,TX,78617,,R20170731114209-Q0035-RP0035
Q0036,R20170731114209,RP0036,,,,,,LOT 1-2 BLK A ALEXAN MOUNTAIN VIEW& PT LOT 1& LOT 2 BELVIN M E SUBD& ABS 86 SUR 75 BELLA AF ACR 10.6010,R20170731114209-Q0036-RP0036
Q0001,R20170814101404,RP0001,,,,,,"Approximately 2,000 acres - See HB No. 4345 for complete description of Rio de Vida MUD No. 1.",R20170814101404-Q0001-RP0001
Q0001,R20170814103640,RP0001,4201 Alexandria,,Austin,TX,78749,,R20170814103640-Q0001-RP0001
Q0002,R20170814103640,RP0002,,,Austin,TX,,"Views at Onion Creek Subdivision, Bradshaw Rd.",R20170814103640-Q0002-RP0002
Q0003,R20170814103640,RP0003,7919 West Highway 71,,Austin,TX,78735,,R20170814103640-Q0003-RP0003
Q0004,R20170814103640,RP0004,,,Austin,TX,,41.109 acres out of the Santiago del Valle Grant located at Bastrop Hwy. & 626 Bastrop Hwy.,R20170814103640-Q0004-RP0004
Q0005,R20170814103640,RP0005,,,NE Austin,TX,,Entrada Subdivision (Immanuel Rd. & Crystal Bend Dr.),R20170814103640-Q0005-RP0005
Q0006,R20170814103640,RP0006,8901 W Highway 71,,Austin,TX,78735,,R20170814103640-Q0006-RP0006
