REGISTRANT_ID,REGISTRANT_FULL_NAME,ENTITY_CD,REGISTRANT_TITLE,REGISTRANT_FIRST_NAME,REGISTRANT_MI,REGISTRANT_LAST_NAME,REGISTRANT_SUFFIX,EMPLOYER,REGISTRATION_DATE,RENEWAL_DATE,TERMINATION_DATE,REGISTERED_BY
RG0080,"Metcalfe, Wolff, Stuart & Williams, LLP",Entity,,,,"Metcalfe, Wolff, Stuart & Williams, LLP",,,06/01/2017 12:00:00 AM,,,
RG0081,"Metcalfe, Steven",Individual,,Steven,,Metcalfe,,"Metcalfe, Wolff, Stuart & Williams, LLP",07/07/2017 12:00:00 AM,,,RG0080
RG0082,"Williams, Talley",Individual,,Talley,,Williams,,"Metcalfe, Wolff, Stuart & Williams, LLP",07/07/2017 12:00:00 AM,,,RG0080
RG0083,"Lynch, Michele",Individual,,Michele,,Lynch,,"Metcalfe, Wolff, Stuart & Williams, LLP",01/10/2017 12:00:00 AM,,,RG0080
RG0084,"Herring, William",Individual,,William,,Herring,,"Metcalfe, Wolff, Stuart & Williams, LLP",07/07/2017 12:00:00 AM,,04/10/2019 12:00:00 AM,RG0080
RG0085,"Brown, Amanda",Individual,,Amanda,,Brown,,"Metcalfe, Wolff, Stuart & Williams, LLP",07/07/2017 12:00:00 AM,,,RG0080
RG0086,"Joslove, Scott K.",Individual,Mr.,Scott,K.,Joslove,,,07/10/2017 12:00:00 AM,,01/09/2018 12:00:00 AM,
RG0087,"Melancon, Rebecca L.",Individual,,Rebecca,L.,Melancon,,Austin Independent Business Alliance (AIBA),07/03/2017 12:00:00 AM,,04/27/2020 12:00:00 AM,
RG0088,"Lubbers, Emily",Individual,,Emily,,Lubbers,,Home Builders Association of Greater Austin,06/15/2017 12:00:00 AM,,08/14/2018 12:00:00 AM,
RG0089,"Stantec Consulting Services, Inc.",Entity,,,,"Stantec Consulting Services, Inc.",,,06/15/2017 12:00:00 AM,,,
RG0090,"Rye, Stephen",Individual,,Stephen,,Rye,,"Stantec Consulting Services, Inc.",06/15/2017 12:00:00 AM,,05/31/2018 12:00:00 AM,RG0089
RG0091,"Kleeman, Robert",Individual,,Robert,J.,Kleeman,,,06/19/2017 12:00:00 AM,,,
RG0092,"Curtis, Matthew",Individual,,Matthew,,Curtis,,"GPS Policy Group, LLC",06/21/2017 12:00:00 AM,,,
RG0093,"Visco, Thomas",Individual,,Thomas,,Visco,,"BVE Partners, LLC",06/23/2017 12:00:00 AM,,09/11/2018 12:00:00 AM,RG0095
RG0094,"Enriquez, Francisco",Individual,,Francisco,,Enriquez,,"BVE Partners, LLC",06/23/2017 12:00:00 AM,,09/11/2018 12:00:00 AM,RG0095
RG0149,"Philips, Jerry",Individual,,Jerry,,Philips,,,04/10/2018 12:00:00 AM,,10/10/2018 12:00:00 AM,
RG0172,Squire Patton Boggs,Entity,,,,Squire Patton Boggs,,,05/07/2019 12:00:00 AM,,,
RG0179,"Alborg, Tim",Individual,,Tim,,Alborg,,,05/30/2019 12:00:00 AM,,07/25/2019 12:00:00 AM,RG0178
RG0180,"Everhart, Amy",Individual,,Amy,,Everhart,,,06/21/2019 12:00:00 AM,,04/04/2020 12:00:00 AM,RG0134
RG0181,"Lucio, Daniel",Individual,,Daniel,,Lucio,,Google LLC and Affiliates,06/26/2019 12:00:00 AM,,,
RG0182,"Ciliberto, Carrie L.",Individual,,Carrie,L.,Ciliberto,,,08/23/2019 12:00:00 AM,,,RG0111
RG0183,"Irion, Terrence L.",Individual,,Terrence,,Irion,,"Sprouse Shrader Smith, PLLC",10/08/2019 12:00:00 AM,,,
RG0184,"Delp, Robert K.",Individual,Dr.,Robert,K.,Delp,Jr.,UNITE HERE Local 23,01/15/2020 12:00:00 AM,,,
RG0185,"Visco, Thomas A.",Individual,,Thomas,A.,Visco,,Austin Parks Foundation,01/16/2020 12:00:00 AM,,,
RG0186,"Smith, Sharon J.",Individual,,Sharon,J.,Smith,,,02/19/2020 12:00:00 AM,,,
RG0054,"Miller, Scott",Individual,,Scott,,Miller,,,10/21/2016 12:00:00 AM,,12/26/2018 12:00:00 AM,RG0129
RG0055,"Miller, Steven J.",Individual,,Steven,J.,Miller,,,01/31/2017 12:00:00 AM,,07/18/2017 12:00:00 AM,
RG0056,"Moorhead, Scott",Individual,,Scott,,Moorhead,,Woods Prairie,09/28/2016 12:00:00 AM,,09/27/2017 12:00:00 AM,
RG0057,"Morrow, Amanda L.",Individual,,Amanda,Lynn,Morrow,,Armbrust & Brown,01/06/2017 12:00:00 AM,,,
RG0058,"Myers, Alice A.",Individual,,Alice,A.,Myers,,"Myers Consulting, LLC",03/29/2017 12:00:00 AM,,,
RG0059,"Nabers, Mary S.",Individual,,Mary,S.,Nabers,,,06/08/2016 12:00:00 AM,,,RG0113
RG0060,"Nathan, Mark R.",Individual,,Mark,Robert,Nathan,,,12/13/2016 12:00:00 AM,,12/19/2019 12:00:00 AM,
RG0061,"Neslund, Melissa M.",Individual,,Melissa,May,Neslund,,Armbrust & Brown,05/03/2017 12:00:00 AM,,11/14/2017 12:00:00 AM,
RG0062,"Nickells, Julienne K.",Individual,,Julienne,K.,Nickells,,Drenner Group,04/10/2017 12:00:00 AM,,11/08/2017 12:00:00 AM,RG0106
RG0063,"Poall, Steven",Individual,,Steven,,Poall,,Fidelity Capital Markets,01/12/2017 12:00:00 AM,,,
RG0064,"Poinsett, Royce P.",Individual,,Royce,P.,Poinsett,,,04/10/2017 12:00:00 AM,,07/28/2017 12:00:00 AM,
RG0065,"Robinson, Kelan",Individual,,Kelan,,Robinson,,"Armbrust & Brown, PLLC",05/02/2017 12:00:00 AM,,04/10/2018 12:00:00 AM,
RG0066,"Salinas III, Derlis Trey",Individual,,Derlis Trey,,Salinas,III,3 Point Partners,10/21/2016 12:00:00 AM,,,RG0130
RG0068,"Stephenson, John",Individual,,John,,Stephenson,,,03/09/2017 12:00:00 AM,,01/03/2018 12:00:00 AM,
RG0069,"Stratmann, Mary",Individual,,Mary,,Stratmann,,,11/07/2016 12:00:00 AM,,07/07/2017 12:00:00 AM,
RG0070,"Suttle, Richard T.",Individual,,Richard,T.,Suttle,Jr.,,12/22/2016 12:00:00 AM,,,
RG0071,"Swor, Amanda W.",Individual,,Amanda,W.,Swor,,Drenner Group,07/12/2016 12:00:00 AM,,,RG0106
RG0072,"Tahuahua, Geoffrey",Individual,,Geoffrey,,Tahuahua,,,01/10/2017 12:00:00 AM,,,
RG0073,"Theunissen, Trevor",Individual,,Trevor,,Theunissen,,,07/08/2016 12:00:00 AM,,01/02/2019 12:00:00 AM,
RG0074,"Thrower, Allen",Individual,,Allen,Ron,Thrower,,Thrower Design,06/27/2016 12:00:00 AM,,,RG0108
RG0075,"Walker, Christopher J.",Individual,,Christopher,Jason,Walker,,,07/07/2016 12:00:00 AM,,12/04/2017 12:00:00 AM,
RG0076,"Ward, Leslie L.",Individual,,Leslie,L.,Ward,,AT&T,03/02/2017 12:00:00 AM,,,
RG0077,"Whellan, Michael J.",Individual,,Michael,J.,Whellan,,"Graves, Dougherty H & M",01/06/2017 12:00:00 AM,,01/26/2018 12:00:00 AM,RG0105
RG0078,"Winstead, Pete",Individual,,Pete,,Winstead,,Winstead PC,12/21/2016 12:00:00 AM,,,
RG0079,"Buie, Jed",Individual,,Jed,,Buie,,,04/27/2016 12:00:00 AM,,,
RG0187,"Gullatt, Dowe D.",Individual,,Dowe,D.,Gullatt,,,03/19/2020 12:00:00 AM,,,
RG0188,"Gharakhanian, Stephanie A.",Individual,,Stephanie,A.,Gharakhanian,,,04/18/2020 12:00:00 AM,,,RG0125
RG0034,"Howard, Jeffrey S.",Individual,,Jeffrey,S.,Howard,,"McLean & Howard, L. L. P.",08/01/2016 12:00:00 AM,,,RG0099
RG0035,"Jashinsky, Alexandra C.",Individual,,Alexandra,C.,Jashinsky,,,06/30/2016 12:00:00 AM,,,
RG0036,"Johns, Leandre",Individual,,Leandre,,Johns,,Uber Technologies,10/14/2016 12:00:00 AM,,11/07/2018 12:00:00 AM,
RG0037,"Joseph, John M.",Individual,,John,M.,Joseph,,,09/06/2016 12:00:00 AM,,,
RG0039,"King, Micah J.",Individual,,Micah,J.,King,,,02/06/2017 12:00:00 AM,,,
RG0040,"Klingler, Hans",Individual,,Hans,,Klinger,,,01/23/2017 12:00:00 AM,,10/10/2017 12:00:00 AM,
RG0041,"Leffingwell, Lee",Individual,,Lee,,Leffingwell,,,02/24/2017 12:00:00 AM,,,
RG0042,"Littlefield, Mark",Individual,,Mark,,Littlefield,,,02/08/2017 12:00:00 AM,,,
RG0043,"Lofye, David C.",Individual,,David,C.,Lofye,,,01/18/2017 12:00:00 AM,,04/08/2018 12:00:00 AM,
RG0044,"Lopez, Carlos",Individual,,Carlos,,Lopez,,,01/31/2017 12:00:00 AM,,,
RG0045,"Lopez Saltarelli, Amelia",Individual,,Amelia,,Lopez Saltarelli,,Amelia Lopez Consulting LLC,01/26/2017 12:00:00 AM,,09/29/2017 12:00:00 AM,
RG0046,"Lubomudrov, Andrei Y.",Individual,,Andrei,Y.,Lubomudrov,,,10/31/2016 12:00:00 AM,,04/08/2019 12:00:00 AM,RG0134
RG0047,"Lucardi, Donald H.",Individual,,Donald,H.,Lucardi,,Emso Asset Management US LLC,12/27/2016 12:00:00 AM,,,
RG0049,"Madere, Pamela",Individual,,Pamela,,Madere,,,07/18/2016 12:00:00 AM,,10/09/2018 12:00:00 AM,
RG0051,"McLean, William P.",Individual,,William,P.,McLean,,"McLean & Howard, L. L. P.",04/07/2017 12:00:00 AM,,,RG0099
RG0052,"Meade, Nikelle S.",Individual,,Nikelle,S.,Meade,,,04/26/2017 12:00:00 AM,,,
RG0095,"BVE Partners, LLC",Entity,,,,"BVE Partners, LLC",,,06/23/2017 12:00:00 AM,,09/11/2018 12:00:00 AM,
RG0096,Austin Convention & Visitors Bureau,Entity,,,,Austin Convention & Visitors Bureau,,,06/26/2017 12:00:00 AM,,,
RG0098,"Roberts, Cary",Individual,Mr.,Cary,,Roberts,,,07/06/2017 12:00:00 AM,,,
RG0097,"Noonan, Thomas J.",Individual,Mr.,Thomas,James,Noonan,,Austin Convention & Visitors Bureau,06/26/2017 12:00:00 AM,,,RG0096
RG0099,"McLean & Howard, L. L. P.",Entity,,,,"McLean & Howard, L. L. P.",,,07/10/2017 12:00:00 AM,,,
RG0100,"Shoppa, Dwayne",Individual,,Dwayne,,Shoppa,,"Stantec Consulting Services, Inc.",07/10/2017 12:00:00 AM,,05/31/2018 12:00:00 AM,RG0089
RG0101,"Gheno, Nicola",Individual,,Nicola,,Gheno,,"Stantec Consulting Services, Inc.",07/10/2017 12:00:00 AM,,05/31/2018 12:00:00 AM,RG0089
RG0102,"Dehghan Niri, Hamid",Individual,,Hamid,,Dehghan Niri,,"Stantec Consulting Services, Inc.",07/10/2017 12:00:00 AM,,10/05/2017 12:00:00 AM,RG0089
