REPORT_ID,REGISTRANT_ID,REPORTED_BY,REPORT_TYPE1,REPORT_TYPE2,REPORT_DATE,DUE_DATE,REPORT_YEAR,ACTIVITY_QUARTER,REGISTRANT_BUS_ADR1,REGISTRANT_BUS_ADR2,REGISTRANT_BUS_CITY,REGISTRANT_BUS_STATE,REGISTRANT_BUS_ZIP,REGISTRANT_MAIL_ADR1,REGISTRANT_MAIL_ADR2,REGISTRANT_MAIL_CITY,REGISTRANT_MAIL_STATE,REGISTRANT_MAIL_ZIP,TOTAL_REIMBOTHERS,TOTAL_FOODBEV,TOTAL_TRANSLODG,TOTAL_GIFTS,TOTAL_ENTERTAINMENT,TOTAL_AWARDS,TOTAL_HONORARIUMS,TOTAL_EVENTFEES,TOTAL_MEDIA,TOTAL_MEDIASUPPORT,EDIMS_DOCNUMBER,NO_ACT,EMP_501C3_YN,NO_CLIENT
R20200504110447,RG0110,,Quarterly_Activity_Report,April,05/01/2020 12:00:00 AM,04/10/2020 12:00:00 AM,2020,Q1,919 Congress Avenue,Suite 1500,Austin,TX,78701,919 Congress Avenue,Suite 1500,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,339666,FALSE,N,N
R20200504110900,RG0034,RG0099,Quarterly_Activity_Report,April,05/01/2020 12:00:00 AM,04/10/2020 12:00:00 AM,2020,Q1,901 South Mopac Expressway,"Building 2, Suite 225",Austin,TX,78746,901 South Mopac Expressway,"Building 2, Suite 225",Austin,TX,78746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,339665,FALSE,N,N
R20191218124700,RG0167,,Quarterly_Activity_Report,January,12/16/2019 12:00:00 AM,01/10/2020 12:00:00 AM,2020,Q4,5229 Tower Trail,,Austin,TX,78723,5229 Tower Trail,,Austin,TX,78723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333089,FALSE,N,N
R20200505131927,RG0002,RG0106,Quarterly_Activity_Report,April,05/05/2020 12:00:00 AM,04/10/2020 12:00:00 AM,2020,Q1,200 Lee Barton Drive,Suite 100,Austin,TX,78704,200 Lee Barton Drive,Suite 100,Austin,TX,78704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,FALSE,N,N
R20200505132314,RG0007,RG0106,Quarterly_Activity_Report,April,05/05/2020 12:00:00 AM,04/10/2020 12:00:00 AM,2020,Q1,200 Lee Barton Drive,Suite 100,Austin,TX,78704,200 Lee Barton Drive,Suite 100,Austin,TX,78704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,FALSE,N,N
R20200505132730,RG0020,RG0106,Quarterly_Activity_Report,April,05/05/2020 12:00:00 AM,04/10/2020 12:00:00 AM,2020,Q1,200 Lee Barton Drive,Suite 100,Austin,TX,78704,200 Lee Barton Drive,Suite 100,Austin,TX,78704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,FALSE,N,N
R20200505133128,RG0071,RG0106,Quarterly_Activity_Report,April,05/05/2020 12:00:00 AM,04/10/2020 12:00:00 AM,2020,Q1,200 Lee Barton Drive,Suite 100,Austin,TX,78704,200 Lee Barton Drive,Suite 100,Austin,TX,78704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,FALSE,N,N
R20170710122845,RG0026,,Quarterly_Activity_Report,July,06/28/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,303 Colorado St.,Ste. 2300,Austin,TX,78701,303 Colorado St.,Ste. 2300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282521,FALSE,N,
R20170710132635,RG0076,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,816 CONGRESS AVENUE,SUITE 1100,AUSTIN,TX,78701,816 CONGRESS AVENUE,SUITE 1100,AUSTIN,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282583,FALSE,N,
R20170710144157,RG0040,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,2021 Zach Scott Street,,Austin,TX,78723,2021 Zach Scott Street,,Austin,TX,78723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282540,TRUE,N,
R20170710150020,RG0036,,Quarterly_Activity_Report,July,06/28/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,1801 N. Lamar Street,,Dallas,TX,75201,1455 Market Street,Suite 400,San Francisco,CA,94103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282533,TRUE,N,
R20170710151527,RG0041,,Quarterly_Activity_Report,July,07/07/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,4516 Balcones Drive,,Austin,TX,78731,4516 Balcones Drive,,Austin,TX,78731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282541,FALSE,N,
R20170710152521,RG0088,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,8140 Exchange Drive,,Austin,TX,78754,8140 Exchange Drive,,Austin,TX,78754,5660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282545,FALSE,N,
R20170710171605,RG0097,RG0096,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,111 Congress Ave.,Suite 700,Austin,TX,78701,111 Congress Ave.,Suite 700,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282565,FALSE,N,
R20170714122039,RG0029,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,111 Congress Avenue,Suite 1400,Austin,TX,78701,111 Congress Avenue,Suite 1400,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282524,FALSE,N,
R20170714135538,RG0022,,Renewal,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,29*9 Makaha Drive,,Bastrop,TX,78602,299 Makaha Drive,,Bastrop,TX,78602,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282516,FALSE,N,
R20170714140052,RG0072,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,98 San Jacinto Blvd.,#510,Austin,TX,78701,98 San Jacinto Blvd.,#510,Austin,TX,78701,0.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282580,FALSE,N,
R20170717151039,RG0023,RG0113,Quarterly_Activity_Report,July,07/17/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,901 S Mopac Bldg I #100,,Austin,TX,78746,901 S Mopac Bldg I #100,,Austin,TX,78746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282519,FALSE,N,
R20170717151921,RG0059,RG0113,Quarterly_Activity_Report,July,07/17/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,901 S Mopac Bldg I #100,,Austin,TX,78746,901 S Mopac Bldg I #100,,Austin,TX,78746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282560,FALSE,N,
R20170718132546,RG0004,,Quarterly_Activity_Report,July,07/17/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,815 A Brazos St,PMB 545,Austin,TX,78701,815 A Brazos St,PMB 545,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282494,TRUE,N,
R20170718142458,RG0101,RG0089,New,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,221 W. 6th Street,Suite 600,Austin,TX,78701,221 W. 6th Street,Suite 600,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282520,FALSE,N,
R20170718143428,RG0103,RG0089,New,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,221 W. 6th Street,Suite 600,Austin,TX,78701,221 W. 6th Street,suite 600,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282531,FALSE,N,
R20170718143926,RG0100,RG0089,New,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,221 West Sixth Street,Suite 600,Austin,TX,78701,221 West Sixth Street,Suite 600,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282574,FALSE,N,
R20170718150200,RG0039,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,111 Congress Avenue,Suite 1400,Austin,TX,78701,111 Congress Avenue,Suite 1400,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282537,FALSE,N,
R20170719103728,RG0046,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,4800 Spicewood Springs Rd,,Austin,TX,78759,4800 Spicewood Springs Rd,,Austin,TX,78759,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15000.00,282547,FALSE,N,
R20170721113241,RG0062,RG0106,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,200 Lee Barton Drive,100,Austin,TX,78704,200 Lee Barton Drive,100,Austin,TX,78704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282563,FALSE,N,
R20170726105915,RG0006,,Quarterly_Activity_Report,July,07/05/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,2915 Zach Scott Street,,Austin,TX,78723,2915 Zach Scott Street,,Austin,TX,78723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282496,TRUE,N,
R20170727171929,RG0038,,Renewal,None,07/19/2017 12:00:00 AM,,2017,Q3,300 West 6th Street,Suite 2050,Austin,TX,78701,300 West 6th Street,Suite 2050,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282536,FALSE,N,
R20170727173250,RG0003,,Quarterly_Activity_Report,July,07/07/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,100 Congress Avenue,Suite 1300,Austin,TX,78701,100 Congress Avenue,Suite 1300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282493,FALSE,N,
R20170728150414,RG0027,,Quarterly_Activity_Report,July,06/30/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,5117 Valburn Court,,Austin,TX,78731,"3571 Far West Blvd., PMB 61",,Austin,TX,78731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282522,FALSE,N,
R20170731112644,RG0018,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,100 Congress Ave.,STE 1300,Austin,TX,78701,100 Congress Ave.,STE 1300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282512,FALSE,N,
R20170731113557,RG0070,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,100 Congress Ave.,STE 1300,Austin,TX,78701,100 Congress Ave.,STE 1300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282577,FALSE,N,
R20170731114209,RG0061,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,100 Congress Ave.,STE 1300,Austin,TX,78701,100 Congress Ave.,STE 1300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282562,FALSE,N,
R20170731115314,RG0011,,Quarterly_Activity_Report,July,07/06/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,535 E 5th Street,,Austin,TX,78701,535 E 5th Street,,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282504,FALSE,N,
R20170810174107,RG0009,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,1914 Patton Lane,,Austin,TX,78723,1914 Patton Lane,,Austin,TX,78723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282503,FALSE,N,
R20170814091805,RG0114,RG0113,New,None,07/17/2017 12:00:00 AM,,2017,Q3,901 S Mopac Bldg I #100,,Austin,TX,78746,901 S Mopac Bldg I #100,,Austin,TX,78746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282492,FALSE,N,
R20170814094340,RG0112,RG0111,New,None,07/17/2017 12:00:00 AM,,2017,Q3,8140 Exchange Dr,,Austin,TX,78754,8140  Exchange Dr,,Austin,TX,78754,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282523,FALSE,N,
R20170814095150,RG0032,,Quarterly_Activity_Report,July,07/07/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,1303 San Antonio Street,Ste. 720,Austin,TX,78701,1303 San Antonio Street,Ste. 720,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282527,FALSE,N,
R20170814100529,RG0047,,Quarterly_Activity_Report,July,07/17/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,680 Fifth Avenue,18th Floor,New York,NY,10019,680 Fifth Avenue,18th Floor,New York,NY,10019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282548,TRUE,N,
R20170814101404,RG0049,,Quarterly_Activity_Report,July,07/05/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,901 S. Mopac Expressway,"Building 1, Suite 500",Austin,TX,78746,901 S. Mopac Expressway,"Building 1, Suite 500",Austin,TX,78746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282549,FALSE,N,
R20170814102422,RG0051,RG0099,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,901 South Mopac Expressway,"Building 2, Suite 225",Austin,TX,78746,901 South Mopac Expressway,"Building 2, Suite 225",Austin,TX,78746,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282551,TRUE,N,
R20170814103640,RG0081,RG0080,New,None,07/07/2017 12:00:00 AM,,2017,Q2,221 West 6th St.,1300,Austin,TX,78701,221 West 6th St.,1300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282555,FALSE,N,
R20170814104940,RG0057,,Quarterly_Activity_Report,July,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,2017,Q2,100 Congress Ave.,STE 1300,Austin,TX,78701,100 Congress Ave.,STE 1300,Austin,TX,78701,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282558,FALSE,N,
R20170814105522,RG0116,,New,None,08/02/2017 12:00:00 AM,,2017,Q3,8929 Whiteworth Loop,,Austin,TX,78749,8929 Whiteworth Loop,,Austin,TX,78749,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282567,FALSE,N,
