EXPENDITUREOTHER_ID,PERIOD_START,PERIOD_END,PURPOSE,RECIPIENT_FIRST_NAME,RECIPIENT_LAST_NAME,RECIPIENT_TITLE,AMOUNT,DEPARTMENT,LOBBYIST_ID,LOBBYIST_FIRSTNAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LASTNAME,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2147964607,01/01/2018,03/31/2018,FOOD AND BEVERAGE,LISA,DAVIS,DIRECTOR,24.00,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,05/15/2018
1663079367,04/01/2019,06/30/2019,FOOD AND BEVERAGE,RODERICK,WARREN,IT DIRECTOR,10.77,INNOVATION & TECHNOLOGY,23922,SARA,,WHITE,4200670289,APPLE INC.,07/16/2019
3098256814,07/01/2018,09/30/2018,FOOD AND BEVERAGE,KAREN,NOLAN,YOUTH SERVICES COORDINATOR,12.71,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
2221042818,07/01/2019,09/30/2019,FOOD AND BEVERAGE,HASSAN,ABOUELKHEIR,SENIOR PROGRAMMER/ANALYST,10.82,FAMILY AND SUPPORT SERVICES,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
3198527837,10/01/2018,12/31/2018,NONE,NONE,NONE,NONE,0.00,POLICE DEPARTMENT,22904,GEORGE,,UNZUETA,3993013958,VERIZON WIRELESS,11/19/2018
3827357677,01/01/2018,03/31/2018,FOOD AND BEVERAGE,RAHM,EMANUEL,MAYOR,24.00,MAYORS OFFICE,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,04/20/2018
2450078619,07/01/2019,09/30/2019,FOOD AND BEVERAGE,LONNIE,JENKINS,DIRECTOR OF RESEARCH AND PLANNING,10.82,FIRE DEPARTMENT,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
2780265498,07/01/2019,09/30/2019,HBAP PROGRAM - LUNCH,BRIAN,O'DONNELL,,68.98,HOUSING AND ECONOMIC DEVELOPMENT,4250,WILLIAM,G,HOFHERR,1277349274,GEORGE K. BAUM & COMPANY,09/17/2019
4213687456,07/01/2019,09/30/2019,FOOD AND BEVERAGE,JOSHUA,DENNIS,DISTRICT CHIEF,10.82,FIRE DEPARTMENT,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
3768367777,01/01/2019,03/31/2019,REASONABLE HOSTING PUSH BREAKFAST,MICHELLE,HARRIS,WARD ALDERMAN,150.00,CITY COUNCIL / ALDERMEN,16221,CORY,,FOSTER,2796573750,COMED,04/16/2019
2834200467,10/01/2017,12/31/2017,RECEPTION,,RIVKIN,DEPUTY MAYOR,40.00,MAYORS OFFICE,11321,TOM,,WOLF,3179628920,BP AMERICA,01/02/2018
1327516691,01/01/2019,03/31/2019,FOOD/BEVERAGE & TICKET PROVIDED AT REASONABLE HOSTING EVENT,RODERICK,SAWYER,ALDERMAN,70.00,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/18/2019
4019824255,04/01/2018,06/30/2018,ATTENDANCE AT CPS CEO ADDRESS TO CITY CLUB,JENNIE,BENNETT,CFO,75.00,CHICAGO PUBLIC SCHOOLS,5967,JONATHAN,,CASIANO,127856746,"PNC BANK, NATIONAL ASSOCIATION",07/20/2018
2774656605,04/01/2018,06/30/2018,CONDUENT BRANDED PEN,MARY JEAN,PAGNONI,ADMINISTRATIVE ASSISTANT,10.00,TRANSPORTATION,12901,HOLLY,,COOPER,413645007,CONDUENT INCORPORATED,07/12/2018
3768367777,01/01/2019,03/31/2019,REASONABLE HOSTING PUSH BREAKFAST,MICHELLE,HARRIS,WARD ALDERMAN,150.00,CITY COUNCIL / ALDERMEN,3904,ANGELITA,,PEREZ,2796573750,COMED,04/16/2019
643482805,07/01/2018,09/30/2018,SHIRT,REBECCA,ESTRADA,MANAGER OF FAMILY SUPPORT,10.00,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
1197026398,04/01/2017,06/30/2017,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,DANIELLE,DUMERER,ACTING CIO,6.13,INNOVATION & TECHNOLOGY,17901,MATTHEW,,SUMMY,516739561,COMCAST,07/17/2017
282455494,07/01/2018,09/30/2018,DINNER,SAWYER,RODERICK,ALDERMAN,38.00,CITY COUNCIL / ALDERMEN,21681,HOLTON,,HAWKINS,3269198183,"VMWARE, INC.",10/16/2018
4120950355,04/01/2019,06/30/2019,"FOOD/BEVERAGE, PARKING, TICKET PROVIDED AT REASONABLE HOSTING EVENT",GREGORY,MITCHELL,ALDERMAN,74.95,CITY COUNCIL / ALDERMEN,6181,YAFAWN,,SMITH,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",07/19/2019
1218108538,07/01/2018,09/30/2018,FOOD AND BEVERAGE,CHARISMA,CANNON,SPONSORSHIP COORDINATOR,4.93,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,10/18/2018
3457426730,04/01/2019,06/30/2019,HBAP PROGRAM - LUNCH,BRIAN,O'DONNELL,,95.17,HOUSING AND ECONOMIC DEVELOPMENT,4250,WILLIAM,G,HOFHERR,1277349274,GEORGE K. BAUM & COMPANY,07/16/2019
1236111510,10/01/2017,12/31/2017,N/A,N/A,N/A,N/A,0.00,CITY COUNCIL / ALDERMEN,20403,RAFAEL,,CHAPUR DUARTE,432225359,NHC LLC,01/05/2018
1161458312,01/01/2019,03/31/2019,FOOD/BEVERAGE & TICKET PROVIDED AT REASONABLE HOSTING EVENT,MICHELLE,HARRIS,ALDERMAN,70.00,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/18/2019
269798963,01/01/2018,03/31/2018,FOOD AND BEVERAGE,EVELYN,BENETIZ,MANAGER,24.00,FAMILY AND SUPPORT SERVICES,8081,OLGA,,GUTIERREZ,4200670289,APPLE INC.,05/15/2018
1799461839,01/01/2019,03/31/2019,HBAP PROGRAM - LUNCH,PATRICIA,DOMINGUEZ,,50.65,CHICAGO INFRASTRUCTURE TRUST,4250,WILLIAM,G,HOFHERR,1277349274,GEORGE K. BAUM & COMPANY,04/05/2019
1712550287,01/01/2018,03/31/2018,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,WALTER,"BURNETT, JR.",ALDERMAN,11.70,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/20/2018
1779071089,07/01/2019,09/30/2019,FOOD AND BEVERAGE,LISA,DAVIS,SUPERVISOR OF FAMILY SUPPORT PROGRAM,10.82,FAMILY AND SUPPORT SERVICES,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
3520411093,01/01/2019,03/31/2019,FOOD/BEVERAGE & TICKET PROVIDED AT REASONABLE HOSTING EVENT,HOWARD,"BROOKINS, JR.",ALDERMAN,70.00,CITY COUNCIL / ALDERMEN,17901,MATTHEW,,SUMMY,3847397064,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",04/18/2019
2105264717,10/01/2019,12/31/2019,LUNCH,PAULA,BATTAGLIO,SCHEDULING,14.50,LAW DEPARTMENT,23061,VICTORIA,E.,ROCK,971457553,VERITEXT,01/17/2020
3703828963,10/01/2017,12/31/2017,RECEPTION,RAHM,EMANUEL,MAYOR,40.00,MAYORS OFFICE,11321,TOM,,WOLF,3179628920,BP AMERICA,01/02/2018
642330202,04/01/2017,06/30/2017,FOOD/BEVERAGE PROVIDED AT REASONABLE HOSTING EVENT,DAVID,MOORE,MOORE,6.13,CITY COUNCIL / ALDERMEN,6181,YAFAWN,,SMITH,3231735171,COMCAST,07/17/2017
1668327693,07/01/2019,09/30/2019,FOOD AND BEVERAGE,ALIX,MEZA,DEPUTY COMMISSIONER,10.82,HUMAN RESOURCES,23923,STEVE,,JOHNSON,4200670289,APPLE INC.,10/16/2019
3504200637,01/01/2018,03/31/2018,ATTEND CPS CEO SPEECH AT CITY CLUB,JENNIE,BENNET,CHIEF FINANCIAL OFFICER,70.00,CHICAGO PUBLIC SCHOOLS,5967,JONATHAN,,CASIANO,127856746,"PNC BANK, NATIONAL ASSOCIATION",04/09/2018
