EXPENDITURE_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,ACTION,AMOUNT,EXPENDITURE_DATE,PURPOSE,RECIPIENT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
402189452,01/01/2014,03/31/2014,3900,NICOLAS,,CLOCHARD-BOSSUET,TRAVELS AND MEALS FOR SELF,978.00,03/18/2014,REVIEW OF NEXT BUS LED SIGNS PROJECT,"HEMA SUNDARAM, JOHN FLYNN",1671164904,"JCDECAUX NORTH AMERICA, INC",04/01/2014
1543595161,04/01/2016,06/30/2016,6164,GABRIELLE,,BRUSSEL,MEETING WITH CITY RE CITY DIGITAL NETWORK,423.70,06/19/2016,CITY DIGITAL NETWORK,THE GWEN - HOTEL,2349450331,"INTERSTATE JCDECAUX, LLC",07/13/2016
1448157994,10/01/2014,12/31/2014,4360,LEWIS,,MILLER,RED LIGHT PROGRAM,367.20,10/08/2014,AIRFARE,"SOUTHWEST AIRLINES - 2702 LOVE FIELD DR DALLAS, TX 75235",4117277579,"XEROX BUSINESS SERVICES, LLC",01/20/2015
2758659011,01/01/2016,03/31/2016,5861,THOMAS,S,MOORE,FILING FEE,500.00,03/01/2016,FILNG FEE,CITY OF CHICAGO,3077397223,DENNY DEVELOPMENT LLC,01/12/2017
583378926,01/01/2012,06/30/2012,3804,DEREK,W,CHAUVETTE,GENERAL RELATIONSHIP MANAGEMENT MEETING WITH SPECIFIC FOCUS ON PUBLIC FINANCE AND GAMING OPPORTUNITIES WITH THE CITY OF CHICAGO,618.24,02/17/2012,TRAVEL EXPENSES,CONTINENTAL AIRLINES,1752892573,"KEYBANC CAPITAL MARKETS, INC",09/27/2012
1856958436,10/01/2016,12/31/2016,14042,TRACEY,,HESTER,LIQUOR LICENSE FOR HYDE PARK,255.49,11/09/2016,HOTEL,HILTON CHICAGO,615118324,TARGET CORPORATION,01/17/2017
3022254407,10/01/2017,12/31/2017,4228,NEAL,H.,ATTERMANN,MEETING WITH DEPARTMENT OF FINANCE,301.74,11/21/2017,LODGING,"FOUR SEASONS; 120 E DELAWARE PL, CHICAGO, IL 60611; HOTEL",344985367,CITIGROUP GLOBAL MARKETS INC.,01/13/2018
1528954763,10/01/2013,12/31/2013,6221,LARS,,SKUGSTAD,IMPLEMENTATION MEETING FOR CITY CONTRACT,1053.80,11/05/2013,TRANSPORTATION,"VIRGIN AMERICA, 555 AIRPORT BLVD., BURLINGAME, CA 94010, AIRLINE",2118404673,"INTERSTATE JCDECAUX, LLC",01/19/2014
2872056122,07/01/2018,09/30/2018,17201,THOMAS,,RAINES,LICENSING,500.00,07/20/2018,PRIVATE EVENT LICENSE FEE,CITY OF CHICAGO 121 N. LASALLE,1671756863,"REFINERY 29, INC.",10/08/2018
1170478700,04/01/2019,06/30/2019,22203,JIM,,LAZARSKI,RED LIGHT CAMERA PROGRAM MEETINGS,685.17,05/22/2019,AIRFARE,"SOUTHWEST AIRLINES, 2702 LOVE FIELD DRIVE, DALLAS, TX  75235",413645007,CONDUENT INCORPORATED,07/19/2019
