id,Year,Employer_Name,Employer_Email,Employer_Phone,Employer_Address,Employer_City,Employer_State,Employer_Zip,Employer_Country,compensation,expenditures,agg_contrib,ballot_prop,entertain,vendor,expert_retain,inform_material,lobbying_comm,ie_in_support,itemized_exp,other_l3_exp,political,corr_compensation,corr_expend,total_exp,l3_nid,employer_nid
16099-2019,2019,AMERICAN CONGRESS OF OBSTETRICIANS AND GYNECOLOGISTS,heshmatimd@gmail.com,352-262-2226,645 Cornelia Avenue,Mukilteo,WA,98275,US,16000.00,586.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16586.41,63345,16099
16054-2017,2017,FUTUREWISE,chris@FUTUREWISE.ORG,(206) 343-0681,816 2ND AVE STE 200,SEATTLE,WA,981041535,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16054
16054-2016,2016,FUTUREWISE,chris@FUTUREWISE.ORG,(206) 343-0681,816 2ND AVE STE 200,SEATTLE,WA,981041535,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,525.00,0.00,0.00,525.00,31029,16054
16055-2016,2016,3M CO,LHENDERSON@MMM.COM,(651) 733-8664,3 M CENTER 225-4N-14,ST PAUL,MN,551441000,US,36000.00,750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36750.00,30666,16055
16055-2017,2017,3M CO,LHENDERSON@MMM.COM,(651) 733-8664,3 M CENTER 225-4N-14,ST PAUL,MN,551441000,US,37800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37800.00,40816,16055
16056-2016,2016,4000 PROPERTY LLC,GREGV@PISTOLCREEK.COM,(425) 460-2542,PO BOX 245,BELLEVUE,WA,98109,US,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6000.00,30592,16056
43258-2018,2018,"Aristocrat Technologies, Inc.",dan.little@aristocrat.com,702-270-1461,10220 Aristocrat Way,Las Vegas,NV,891,US,6750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6750.00,48737,43258
17057-2016,2016,OPTOMETRIC PHYSICIANS OF WA,KJONES@EYES.ORG,(425) 455-0874,14450 NE 29TH PL #115,BELLEVUE,WA,98007,US,73750.00,2055.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75805.78,30804,17057
38866-2019,2019,YWCA Pierce County,kwhite@ywcapiercecounty.org,2532724181,405 Broadway,Tacoma,WA,98402,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,38866
38866-2020,2020,YWCA Pierce County,kwhite@ywcapiercecounty.org,2532724181,405 Broadway,Tacoma,WA,98402,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,38866
16065-2018,2018,ACT INC,ACT@NMGOVLAW.COM,(415) 389-6800,C/O 2350 KERNER BLVD STE 250,SAN RAFAEL,CA,94901,US,0.00,2795.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2795.15,52342,16065
62169-2020,2020,American Promotional Events Northwest Inc. DBA TNT Fireworks,disclosure@bmhlaw.com ,2539220800,PO Box 1436,Tacoma,WA,98401,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,62169
23608-2020,2020,PHYSICIANS COMM FOR RESPONSIBLE MEDICINE,LegalDept@pcrm.org,,5100 WISCONSIN AVE NW STE 400,WASHINGTON,DC,20016,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,23608
17122-2016,2016,AFT Washington,gamador@aftwa.org,2064328088,604 Oakesdale Ave SW Ste 103,Renton,WA,98057,US,54110.93,3001.59,0.00,0.00,53.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57165.92,30085,17122
16641-2019,2019,Molina Healthcare Inc,Tabitha.Stokes@MOLINHEALTHCARE.COM,682-802-0373,200 Ocean Blvd,Long Beach,CA,90802,US,108000.00,4483.16,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00,0.00,0.00,116983.16,63342,16641
16062-2016,2016,ACCREDITATION ASSN FOR AMBULATORY HEALTH CARE,invalid@invalid.com,,2520 OLD ORCHARD RD STE 200,SKOKIE,IL,60077,US,2280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2280.00,30449,16062
16062-2017,2017,ACCREDITATION ASSN FOR AMBULATORY HEALTH CARE,invalid@invalid.com,,2520 OLD ORCHARD RD STE 200,SKOKIE,IL,60077,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16062
16802-2020,2020,PORT OF MOSES LAKE,KRDETROLIO@PORTOFMOSESLAKE.COM,(509) 762-5363,7810 ANDREWS ST NE STE 200,MOSES LAKE,WA,988373294,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16802
17199-2019,2019,WA TRUCKING ASSN,AMANDA@WATRUCKING.ORG,(253) 838-1650,2102 CARRIAGE DR SW BLDG F,OLYMPIA,WA,985021049,US,46000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46000.04,60042,17199
16063-2016,2016,Chubb,rich.pike@chubb.com,8479134121,1936 Walnut Street,Philadelphia,PA,19106,US,42462.25,5543.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42000.00,4932.49,4932.49,29041,16063
16064-2016,2016,ACE METALS CORP,JAMES@ACEMETALCO.COM,(425) 493-6802,11110 MUKILTEO SPEEDWAY,MUKILTEO,WA,98275,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16064
16064-2017,2017,ACE METALS CORP,JAMES@ACEMETALCO.COM,(425) 493-6802,11110 MUKILTEO SPEEDWAY,MUKILTEO,WA,98275,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16064
16065-2017,2017,ACT INC,ACT@NMGOVLAW.COM,(415) 389-6800,C/O 2350 KERNER BLVD STE 250,SAN RAFAEL,CA,94901,US,450.00,1807.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2257.79,41528,16065
