impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-127100,A612714,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118108,LOST,Bubbles,Dog,,Female,Boston Terrier,Unknown,05/07/2020 12:00:00 AM,Date Lost,1909 290TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118108,Image Copyright HLP Inc. 2020,,
K20-126722,A611664,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2111843,In Public Home,,Cat,,Unaltered,Domestic Shorthair,Gray Tabby / White,04/22/2020 12:00:00 AM,Date Found,245TH ST AND SE MAPLE RIDGE DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2111843,Image Copyright HLP Inc. 2020,,
K20-126719,A611662,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2111709,In Public Home,,Dog,,,Samoyed,White / White,04/22/2020 12:00:00 AM,Date Found,NW 75TH ST AND 26TH AVE NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2111709,Image Copyright HLP Inc. 2020,,
K20-126470,A610682,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104747,LOST,Navy,Dog,,Male,English Springer Spaniel,Unknown,04/07/2020 12:00:00 AM,Date Lost,188TH/WEST LAKE SAMMAMISH PARKWAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104747,Image Copyright HLP Inc. 2020,,
K20-126855,A439540,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Binx,Dead Cat,6 YEARS,Neutered Male,Domestic Shorthair,Gray / White,04/28/2020 12:00:00 AM,Received on,10200 SE 208TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-28<p/> Found Near: 10200 SE 208TH ST, KENT WA 98031<p/> Description: Gray / White Neutered Male Domestic Shorthair Cat<p/> Age: 6 YEARS<p/>",
K20-126971,A612408,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116674,In Public Home,,Cat,,Female,Domestic Longhair,White / Unknown,04/12/2020 12:00:00 AM,Date Found,30986 E. LAKE MORTON DRIVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116674,Image Copyright HLP Inc. 2020,,
K20-127229,A612973,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612973,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,05/10/2020 12:00:00 AM,Received on,3500 S 130TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612973,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Found Near: 3500 S 130TH ST, TUKWILA WA 98168<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127069,A612686,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Siamese / Mix,White / Gray,05/07/2020 12:00:00 AM,Received on,3200 S 288TH ST,AUBURN,WA,98001,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 3200 S 288TH ST, AUBURN WA 98001<p/> Description: White / Gray Male Siamese / Mix Cat<p/> Age: NO AGE<p/>",
K20-127037,A612603,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117636,In Public Home,,Cat,,Female,Domestic Longhair,Unknown,05/06/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117636,Image Copyright HLP Inc. 2020,,
K20-127031,A612555,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,05/06/2020 12:00:00 AM,Received on,11800 SE 227TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612555,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 11800 SE 227TH PL, KENT WA 98031<p/> Description: White Unaltered Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>",
