Draw Date,Winning Numbers,Bonus #
01/17/1992,12 15 20 36 39,
01/24/1992,03 06 15 27 36,
01/31/1992,01 07 08 18 37,
02/07/1992,01 30 33 34 39,
02/14/1992,26 28 33 35 37,
02/21/1992,01 14 16 21 32,
02/28/1992,17 22 28 35 37,
03/06/1992,06 11 15 16 32,
03/13/1992,02 18 23 26 39,
03/20/1992,08 12 13 38 39,
03/27/1992,13 17 22 26 31,
04/03/1992,01 09 17 20 26,
04/10/1992,03 09 16 17 38,
04/17/1992,06 08 17 26 31,
04/24/1992,08 14 19 27 31,
05/01/1992,09 15 21 22 25,
05/08/1992,07 16 22 25 27,
05/15/1992,12 14 20 31 35,
05/22/1992,14 16 18 29 36,
05/29/1992,05 06 12 16 24,
06/05/1992,03 08 15 28 39,
06/12/1992,16 22 24 29 39,
06/16/1992,03 06 28 29 37,
06/19/1992,03 12 18 28 38,
06/23/1992,04 08 10 12 26,
06/26/1992,06 15 22 25 29,
06/30/1992,02 14 19 29 34,
07/03/1992,01 02 10 11 35,
07/07/1992,08 22 26 35 37,
07/10/1992,24 28 34 38 39,
07/14/1992,03 11 13 18 38,
07/17/1992,01 14 19 31 39,
07/21/1992,03 13 19 30 31,
07/24/1992,02 03 14 18 23,
07/28/1992,06 07 20 24 32,
07/31/1992,03 04 25 37 39,
08/04/1992,07 10 16 19 28,
08/07/1992,14 16 26 28 34,
08/11/1992,07 25 26 32 39,
08/14/1992,16 19 21 36 38,
08/18/1992,03 06 10 32 38,
08/21/1992,02 04 06 31 33,
08/25/1992,06 20 27 33 38,
08/28/1992,03 14 20 34 39,
09/01/1992,06 17 18 25 38,
09/04/1992,04 08 26 35 37,
09/08/1992,04 05 15 27 28,
09/11/1992,02 11 13 17 27,
09/15/1992,02 08 30 35 39,
09/18/1992,05 09 16 18 35,
09/22/1992,04 18 19 24 36,
09/25/1992,04 11 17 24 25,
09/29/1992,11 15 19 21 36,
10/02/1992,07 18 19 29 30,
10/06/1992,02 13 15 21 25,
10/09/1992,05 06 27 33 38,
10/13/1992,09 11 17 23 24,
10/16/1992,18 23 25 29 35,
10/20/1992,06 16 21 32 38,
10/23/1992,07 09 11 36 39,
10/27/1992,05 15 20 21 28,
10/30/1992,06 11 19 21 28,
11/03/1992,03 06 11 19 21,
11/06/1992,01 06 11 27 30,
11/10/1992,06 09 33 34 37,
11/13/1992,07 10 25 35 37,
11/17/1992,03 08 15 17 39,
11/20/1992,06 11 24 29 37,
11/24/1992,08 09 13 21 25,
11/27/1992,16 17 20 29 30,
12/01/1992,20 30 31 33 36,
12/04/1992,19 21 23 28 33,
12/08/1992,04 21 24 26 33,
12/11/1992,03 07 24 31 32,
12/15/1992,08 10 14 16 38,
12/18/1992,17 21 25 32 35,
12/22/1992,13 15 23 26 32,
12/24/1992,07 23 24 25 37,
12/29/1992,02 06 15 19 38,
01/01/1993,12 14 21 24 32,
01/05/1993,06 22 31 32 34,
01/08/1993,03 14 16 25 39,
01/12/1993,10 21 29 31 37,
01/15/1993,02 19 24 30 39,
01/19/1993,04 16 18 33 38,
01/22/1993,10 19 22 31 39,
01/26/1993,01 05 08 36 39,
01/29/1993,01 06 12 26 31,
02/02/1993,05 07 09 13 33,
02/05/1993,22 30 35 38 39,
02/09/1993,13 14 18 22 28,
02/12/1993,03 07 13 20 22,
02/16/1993,07 13 32 34 38,
02/19/1993,02 06 14 34 35,
02/23/1993,04 10 16 18 34,
02/26/1993,02 12 23 27 35,
03/02/1993,04 07 12 21 30,
03/05/1993,04 06 11 21 25,
03/09/1993,10 15 17 24 25,
03/12/1993,02 05 21 24 28,
03/16/1993,06 11 12 19 37,
03/19/1993,09 19 29 33 34,
03/23/1993,02 04 07 11 16,
03/26/1993,03 13 23 26 27,
03/30/1993,05 08 10 33 38,
04/02/1993,06 21 22 26 33,
04/06/1993,05 08 15 18 26,
04/09/1993,06 13 15 23 31,
04/13/1993,06 20 32 35 37,
04/16/1993,03 06 24 28 35,
04/20/1993,11 16 20 21 24,
04/23/1993,05 09 28 29 30,
04/27/1993,13 17 20 27 31,
04/30/1993,01 03 09 26 37,
05/04/1993,05 06 09 21 38,
05/07/1993,13 16 27 30 38,
05/11/1993,09 15 18 26 34,
05/14/1993,02 03 04 05 23,
05/18/1993,08 11 16 18 26,
05/21/1993,14 20 21 22 28,
05/25/1993,01 08 09 19 30,
05/28/1993,03 25 28 32 39,
06/01/1993,07 09 11 18 23,
06/04/1993,03 17 18 22 32,
06/08/1993,05 14 15 33 36,
06/11/1993,04 19 23 35 37,
06/15/1993,03 21 26 27 30,
06/18/1993,05 13 16 29 34,
06/22/1993,07 10 11 29 31,
06/25/1993,05 08 14 20 25,
06/29/1993,03 23 28 36 38,
07/02/1993,01 13 20 29 30,
07/06/1993,22 30 32 34 35,
07/09/1993,05 09 10 21 38,
07/13/1993,07 09 17 22 36,
07/16/1993,03 13 16 22 35,
07/20/1993,02 16 23 27 29,
07/23/1993,02 16 26 30 39,
07/27/1993,03 05 12 20 29,
07/30/1993,06 07 27 35 38,
08/03/1993,03 14 24 31 38,
08/06/1993,01 03 16 34 39,
08/10/1993,07 08 25 29 31,
08/13/1993,04 05 09 18 37,
08/17/1993,15 25 26 30 38,
08/20/1993,02 32 33 34 37,
08/24/1993,25 26 33 38 39,
08/27/1993,02 06 08 32 36,
08/31/1993,03 10 22 27 34,
09/03/1993,11 21 24 29 32,
09/07/1993,11 27 33 34 36,
09/10/1993,09 10 21 25 37,
09/14/1993,08 16 20 36 39,
09/17/1993,03 19 26 27 30,
09/21/1993,01 08 14 19 36,
09/24/1993,01 22 25 26 31,
09/28/1993,06 10 12 35 37,
10/01/1993,04 08 20 26 33,
10/05/1993,11 19 20 22 36,
10/08/1993,03 07 08 11 34,
10/12/1993,07 11 17 18 32,
10/15/1993,01 07 16 24 35,
10/19/1993,07 08 16 17 31,
10/22/1993,13 17 20 29 39,
10/26/1993,04 05 12 35 38,
10/29/1993,19 26 28 33 34,
11/02/1993,06 10 25 32 37,
11/05/1993,02 03 16 20 35,
11/09/1993,15 17 22 30 34,
