BRAND-NAME,DOSAGE-FORM,PRODUCER,PRODUCT-IMAGE,LABEL-IMAGE,APPROVAL-DATE,REGISTRATION-NUMBER,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
Auralex BD T90% H 9030,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3455402&GUID=07A5C160-B7D9-43F8-9951-CE11C686EC3A),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3455401&GUID=268BFBBD-4D8A-4C61-A130-FBDF3C01EA47),05/07/2020 12:00:00 AM,MMBR.0007503,9.69,80.67,9.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aniva T81 BD 8483,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3408757&GUID=952FE0B9-624B-49B0-B4F4-5421E19DF513),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3408756&GUID=85102F27-8FB1-4A2B-95DC-FC0C58FFD779),03/31/2020 12:00:00 AM,MMBR.0007244,16.8,64.1,16.8,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengiva T30 PR 8491,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3410121&GUID=7908C958-B27D-4509-8159-81115A04BB2D),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3410120&GUID=21AF6A62-8FE9-420C-AC45-2630AA16CFC5),03/31/2020 12:00:00 AM,MMBR.0007245,0.26,30.0,0.26,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black T19% I 8909,Raw material (flower),CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3447713&GUID=4A7D9E57-061D-45CC-8C19-B5E4B68F562A),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3447711&GUID=DC032542-727A-4BC0-8230-73B847C1A641),04/30/2020 12:00:00 AM,MMBR.0007454,0.30,18.43,0.30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black T87% TD 8549,"Extracts, sprays, tinctures or oils",CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3392952&GUID=39006288-7D05-4797-8EE4-5370485E6469),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3392951&GUID=2D78B434-FF0B-4A86-ACCE-8B811617D257),03/16/2020 12:00:00 AM,MMBR.0007147,86.90,<0.10,86.90,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandica T28 8839,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3450429&GUID=730E2DDE-277F-410C-9712-89D825D07642),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3450427&GUID=37B85A59-BDBD-458C-A67E-3A2A3C391515),05/04/2020 12:00:00 AM,MMBR.0007473,0.70,27.0,0.70,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandica T28 PR 8840,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3450586&GUID=BB1D6053-236D-40E6-9ADC-4B2D5C2CD956),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3450584&GUID=74F95E61-9FA5-4EF7-B8F9-7EE7B67B0390),05/06/2020 12:00:00 AM,MMBR.0007492,0.70,27.0,0.70,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360X C480T273 8806,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3420720&GUID=93BFCC85-8A39-477B-B895-7F41CFC1F248),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3420718&GUID=ACAA1C1D-1251-45B2-9311-AC9F3C15E07E),04/08/2020 12:00:00 AM,MMBR.0007301,26.6,<0.10,26.6,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360X T704C2 8821,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3430774&GUID=AFB233D1-35B1-4B24-A300-CF170DAABBDA),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3430770&GUID=CB9F1606-D00B-470E-AF4B-CFD91D80237E),04/16/2020 12:00:00 AM,MMBR.0007378,68.9,0.16,68.9,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD19:1 C881T46 8059,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3305474&GUID=B26059EA-8FC7-4555-96C9-9CA4512CEAB6),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3305467&GUID=AC24763E-B10D-442B-B982-8F9036924477),01/10/2020 12:00:00 AM,MMBR.0006754,0.16,<0.10,0.16,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
