License Number,Licensee Name,DBA Name,Business Type,License Type,License Current Status,Status Effective Date,District,Sub District,County Number,Street Number,Street Name,City,State,Zip Code,latlng
231763,CABANA JONES' LLC,CABANA JONES',L,RBDR,OB,04/13/2020,2,00,MORGAN,29475,MILLCREEK MARINA ROAD,GRAVOIS MILLS,MO,650374212,
263925,"HARRISON, DONNA L.",LAKE ST PACKAGE,O,OPL,OB,05/04/2020,5,00,DADE,11,N STATE HIGHWAY 39,GREENFIELD,MO,65661,
252280,STONES PRAIRIE SPIRITS LLC,STONES PRAIRIE SPIRITS,L,LMS,OB,04/17/2020,5,00,BARRY,6387,FARM ROAD 1057,PURDY,MO,657348781,"(36.8358977, -93.96435699999999)"
266516,KNIGHTS & KINGS LLC,KINGS MARKET,L,SOP,OB,03/27/2020,1,00,JACKSON,5550,TROOST AVENUE,KANSAS CITY,MO,64110,"(39.025538, -94.574265)"
2035,QUIK-TRIP CORPORATION,QUIK-TRIP #153,C,OPL,OB,04/30/2020,1,00,CLAY,1010,ARMOUR ROAD,N KANSAS CITY,MO,641163618,"(39.1438949, -94.5688156)"
242432,LATITUDE BEVERAGE COMPANY,LATITUDE BEVERAGE,C,22S,OB,03/13/2020,7,00,OUT OF STATE,84,"CALVERT ST, STE. 1G",HARRISON,NY,105283240,
195025,"MCCAIG, BRUCE W.",5 ONE 5 PIT STOP,O,SOP,OB,03/16/2020,4,00,PEMISCOT,515,N WALNUT ST,STEELE,MO,638771547,
256447,GLADSON AND ASSOCIATES LLC,TRUMAN STATE PARK MARINA,L,OPL,OB,05/01/2020,5,00,BENTON,14950,STATE PARK RD E,WARSAW,MO,65355,"(38.277669, -93.4436004)"
258059,"SCHNUCK MARKETS, INC.",SCHNUCKS,C,SOP,OB,05/04/2020,3,00,ST. CHARLES,100,JUNGERMANN RD.,ST. PETERS,MO,63376,
58470,HIDDEN VALLEY GOLF AND SKI INC.,HIDDEN VALLEY GOLF AND SKI,C,RBDR,OB,03/20/2020,1,00,PLATTE,,HWY 45 #1 SNOW CREEK DR,WESTON,MO,64098,
258058,"SCHNUCK MARKETS, INC.",SCHNUCKS,C,OPL,OB,05/04/2020,3,00,ST. CHARLES,100,JUNGERMANN RD.,ST. PETERS,MO,63376,
246950,MORAN FOODS LLC,SAVE-A-LOT #423,L,SOP,OB,03/21/2020,3,00,ST. LOUIS CO.,11977,ST. CHARLES ROCK RD 110,BRIDGETON,MO,63044,"(38.748481, -90.4209166)"
126543,PROFITABLE PIZZA 2 INC.,SAMS PACKAGE,C,OPL,OB,03/11/2020,4,00,PEMISCOT,809,TRUMAN BLVD.,CARUTHERSVILLE,MO,638301705,
225434,EMMAS GUNS AND ANTIQUES LLC,EMMAS GUNS AND ANTIQUES,L,OPL,OB,03/19/2020,1,00,LAFAYETTE,102,S. ELM,EMMA,MO,65327,
264537,FOUNDRY DOWNTOWN LLC,"FOUNDRY, THE",L,RBD,OB,03/27/2020,4,00,PERRY,15,W. SAINT JOSEPH ST.,PERRYVILLE,MO,63774,
73068,QUIK-TRIP CORPORATION,QUIK-TRIP #224,C,SOP,OB,04/30/2020,1,00,JACKSON,6820,E FRONT STREET,KANSAS CITY,MO,641202127,"(39.1308997, -94.5028597)"
206342,PHILWORLD INC.,WALDO PIZZA,C,SBD,OB,03/12/2020,1,00,JACKSON,,7437 BROADWAY,KANSAS CITY,MO,641141529,"(38.992839, -94.59379899999999)"
230680,HOT SPOT CONVENIENCE DRIVE THRU LLC,HOT SPOT CONVENIENCE DRIVE THRU,L,SOP,OB,03/16/2020,2,00,CALLAWAY,138,N. SUMMIT DRIVE,HOLTS SUMMIT,MO,65043,"(38.65638, -92.1154395)"
203304,MISSOURI SPIRITS HOUSE LLC,MISSOURI SPIRITS HOUSE,L,LMS,OB,04/16/2020,5,00,GREENE,507,W. WALNUT,SPRINGFIELD,MO,658062043,"(37.207488, -93.296081)"
164566,GCF INTERNATIONAL INC.,FRIENDS SUSHI & BENTO PLACE,C,5BDW,OB,05/01/2020,1,00,JACKSON,1808,W. 39TH ST.,KANSAS CITY,MO,641114402,"(39.0575157, -94.606679)"
195348,KELLAN RESTAURANT MANAGEMENT CORPORATION,54TH STREET GRILL & BAR,C,RBD,OB,05/01/2020,1,00,JACKSON,12130,S. 71 HWY,GRANDVIEW,MO,640301129,"(38.8816372, -94.5268274)"
165699,ALADDIN MASTER TENANT LLC,HOLIDAY INN ALADDIN HOTEL,L,RBD,OB,04/22/2020,1,00,JACKSON,1215,WYANDOTTE ST.,KANSAS CITY,MO,64105,"(39.099447, -94.58525300000001)"
216954,BOM DIA IMPORTS LLC,NOVO FOGO,L,LS,OB,05/15/2020,7,00,OUT OF STATE,22530,"SE 64TH PLACE, SUITE 240",ISSAQUAH,WA,980275353,"(47.54418980000001, -122.0382597)"
141997,"RANDOLPH, LANCE CHARLES",PEIRANO ESTATE VINEYARDS,C,22S,OB,04/03/2020,7,00,OUT OF STATE,9119,GRATON ROAD,GRATON,CA,954449373,"(38.43579260000001, -122.8701655)"
230415,OZARK YACHT CLUB LLC,OZARK YACHT CLUB,L,SBD,OB,04/24/2020,2,00,CAMDEN,119,WESTWIND DRIVE,LAKE OZARK,MO,650499620,
254827,CELLAR ARTS LLC,TRADEMARK WINES,L,LS,OB,04/02/2020,3,00,ST. LOUIS CO.,325,WEST PACIFIC,WEBSTER GROVES,MO,631192325,"(38.5945162, -90.36368499999999)"
259195,PJS CAFE LLC,PJS CAFE,L,5BDW,OB,03/30/2020,5,00,TEXAS,142,W HIGHWAY 32,LICKING,MO,65542,
239201,GUACAMOLE LLC,DON LUPE,L,SBD,OB,03/18/2020,5,00,HOWELL,1603,GIBSON,WEST PLAINS,MO,65775,
118827,ROYAL LIQUORS INC.,ROYAL LIQUORS,C,OPT,OB,04/03/2020,1,00,JACKSON,1301,W 103RD STREET,KANSAS CITY,MO,641144514,
234428,WOODS SUPER MARKET INC.,WOODS SUPER MARKET,C,OPT,OB,04/13/2020,2,00,CAMDEN,5816,OSAGE BEACH PARKWAY 114,OSAGE BEACH,MO,65065,
161167,HUEY LLC,TIGHTWAD CONVENIENCE STORE,L,OPL,OB,03/17/2020,5,00,HENRY,1093,S.E. HWY 7,TIGHTWAD,MO,64735,
211991,INDIAN POINT INVESTMENTS LLC,INDIAN POINT INVESTMENTS,L,OPL,OB,03/23/2020,5,00,STONE,1575,TABLEROCK CIRCLE,INDIAN POINT,MO,65616,
244613,CHEERS 21 LIQUOR AND TOBACCO XXX LLC,CHEERS 21 LIQUOR AND TOBACCO,L,OPL,OB,03/20/2020,1,00,JACKSON,6111,MAIN ST.,GRANDVIEW,MO,640302692,
71461,ROYAL LIQUORS INC.,ROYAL LIQUORS,C,SOP,OB,04/03/2020,1,00,JACKSON,1301,W 103RD STREET,KANSAS CITY,MO,641144514,
262282,X O CORPORATION,WORLDS LIQUOR 2,C,OPT,OB,04/06/2020,1,00,CLAY,601,NW 68TH STREET,KANSAS CITY,MO,64118,
226743,LUCHA LLC,LUCHA,L,RBD,OB,03/12/2020,3,00,ST. LOUIS CITY,522,N. GRAND BLVD.,ST. LOUIS,MO,63103,
236068,"MCCULLOUGH HOUSE WINERY LLC, THE","MCCULLOUGH HOUSE WINERY, THE",L,WDS,OB,03/19/2020,4,00,OREGON,,1 MILE E OF THAYER HWY 142,THAYER,MO,657910000,
171016,RARE HOSPITALITY INTERNATIONAL INC.,LONGHORN STEAKHOUSE OF CHESTERFIELD#5134,C,RBD,OB,04/07/2020,3,00,ST. LOUIS CO.,17100,CHESTERFIELD AIRPORT RD.,CHESTERFIELD,MO,630051403,"(38.6679142, -90.59115000000001)"
257131,CNDN LLC,DUQUESNE SMOKES & LIQUOR,L,SOP,OB,03/18/2020,5,00,JASPER,3702,E. 7TH ST.,JOPLIN,MO,64801,
164044,"LUECKE ENTERPRISES, INC.",WARRENTON GOLF COURSE,C,SBD,OB,03/23/2020,2,00,WARREN,,HWY 47,WARRENTON,MO,633830339,
221507,JASSI SUPER MART INC.,JASSI SUPER MART,C,SOP,OB,03/18/2020,1,00,CASS,24702,SOUTH STATE ROUTE D,CLEVELAND,MO,647340843,
253378,MGB ENTERPRISES LLC,PIZZA AND POURS,L,SBD,OB,03/19/2020,1,00,JACKSON,9324,SOUTH 7 HIGHWAY,LEE'S SUMMIT,MO,64064,"(38.9462874, -94.2757657)"
254555,BEAR BISHOP LLC,BAR K,L,RBD,OB,03/12/2020,1,00,JACKSON,501,BERKLEY PKWY,KANSAS CITY,MO,64120,"(39.1146501, -94.577782)"
258064,"SCHNUCK MARKETS, INC.",SCHNUCKS,C,OPL,OB,05/04/2020,3,00,ST. CHARLES,1421,MEXICO LOOP RD. E.,O'FALLON,MO,63366,
239352,HEAVY RIFF BREWING COMPANY LLC,HEAVY RIFF BREWING COMPANY,L,MICB,OB,05/04/2020,3,00,ST. LOUIS CITY,6413,CLAYTON AVENUE,ST. LOUIS,MO,631393305,"(38.6289376, -90.29339089999999)"
267943,"EGAN VINEYARDS & OLIVE GROVES, LLC",EGAN VINEYARDS,L,WDS,OB,03/17/2020,7,00,OUT OF STATE,520,"CALIFORNIA BLVD.,STE #18,19,20",NAPA,CA,945593158,
229084,"MCCULLOUGH HOUSE WINERY LLC, THE","MCCULLOUGH HOUSE WINERY, THE",L,22MS,OB,03/19/2020,4,00,OREGON,,1 MILE E OF THAYER HY 142,THAYER,MO,657910000,
258744,LSL LAND GROUP LLC,GRAB & GET,L,SOP,OB,03/27/2020,4,00,BUTLER,22249,HIGHWAY 51,QUILIN,MO,639619192,
260555,CATFISH BILL'S BAR & GRILL LLC,CATFISH BILL'S BAR & GRILL,L,RBDR,OB,03/26/2020,5,00,BENTON,28836,RIDGEWAY AVE.,LINCOLN,MO,65338,
243018,POST WINERY INC.,POST WINERY,C,WDS,OB,03/20/2020,7,00,OUT OF STATE,1700,ST. MARY'S MOUNTAIN ROAD,ALTUS,AR,728219001,"(35.4482517, -93.7603415)"
260831,COPPER CREEK EVENT CENTER LLC,COPPER CREEK EVENT CENTER,L,5BDW,OB,04/01/2020,1,00,LIVINGSTON,12331,LIV 420 #A,CHILLICOTHE,MO,64601,
256676,HUNEEUS VINTNERS LLC,BENTON-LANE WINERY,L,WDS,OB,04/27/2020,7,00,OUT OF STATE,23924,TERRITORIAL HIGHWAY,MONROE,OR,974569621,
4896,QUIK-TRIP CORPORATION,QUIK-TRIP #204,C,OPL,OB,05/01/2020,1,00,JACKSON,6641,E. TRUMAN ROAD,KANSAS CITY,MO,641262639,"(39.0935084, -94.503766)"
235366,BIG CEDAR LLC,BIG CEDAR,L,RBDR,OB,03/25/2020,5,00,TANEY,612,DEVIL'S POOL ROAD,RIDGEDALE,MO,657399730,"(36.5346018, -93.27381559999999)"
247960,NOMADS LLC,NOMADS,L,SBD,OB,03/23/2020,1,00,JACKSON,1804,W. 39TH STREET,KANSAS CITY,MO,64111,"(39.0574095, -94.6064124)"
266102,BIGHEN BREW LLC,"SOULARD STEELYARD, THE",L,SBD,OB,04/17/2020,3,00,ST. LOUIS CITY,2424,S. 9TH ST.,ST. LOUIS,MO,63104,
83038,HEINEKEN USA INC.,HEINEKEN USA,C,22S,OB,03/18/2020,7,00,OUT OF STATE,360,HAMILTON AVENUE-SUITE 1103,WHITE PLAINS,NY,106011841,
228195,JK PETROLEUM INC.,JK PETROLEUM,C,OPL,OB,04/01/2020,1,00,JACKSON,2401,NORTH HIGHWAY 7,BLUE SPRINGS,MO,64014,
256754,PECULIAR WINE COMPANY,PECULIAR WINE COMPANY,C,5BDW,OB,03/18/2020,1,00,CASS,600,SCHUG AVENUE,PECULIAR,MO,64078,
239787,PRENGER FOODS INC.,PRENGERS FOOD,C,OPL,OB,05/08/2020,2,00,LINN,542,S. MAIN STREET,BROOKFIELD,MO,64628,"(39.7786929, -93.07098909999999)"
244614,CHEERS 21 LIQUOR AND TOBACCO XXX LLC,CHEERS 21 LIQUOR AND TOBACCO,L,SOP,OB,03/20/2020,1,00,JACKSON,6111,MAIN ST.,GRANDVIEW,MO,640302692,
258066,"SCHNUCK MARKETS, INC.",SCHNUCKS,C,OPT,OB,05/04/2020,3,00,ST. CHARLES,1421,MEXICO LOOP RD. E.,O'FALLON,MO,63366,
252281,STONES PRAIRIE SPIRITS LLC,STONES PRAIRIE SPIRITS,L,LWS,OB,04/17/2020,5,00,BARRY,6387,FARM ROAD 1057,PURDY,MO,657348781,"(36.8358977, -93.96435699999999)"
169977,"CC'S CITY BROILER, INC.",CC'S CITY BROILER,C,RBD,OB,03/12/2020,2,00,BOONE,1401,"FORUM BLVD., STE. 105",COLUMBIA,MO,65203,
198658,LLOYD DISTRIBUTING COMPANY INC.,,C,22WS,OB,04/06/2020,2,00,ADAIR,23731,STATE HWY 11,KIRKSVILLE,MO,635017709,
137022,MARIA'S AUTHENTIC MEXICAN RESTAURANT LLC,MARIA'S AUTHENTIC MEXICAN RESTAURANT,L,SBD,OB,03/17/2020,1,00,PLATTE,1205,BRANCH,PLATTE CITY,MO,640799599,"(39.3633151, -94.7721047)"
234426,WOODS SUPER MARKET INC.,WOODS SUPER MARKET,C,OPL,OB,04/13/2020,2,00,CAMDEN,5816,OSAGE BEACH PARKWAY 114,OSAGE BEACH,MO,65065,
235372,BIG CEDAR LLC,BIG CEDAR,L,SBD,OB,03/25/2020,5,00,TANEY,612,DEVIL'S POOL ROAD,RIDGEDALE,MO,657399730,"(36.5346018, -93.27381559999999)"
162454,HUNEEUS VINTNERS LLC,QUINTESSA WINERY,L,22S,OB,04/27/2020,7,00,OUT OF STATE,1601,SILVERADO TRAIL,RUTHERFORD,CA,945730505,"(38.48684910000001, -122.4105677)"
263325,BALAKEN LLC,PAPIN ONE STOP,L,OPL,OB,04/07/2020,3,00,JEFFERSON,3201,PAPIN ROAD,DE SOTO,MO,63020,"(38.0668409, -90.487731)"
171017,RARE HOSPITALITY INTERNATIONAL INC.,LONGHORN STEAKHOUSE OF CHESTERFIELD#5134,C,SBD,OB,04/07/2020,3,00,ST. LOUIS CO.,17100,CHESTERFIELD AIRPORT RD.,CHESTERFIELD,MO,630051403,"(38.6679142, -90.59115000000001)"
181766,"FLOWERS VINEYARD & WINERY, LLC",FLOWERS VINEYARD & WINERY,L,WDS,OB,04/27/2020,7,00,OUT OF STATE,28500,SEAVIEW RD.,CAZADERO,CA,954219767,"(38.5533214, -123.2336372)"
244246,"LUCKY'S MARKET OPERATING COMPANY, LLC",LUCKY'S MARKET OPERATING COMPANY,L,RBD,OB,04/22/2020,2,00,BOONE,111,S. PROVIDENCE RD.,COLUMBIA,MO,65203,"(38.950139, -92.335127)"
263326,BALAKEN LLC,PAPIN ONE STOP,L,SOP,OB,04/07/2020,3,00,JEFFERSON,3201,PAPIN ROAD,DE SOTO,MO,63020,"(38.0668409, -90.487731)"
239788,PRENGER FOODS INC.,PRENGERS FOOD,C,SOP,OB,05/08/2020,2,00,LINN,542,S. MAIN STREET,BROOKFIELD,MO,64628,"(39.7786929, -93.07098909999999)"
230679,HOT SPOT CONVENIENCE DRIVE THRU LLC,HOT SPOT CONVENIENCE DRIVE THRU,L,OPL,OB,03/16/2020,2,00,CALLAWAY,138,N. SUMMIT DRIVE,HOLTS SUMMIT,MO,65043,"(38.65638, -92.1154395)"
250871,ALL STAR GRILL & BAR LLC,ALL STAR GRILL & BAR,L,RBD,OB,04/06/2020,1,00,CLAY,7210,NE 43RD ST,KANSAS CITY,MO,64117,"(39.171008, -94.4943902)"
260175,TWO GS ENTERPRISES,CECIL WHITTAKER'S PIZZERIA,C,SBD,OB,04/20/2020,3,00,JEFFERSON,2855,"SECKMAN RD., STE. 111",IMPERIAL,MO,63052,
99181,MARINA GROG & GALLEY INC.,"MARINA, THE",C,SBD,OB,05/01/2020,1,00,JACKSON,,STREET,LAKE LOTAWANA,MO,640869741,
125840,"MCCLAIN, CLEON",PEARLS LOUNGE,O,RBD,OB,03/20/2020,1,00,JACKSON,8736,BLUE RIDGE EXTENSION,KANSAS CITY,MO,64138,
234427,WOODS SUPER MARKET INC.,WOODS SUPER MARKET,C,SOP,OB,04/13/2020,2,00,CAMDEN,5816,OSAGE BEACH PARKWAY 114,OSAGE BEACH,MO,65065,
