License Number,Licensee Name,DBA Name,License Type,District,Sub District,County,Street Number,Street Name,City,State,Zip Code,Last Name,First Name,Business Phone,Renewal Date,latlng
250847,WINE RETRIEVER LLC,SCOUT & CELLAR,WDS,7,00,999,4455,SIMONTON ROAD,FARMERS BRANCH,TX,75244,SHADONIX,SARAH,,04/11/2019,
236062,A B Y ENTERPRISES LLC,WENTZVILLE ONE STOP SHOP,SOP,3,00,092,401,E. PEARCE BLVD.,WENTZVILLE,MO,63385,ZYADAT,JEHAD,,07/17/2019,"(38.812867, -90.85028199999999)"
244445,NEVADA SPEEDWAY LLC,NEVADA SPEEDWAY,5BD,5,00,109,17623,SOUTH 1700 RD.,NEVADA,MO,64772,HAIL,ROBERT,,07/17/2019,
240733,GRIMM'S TREE BREWING LLC,GRIMM'S TREE BREWING,MICB,2,00,036,1029,THIEBES RD.,LABADIE,MO,630551712,GRIMM,ANDREW,,07/17/2019,"(38.5003275, -90.8056689)"
234299,KASMEN INC.,LA TIENDA INTERNATIONAL,SOP,3,00,095,7459,S. LINDBERGH BLVD.,ST. LOUIS COUNTY,MO,631254800,MENDEZ,RULA,,07/17/2019,
180040,KUM & GO L.C.,KUM & GO 1435,OPL,5,00,039,249,W. OLD MILL RD.,FAIR GROVE,MO,65648,MCCALEB,TIMOTHY,,03/26/2019,
249590,BELVOIR WINERY LLC,BELVOIR WINERY,DOMW,1,00,024,1325,ODD FELLOWS ROAD,LIBERTY,MO,640687448,LEIMKUEHLER,JESSE,,07/17/2019,"(39.228671, -94.40714299999999)"
236357,HORTONS PIZZA PLUS INC.,HORTONS PIZZA PLUS,SOP,5,00,049,1302,S. SCHIFFERDECKER AVENUE,JOPLIN,MO,64801,HORTON,JAMES,,07/17/2019,"(37.0769944, -94.54974990000001)"
236061,A B Y ENTERPRISES LLC,WENTZVILLE ONE STOP SHOP,OPL,3,00,092,401,E. PEARCE BLVD.,WENTZVILLE,MO,63385,ZYADAT,JEHAD,,07/17/2019,"(38.812867, -90.85028199999999)"
217038,ARCADIAN MOON VINEYARDS & WINERY LLC,ARCADIAN MOON VINEYARDS & WINERY,RBD,1,00,054,19203,HAZEL DELL ROAD,HIGGINSVILLE,MO,640379162,FAHRMEIER,BRANDON,,07/17/2019,"(38.9938389, -93.7551999)"
239650,LINA ENTERPRISES LLC,EXPRESS MART,SOP,3,00,092,301,E. PEARCE BLVD.,WENTZVILLE,MO,63385,ZYADAT,JEHAD,,07/17/2019,"(38.812772, -90.85075499999999)"
237198,KUM & GO L.C.,KUM & GO 1435,OPT,5,00,039,249,W. OLD MILL RD.,FAIR GROVE,MO,65648,MCCALEB,TIMOTHY,,03/26/2019,
234298,KASMEN INC.,LA TIENDA INTERNATIONAL,OPL,3,00,095,7459,S. LINDBERGH BLVD.,ST. LOUIS COUNTY,MO,631254800,MENDEZ,RULA,,07/17/2019,
217039,ARCADIAN MOON VINEYARDS & WINERY LLC,ARCADIAN MOON VINEYARDS & WINERY,RDC5,1,00,054,19203,HAZEL DELL ROAD,HIGGINSVILLE,MO,640379162,FAHRMEIER,BRANDON,,07/17/2019,"(38.9938389, -93.7551999)"
7,EL KADIR SHRINE ASSN. INC.,,RBD,2,00,001,2401,S BALTIMORE,KIRKSVILLE,MO,635014632,VITTETOE,JERRY,,04/18/2019,
205656,PEACHY CANYON WINERY,PEACHY CANYON,22S,7,00,999,2025,NACIMIENTO LAKE DRIVE,PASO ROBLES,CA,934468753,BECKETT,DOUGLAS,,07/18/2019,"(35.672888, -120.734589)"
180041,KUM & GO L.C.,KUM & GO 1435,SOP,5,00,039,249,W. OLD MILL RD.,FAIR GROVE,MO,65648,MCCALEB,TIMOTHY,,03/26/2019,
215590,MORGAN COUNTY VFW POST 5178,MORGAN COUNTY VFW POST 5178,5BDW,2,00,071,115,TROUT DALE ROAD,GRAVOIS MILLS,MO,65037,ANDERSON,JOHN,,05/07/2019,
254664,VAN RUITEN FAMILY WINERY LLC,VAN RUITEN FAMILY WINERY,WDS,7,00,999,340,WEST STATE ROUTE 12,LODI,CA,952429501,ROGAN,BILL,,07/17/2019,
229398,JARMONS CONVENIENCE STORE LLC,JARMONS CONVENIENCE STORE,SOP,3,00,095,11605,WEST FLORISSANT AVENUE,FLORISSANT,MO,630336711,JARMON,NICOLE,,07/17/2019,
217036,ARCADIAN MOON VINEYARDS & WINERY LLC,ARCADIAN MOON VINEYARDS & WINERY,22MS,1,00,054,19203,HAZEL DELL ROAD,HIGGINSVILLE,MO,640379162,FAHRMEIER,BRANDON,,07/17/2019,"(38.9938389, -93.7551999)"
239649,LINA ENTERPRISES LLC,EXPRESS MART,OPL,3,00,092,301,E. PEARCE BLVD.,WENTZVILLE,MO,63385,ZYADAT,JEHAD,,07/17/2019,"(38.812772, -90.85075499999999)"
229397,JARMONS CONVENIENCE STORE LLC,JARMONS CONVENIENCE STORE,OPL,3,00,095,11605,WEST FLORISSANT AVENUE,FLORISSANT,MO,630336711,JARMON,NICOLE,,07/17/2019,
236356,HORTONS PIZZA PLUS INC.,HORTONS PIZZA PLUS,OPL,5,00,049,1302,S. SCHIFFERDECKER AVENUE,JOPLIN,MO,64801,HORTON,JAMES,,07/17/2019,"(37.0769944, -94.54974990000001)"
117647,HALIM MAVRAKIS INC,SOUTHSIDE,OPL,2,00,010,405,S PROVIDENCE ROAD,COLUMBIA,MO,65203,MEFRAKES,RAMZI,,07/18/2019,"(38.9471954, -92.3344659)"
202764,PEACHY CANYON WINERY,PEACHY CANYON,WDS,7,00,999,2025,NACIMIENTO LAKE DRIVE,PASO ROBLES,CA,934468753,BECKETT,DOUGLAS,,07/18/2019,"(35.672888, -120.734589)"
248826,CAFE PIAZZA LLC,CAFE PIAZZA,RBD,3,00,116,1900,ARSENAL,ST. LOUIS,MO,63118,MEINECKE,TIMOTHY,,07/18/2019,"(38.596895, -90.217936)"
231148,FRIENDS BAR & GRILL LLC,FRIENDS BAR & GRILL,RBD,3,00,095,12207,NATURAL BRIDGE ROAD,BRIDGETON,MO,630442061,HAMED,HANAN,,07/18/2019,"(38.75585, -90.41949489999999)"
215408,SINGLEROSA2 LLC,SAPPINGTON LOUNGE,SBD,3,00,095,11569,GRAVOIS ROAD,ST. LOUIS,MO,63126,SINGLER,BEVERLY,,07/18/2019,
259490,JJAW BUSINESS SOLUTIONS LLC,SARA AT MONROE,RBD,3,00,116,2299,N. FLORISSANT AVE.,ST. LOUIS,MO,63106,WINBUSH,SARA,,07/18/2019,
259171,GUANAJUATO MEXICAN STORE & REST. LLC,GUANAJUATO MEXICAN STORE & RESTAURANT,RBDR,5,00,055,175,N. 3RD ST.,VERONA,MO,65769,GONZALEZ,CLEMENTE,,07/18/2019,
250248,EL TENAMPA RESTAURANT INC.,EL TENAMPA RESTAURANT,SBD,3,00,095,10645,LACKLAND ROAD,ST. LOUIS,MO,631142129,ENRIQUE,JULIO,,07/18/2019,"(38.6961524, -90.3969461)"
250247,EL TENAMPA RESTAURANT INC.,EL TENAMPA RESTAURANT,RBD,3,00,095,10645,LACKLAND ROAD,ST. LOUIS,MO,631142129,ENRIQUE,JULIO,,07/18/2019,"(38.6961524, -90.3969461)"
38596,P.R. FOODS INC.,POOR RICHARD'S BURGERS & BOOZE,RBD,3,00,095,960,BROOKWOOD CENTER,ST LOUIS,MO,63026,VIGNA,MARK,,07/18/2019,
196087,SINGLEROSA2 LLC,SAPPINGTON LOUNGE,RBD,3,00,095,11569,GRAVOIS ROAD,ST. LOUIS,MO,63126,SINGLER,BEVERLY,,07/18/2019,
248827,CAFE PIAZZA LLC,CAFE PIAZZA,SBD,3,00,116,1900,ARSENAL,ST. LOUIS,MO,63118,MEINECKE,TIMOTHY,,07/18/2019,"(38.596895, -90.217936)"
256869,GUANAJUATO MEXICAN STORE & REST. LLC,GUANAJUATO MEXICAN STORE & RESTAURANT,SBD,5,00,055,175,N. 3RD ST.,VERONA,MO,65769,GONZALEZ,CLEMENTE,,07/18/2019,
179186,LA SOCIEDAD ESPANOLA,LA SOCIEDAD ESPANOLA,5BD,3,00,116,7107,MICHIGAN AVE.,ST. LOUIS,MO,631112841,ZOELLER,CHARLES,,07/18/2019,
116406,ST. MARY'S HIGH SCHOOL,ST. MARY'S HIGH SCHOOL,5BDW,3,00,116,4701,S GRAND,ST LOUIS,MO,631111409,HACKER,KEVIN,,07/18/2019,"(38.5750714, -90.251221)"
241046,INTERMISSION CAFE GREENFIELD OPERA HOUSE,INTERMISSION CAFE GREENFIELD OPERA HOUSE,5BDW,5,00,029,106,S. ALLISON AVE.,GREENFIELD,MO,65661,PUGH,JON,,07/18/2019,
259550,JJAW BUSINESS SOLUTIONS LLC,SARA AT MONROE,SBD,3,00,116,2299,N. FLORISSANT AVE.,ST. LOUIS,MO,63106,WINBUSH,SARA,,07/18/2019,
117648,HALIM MAVRAKIS INC,SOUTHSIDE,SOP,2,00,010,405,S PROVIDENCE ROAD,COLUMBIA,MO,65203,MEFRAKES,RAMZI,,07/18/2019,"(38.9471954, -92.3344659)"
46433,P.R. FOODS INC.,POOR RICHARD'S BURGERS & BOOZE,SBD,3,00,095,960,BROOKWOOD CENTER,ST LOUIS,MO,63026,VIGNA,MARK,,07/18/2019,
174038,MERRITT BEVERAGES LLC,"WESTIN ST. LOUIS, THE",EXTH,3,00,116,811,SPRUCE ST.,ST. LOUIS,MO,631021717,HURLEY,MICHAEL,,04/25/2019,"(38.6237809, -90.1949903)"
236979,MERRITT BEVERAGES LLC,"WESTIN ST. LOUIS, THE",RDC1,3,00,116,811,SPRUCE ST.,ST. LOUIS,MO,631021717,HURLEY,MICHAEL,,04/25/2019,"(38.6237809, -90.1949903)"
174037,MERRITT BEVERAGES LLC,"WESTIN ST. LOUIS, THE",SBD,3,00,116,811,SPRUCE ST.,ST. LOUIS,MO,631021717,HURLEY,MICHAEL,,04/25/2019,"(38.6237809, -90.1949903)"
257311,ROCKIN'A DISTILLERY LLC,ROCKIN'A DISTILLERY,RBD,1,00,019,44307,E. STATE ROUTE B,CREIGHTON,MO,64739,ATTEBERY,KEVIN,,07/19/2019,
258852,PARAQUAD INC.,BLOOM CAFE,RBD,3,00,116,5200,OAKLAND AVE.,ST. LOUIS,MO,631101436,ROBINSON,JEREMY,,05/14/2019,
216343,"CORE BREWING & DISTILLING CO., LLC",CORE BREWING COMPANY,22S,7,00,999,2470,"LOWELL ROAD, A3",SPRINGDALE,AR,727641819,CORE,JESSE,,07/19/2019,"(36.206206, -94.13457090000001)"
234822,INNKEEPER RESTAURANT SERVICES LLC,IRON & RYE,SBD,3,00,116,4353,MANCHESTER AVE.,ST. LOUIS,MO,631102137,HART,CHRISTOPHE,,05/22/2019,"(38.6268957, -90.258787)"
259795,MERRITT BEVERAGE LLC,HILTON ST. LOUIS DOWNTOWN AT THE ARCH,RBD,3,00,116,400,OLIVE ST.,ST. LOUIS,MO,63102,HURLEY,MICHAEL,,04/23/2019,
203682,INNKEEPER RESTAURANT SERVICES LLC,IRON & RYE,RBD,3,00,116,4353,MANCHESTER AVE.,ST. LOUIS,MO,631102137,HART,CHRISTOPHE,,05/22/2019,"(38.6268957, -90.258787)"
162850,ST. LOUIS KOLLEL,ST. LOUIS KOLLEL,OPL,3,00,095,8202,DELMAR BLVD.,UNIVERSITY CITY,MO,63124,KLEIN,MAYER,,07/19/2019,"(38.6602709, -90.3491146)"
260971,"BRANDT, VALERIE J.",MAGNOLIA HALL,RBD,2,00,026,714,"MICHIGAN ST., MAIN FLOOR",JEFFERSON CITY,MO,65109,,,,07/19/2019,
3848,BLUE HILLS COUNTRY CLUB,,RBD,1,00,048,777,W. BURNING TREE DR.,KANSAS CITY,MO,64145,HIRT,NATALIE,,04/04/2019,
260972,"BRANDT, VALERIE J.",MAGNOLIA HALL,SBD,2,00,026,714,"MICHIGAN ST., MAIN FLOOR",JEFFERSON CITY,MO,65109,,,,07/19/2019,
261849,SOLEMN OATH BREWERY LLC,SOLEMN OATH BREWERY,22S,7,00,999,1661,"QUINCY AVE., STE. #179",NAPERVILLE,IL,605403969,BARLEY,JOHN,,07/19/2019,
259796,MERRITT BEVERAGE LLC,HILTON ST. LOUIS DOWNTOWN AT THE ARCH,SBD,3,00,116,400,OLIVE ST.,ST. LOUIS,MO,63102,HURLEY,MICHAEL,,04/23/2019,
162851,ST. LOUIS KOLLEL,ST. LOUIS KOLLEL,SOP,3,00,095,8202,DELMAR BLVD.,UNIVERSITY CITY,MO,63124,KLEIN,MAYER,,07/19/2019,"(38.6602709, -90.3491146)"
260357,FENIX LAS PALMAS INC.,LAS PALMAS,SBD,3,00,095,7356-,58 MANCHESTER AVE.,ST. LOUIS,MO,63143,CARRASCO,MICHAEL,,07/19/2019,
260356,FENIX LAS PALMAS INC.,LAS PALMAS,RBD,3,00,095,7356-,58 MANCHESTER AVE.,ST. LOUIS,MO,63143,CARRASCO,MICHAEL,,07/19/2019,
260836,AHTRST CONCESSIONS LLC,AHTRST CONCESSIONS,RBD,3,00,095,216,N. MERAMEC AVE.,CLAYTON,MO,63105,KASHIF,MOHAMMED,,05/13/2019,
4442,BLUE HILLS COUNTRY CLUB,,SBD,1,00,048,777,W. BURNING TREE DR.,KANSAS CITY,MO,64145,HIRT,NATALIE,,04/04/2019,
211681,MILTO SHOLLA LLC,BAR ROMA,RBD,3,00,095,9416,GRAVOIS ROAD,ST. LOUIS,MO,631234530,SHOLLA,MILTO,,05/07/2019,"(38.553065, -90.32078059999999)"
262853,"A.V. BRANDS, INC.",AVENIU BRANDS,LS,7,00,999,21480,8TH ST. EAST,SONOMA,CA,954769779,O'LEARY,TIMOTHY,,07/19/2019,
258209,PONZI VINEYARDS LLC,PONZI VINEYARDS,WDS,7,00,999,19500,SW MOUNTAIN HOME ROAD,SHERWOOD,OR,97140,PONZI,ANNA,,07/19/2019,
259797,MERRITT BEVERAGE LLC,HILTON ST. LOUIS DOWNTOWN AT THE ARCH,EXTH,3,00,116,400,OLIVE ST.,ST. LOUIS,MO,63102,HURLEY,MICHAEL,,04/23/2019,
260837,AHTRST CONCESSIONS LLC,AHTRST CONCESSIONS,SBD,3,00,095,216,N. MERAMEC AVE.,CLAYTON,MO,63105,KASHIF,MOHAMMED,,05/13/2019,
174036,MERRITT BEVERAGES LLC,"WESTIN ST. LOUIS, THE",RBD,3,00,116,811,SPRUCE ST.,ST. LOUIS,MO,631021717,HURLEY,MICHAEL,,04/25/2019,"(38.6237809, -90.1949903)"
258853,PARAQUAD INC.,BLOOM CAFE,SBD,3,00,116,5200,OAKLAND AVE.,ST. LOUIS,MO,631101436,ROBINSON,JEREMY,,05/14/2019,
248871,J & K FINE FOODS INC.,CLAYTON'S,SBD,3,00,092,104,TRIAD WEST,O'FALLON,MO,633667541,KAEGEL,KEVIN,,07/22/2019,
199916,BLUE SPRINGS RANCH INC.,BLUE SPRINGS RANCH,5BDW,4,00,028,1246,BLUE SPRINGS ROAD,BOURBON,MO,65441,ISOM,DOYLE,,07/22/2019,
203248,"BOOTH, LESLIE NICOLE",NICOZ CATERING,5BDW,1,00,059,612,2ND STREET,CHILLICOTHE,MO,64601,,,,07/22/2019,
242824,UES CC1 LLC,UNFORKED,RBD,1,00,048,2450,GRAND STE. 113,KANSAS CITY,MO,64108,BRYANT,RICHARD,,07/22/2019,"(39.0826589, -94.58244619999999)"
99181,MARINA GROG & GALLEY INC.,"MARINA, THE",SBD,1,00,048,22-A,STREET,LAKE LOTAWANA,MO,640869741,SCHWINDLER,JOHN,,07/22/2019,
248870,J & K FINE FOODS INC.,CLAYTON'S,RBD,3,00,092,104,TRIAD WEST,O'FALLON,MO,633667541,KAEGEL,KEVIN,,07/22/2019,
170029,"JACK'S DINER 2007, INC.",JACK'S DINER,5BD,5,00,085,126,ST. ROBERT BLVD.,ST. ROBERT,MO,655843311,MIRONUCK,LESLIE,,07/22/2019,
249281,PRIMOS MEXICAN RESTAURANT LLC,PRIMOS MEXICAN RESTAURANT,SBD,1,00,083,6264,"LEWIS ST., STE 104",PARKVILLE,MO,64152,HERNANDEZ,BIRGIT,,07/22/2019,"(39.2081121, -94.6848201)"
259156,HOGUE LLC,CLARKS,SOP,1,00,003,401,N US HIGHWAY 59,FAIRFAX,MO,64446,HOGUE,JESSICA,,07/22/2019,
247854,LTN LLC,LTN,SBD,1,00,048,5701,LONGVIEW RD.,KANSAS CITY,MO,641372728,NGUYEN,TUAN,,07/22/2019,"(38.9153232, -94.5249803)"
