Business Name,Zip Code,License Number,License Type,City
A TO Z WINEWORKS LLC,971326966,158858,22S,NEWBERG
A. BOMMARITO WINES INC.,631442711,96573,LS,BRENTWOOD
A.R.T. LLC,993627308,268773,22S,WALLA WALLA
"A.V. BRANDS, INC.",954769779,262853,LS,SONOMA
A.V.V. WINERY COMPANY LLC,954489642,147198,22S,HEALDSBURG
ABITA BREWING COMPANY LLC,704200000,231298,22S,ABITA SPRINGS
ACCOLADE WINES NORTH AMERICA INC.,954489406,208688,22S,HEALDSBURG
ACKLEY BRANDS LTD.,971168516,238512,22S,FOREST GROVE
ADAM PUCHTA & SON WINE COMPANY,650414103,57174,DOMW,HERMANN
ADVANCED INNOVATIVE BOTTLING LLC,647351506,251667,LMS,CLINTON
ADVANTAGE INTERNATIONAL DISTRIBUTORS INC,331722636,239878,LS,DORAL
"AGAINST THE GRAIN, LLC",402021110,267528,22S,LOUISVILLE
AGAVES LLC,64029,269833,LS,GRAIN VALLEY
AHA PARTNERS LLC,945089606,259181,22S,ANGWIN
AHA TORO SPIRITS INC.,981342029,267433,LS,SEATTLE
AIKO IMPORTERS INC.,294647494,201556,LS,MT. PLEASANT
AKA WINES LLC,954762805,261847,22S,SONOMA
ALAMBIC INC.,954826969,163289,LS,UKIAH
ALASKAN BREWING LLC,998019540,252677,22S,JUNEAU
ALBERELLO IMPORTS LLC,327928206,253491,22S,WINTER PARK
ALBONEE COUNTRY INN & VINEYARDS LLC,640573005,168129,DOMW,INDEPENDENCE
ALLIED IMPORTERS USA LTD.,111015435,163603,22S,LONG ISLAND CITY
ALLTECH'S BEVERAGE DIVISION LLC,405082806,264218,LS,LEXINGTON
"ALMA MADER, LLC",641082346,259367,22MS,KANSAS CITY
ALPHA & OMEGA WINERY LLC,945730000,238992,22S,RUTHERFORD
ALPHA MARKETING NETWORK,331695714,203348,22S,MIAMI
ALPHABETA BREWERY LLC,631160000,248327,22MS,ST. LOUIS
ALTA WINES LLC,945586187,244700,22S,NAPA
ALTAMAR BRANDS LLC,926251928,215828,LS,CORONA DEL MAR
ALTER EGO CIDER LLC,972144602,268352,22S,PORTLAND
ALTO VINEYARDS LTD.,629050000,232218,22S,ALTO PASS
AMERICAN BEVERAGE CORPORATION,154141135,229608,LS,VERONA
AMERICAN CIDER COMPANY LLC,140521716,263766,22S,EAST AURORA
AMERICAN ESTATES WINES INC.,079011904,152456,22S,SUMMIT
AMERICAN OUTLAW SPIRITS INC.,382591501,253048,LS,TRIMBLE
AMERICAN VINTAGE BEVERAGE INC.,606615644,223237,LS,CHICAGO
AMERISTAR CASINO KANSAS CITY LLC,64161,261063,MICB,KANSAS CITY
AMICI CELLARS INC.,945159728,226321,22S,CALISTOGA
AMICUS CELLARS II LLC,945586187,265377,22S,NAPA
AMUSE BOUCHE LLC,945741704,178621,22S,ST. HELENA
ANDERS IMPORTS LLC,63090,262259,LS,WASHINGTON
ANDERS-LANE ARTISAN WINES LP,950373201,178188,22S,MORGAN HILL
"ANDERSON'S CONN VALLEY WINERY, INC.",945749646,185613,22S,ST. HELENA
"ANGRY SWEDE BREWING COMPANY, THE",645011705,268832,MICB,ST. JOSEPH
ANGWIN ESTATE VINEYARDS,945679459,264809,22S,POPE VALLEY
ANHEUSER-BUSCH LLC,631181849,205466,LS,ST. LOUIS
ANHEUSER-BUSCH LLC,631181849,205697,22MS,ST. LOUIS
ANN ARBOR BREWING COMPANY LLC,802392102,235930,LS,DENVER
ANNE HUBATCH-VINTNER LLC,972153522,268351,22S,PORTLAND
ANTHONY BOZZANO LLC,934013816,244702,22S,SAN LUIS OBISPO
ANXO LOGISTICS LLC,20011,269538,22S,WASHINGTON
APPELLATION TRADING COMPANY LLC,945587590,237708,22S,NAPA
APPELLATIONS LP,945583853,265383,22S,NAPA
APPELT'S QUALITY LIQUORS WHOLESALE DIST.,633793812,252083,22S,TROY
APPLE CREEK VINEYARD & WINERY LLC,637477313,209334,22MS,FRIEDHEIM
AQUAM VINOS LLC,665020000,258990,22S,MANHATTAN
ARANO LLC,334318510,257789,22S,BOCA RATON
ARCADIAN MOON VINEYARDS & WINERY LLC,640379162,217036,22MS,HIGGINSVILLE
ARCANA LLC,945622787,183569,22S,OAKVILLE
ARCANA LLC,631332506,258378,LMS,ST. LOUIS
