Business Name,Zip Code,License Number,License Type,City
A. BOMMARITO WINES INC.,631442711,63265,LWS,BRENTWOOD
AGAVES LLC,64029,269834,LWS,GRAIN VALLEY
ALPHABETA BREWERY LLC,631161802,256512,22WS,ST. LOUIS
AMERICAN BIO SPIRITS OF MISSOURI LLC,633763971,266914,LWS,ST. PETERS
ANDERS IMPORTS LLC,63090,261173,LWS,WASHINGTON
APPELT'S QUALITY LIQUORS WHOLESALE DIST.,633793812,252084,22WS,TROY
APPLE CREEK VINEYARD & WINERY LLC,637477313,209335,22WS,FRIEDHEIM
ARCANA LLC,63133,262378,LWS,ST. LOUIS
"ARTISAN SPIRITS, LLC",630683206,201153,LWS,NEW HAVEN
AUGUSTA WINE COMPANY,633321703,182165,22WS,AUGUSTA
BACKYARD VINE & WINE LLC,644688465,259963,22WS,MARYVILLE
BALTIMORE BEND VINEYARD LLC,640969153,160413,22WS,WAVERLY
"BARRENS WINERY LLC, THE",637757312,242629,22WS,PERRYVILLE
BASTARD BROTHERS BREWING CO LLC,630490000,238122,5WS,HIGH RIDGE
BEAR CREEK BED & BREAKFAST LLC,65771,252804,22WS,WALNUT SHADE
BKE LLC,630314606,256367,22WS,FLORISSANT
"BLACKSMITH ARTISANAL SPIRITS, LLC",650539364,260165,LWS,LOHMAN
"BLATTEL, JOAN M.",633855308,192568,22WS,WENTZVILLE
BOB RALPH DISTRIBUTING COMPANY INC.,638019352,203447,LWS,SIKESTON
BOBBIE SUZANNE LLC,63640,268054,LWS,FARMINGTON
BRADLEY DISTRIBUTING COMPANY INC.,638570906,144103,22WS,KENNETT
BRANSON WINE MARKETING LLC,656163817,172680,22WS,BRANSON
BREW HUB TAP GROUP LLC,63110,251396,LWS,ST. LOUIS
BUB'S DISTILLERY LLC,657428357,246370,LWS,ROGERSVILLE
BUSCH DISTRIBUTING COMPANY LLC,633761078,161870,LWS,ST. PETERS
BUSHWHACKER BEND WINERY LLC,652541005,201665,22WS,GLASGOW
"C.G.S. DISTRIBUTING & ASSOCIATES, INC.",650410221,219194,LWS,HERMANN
C.H. WITTENBERG DISTILLING COMPANY LLC,63068,261573,LWS,NEW HAVEN
CANTERBURY HILL WINERY & RESTAURANT LLC,650432100,223661,22WS,HOLTS SUMMIT
CARROLLTON SPECIALTY PRODUCTS CO,65802,244191,22WS,SPRINGFIELD
CASUAL ANIMAL BREWING COMPANY LLC,641081423,250897,22WS,KANSAS CITY
CAVE VINEYARD LLC,636707931,246863,LWS,STE. GENEVIEVE
CENTER ICE BREWING LLC,631031213,257896,22WS,ST. LOUIS
CHANDLER HILL VINEYARDS LLC,633412708,177977,22WS,DEFIANCE
CHARLEVILLE VINEYARD LLC,636707914,165076,22WS,STE. GENEVIEVE
CHAUMETTE INC.,636709022,171659,22WS,STE. GENEVIEVE
CHRISTINES VINEYARD LLC,648709146,258635,22WS,WEBB CITY
CITY CIDER LLC,63108,250091,22WS,ST. LOUIS
CIVIC DUTY BREWING COMPANY LLC,64110,253120,22WS,KANSAS CITY
CLASSIQUE LLC,631442816,129953,LWS,WEBSTER GROVES
CLASSIQUE LLC,633321563,131947,22WS,AUGUSTA
CLASSIQUE LLC,641083631,219629,LWS,KANSAS CITY
CLAVERACH FARM & VINEYARDS LLC,630250000,236132,22WS,EUREKA
"CONNER, MATT",656168250,246638,LWS,BRANSON
"COOLSHIP HOLDING, LLC",641081539,259236,22WS,KANSAS CITY
"COOPER'S OAK WINERY ASSOCIATES, LLC",652572875,245177,LWS,HIGBEE
COPPER RUN ENTERPRISES LLC,65771,259477,LWS,WALNUT SHADE
COUNTY BEVERAGE COMPANY INC.,640810000,264109,LWS,LEE'S SUMMIT
COUNTY DISTRIBUTING COMPANY INC.,653012398,166926,LWS,SEDALIA
CRAFT REPUBLIC LLC,631044040,245664,LWS,ST. LOUIS
CROWN VALLEY WINERY INC.,636402002,163520,22WS,FARMINGTON
CROWN VALLEY WINERY INC.,636709039,175430,LWS,STE. GENEVIEVE
CSM SALES AND MARKETING LLC,64108,257712,LWS,KANSAS CITY
D & D DISTRIBUTORS LLLP,630433530,153635,LWS,MARYLAND HEIGHTS
D & D DISTRIBUTORS LLLP,64108,269102,LWS,KANSAS CITY
D & D DISTRIBUTORS LLLP,63601,269103,LWS,DESLOGE
D & D DISTRIBUTORS LLLP,63501,269746,LWS,WEBSTER GROVES
DAVIS RALLY POINT LLC,64093,253588,22WS,LEE'S SUMMIT
DEEP SLEEP BREWING COMPANY LLC,630906076,250354,22WS,WASHINGTON
DEFIANCE RIDGE VINEYARDS LLC,633412803,252451,22WS,DEFIANCE
DEFIANT SPIRITS LLC,631051841,225830,LWS,CLAYTON
DIERBERG EDUCATIONAL FOUNDATION INC.,650419650,248755,LWS,HERMANN
DISTILLERY OF DEFIANCE LLC,633413103,235728,LWS,DEFIANCE
DK54VINES LLC,658020000,237644,22WS,SPRINGFIELD
DOGMASTER DISTILLERY LLC,652014954,220446,LWS,COLUMBIA
DUBIOUS CLAIMS BREWING LLC,64024,260097,22WS,EXCELSIOR SPRINGS
EAST FORTY BREWING LLC,64015,261549,22WS,BLUE SPRINGS
EDG-CLIF BREWERY LLC,636640000,227422,22WS,POTOSI
F & R WINE IMPORTS LLC,631192945,247895,22WS,WEBSTER GROVES
FARM AND SPIRIT LLC,63090,267639,LWS,WASHINGTON
FECHTEL BEVERAGE & SALES INC.,651011648,257723,LWS,JEFFERSON CITY
FENCE STILE LLC,640245370,180256,22WS,EXCELSIOR SPRINGS
FERMENTED PROJECTS LLC,63143,269696,22WS,MAPLEWOOD
FLORIDA WINERY INC.,652832177,226974,22WS,FLORIDA
FORISTELL ENTERPRISES LLC,633905123,228077,22WS,WRIGHT CITY
GOLDEN EAGLE DISTRIBUTING COMPANY,634016545,247130,LWS,HANNIBAL
GOLDEN EAGLE DISTRIBUTING COMPANY,635011736,247131,LWS,KIRKSVILLE
GOLDEN ROCK WINERY LLC,650202649,196454,22WS,CAMDENTON
"GRAND PRIX BEVERAGE, LLC",631113653,198689,LWS,ST. LOUIS
GREAT RIVERS DISTRIBUTING COMPANY INC,657899606,165545,LWS,POMONA
GRELLNER SALES & SERVICE INC.,654018575,45163,22WS,ROLLA
GRELLNER SALES & SERVICE INC.,650208092,45164,22WS,CAMDENTON
GRELLNER SALES & SERVICE INC.,657751837,50104,22WS,WEST PLAINS
"GRELLNER SALES & SERVICE, INC.",653012756,196587,22WS,SEDALIA
GRIESEDIECK BROTHERS BREWERY CORP.,631471840,230439,LWS,ST. LOUIS
GRIMM'S TREE BREWING LLC,63055,269534,22WS,LABADIE
GRINDSTONE VALLEY WINERY LLC,644740000,231303,22WS,OSBORN
H.W. HERRELL DISTRIBUTING COMPANY,630522326,163143,LWS,IMPERIAL
HANDCRAFTED WINES MISSOURI LLC,641110000,250514,LWS,KANSAS CITY
"HEART OF AMERICA BEVERAGE COMPANY, LLC",648048176,152341,22WS,JOPLIN
"HEART OF AMERICA BEVERAGE COMPANY, LLC",658024579,166278,LWS,SPRINGFIELD
HEAVY RIFF BREWING COMPANY LLC,631393305,269923,22WS,ST. LOUIS
HEMMAN WINERY LLC,637378702,246058,22WS,BRAZEAU
HERMANNHOF INC.,650411138,213641,22WS,HERMANN
HIGH LIFE SALES COMPANY,641451526,163884,LWS,KANSAS CITY
HOOVER VINTNERS LLC,65041,230390,22WS,HERMANN
HUNGRY HOLLOW BREWING COMPANY LLC,656258355,245625,22WS,CASSVILLE
HUNTER VALLEY WINERY LLC,637017801,195405,22WS,CAPE GIRARDEAU
HUTSON IMPORTS LLC,630422428,249433,22WS,HAZELWOOD
IDEALINE MARKETING AND PRODUCTS INC.,64116,259567,22WS,NORTH KANSAS CITY
INDIAN SPRINGS BREWING COMPANY LLC,648507936,246665,22WS,NEOSHO
IONIA ATLANTIC IMPORTS LLC,63043,196377,LWS,MARYLAND HEIGHTS
ISHAMS ORDINARY LLC,65201,253685,LWS,COLUMBIA
"ITALIAN VINE, MO WINE DISTRIBUTORS INC.",64111,227631,LWS,KANSAS CITY
"ITALIAN VINE, MO WINE DISTRIBUTORS INC.",63043,258442,LWS,MARYLAND HEIGHTS
"J CREEK, LLC",64079,267731,22WS,PLATTE CITY
JACOB RIEGER & COMPANY LLC,64120,262924,LWS,KANSAS CITY
JALISCO US LLC,631321023,161793,LWS,ST. LOUIS
JC-ARANDAS INC.,640298642,176605,LWS,GRAIN VALLEY
"KCB DISTRIBUTING, INC.",641291387,236041,22WS,KANSAS CITY
KELTOI VINEYARD LLC,64855,254442,22WS,ORONOGO
KOHLFELD DISTRIBUTING INC.,637553803,164894,LWS,JACKSON
KROOKED MOON DISTILLERY LLC,65066,265481,LWS,OWENSVILLE
KS SYSTEMS INC.,633660000,250423,LWS,O'FALLON
LADOGA RIDGE VINEYARD & WINERY LLC,640898739,197180,22WS,SMITHVILLE
LAKE CREEK WINERY LLC,63357,244269,22WS,MARTHASVILLE
LASZLO CORP.,633047119,141673,22WS,ST. PETERS
LEAKY ROOF MEADERY LLC,656224500,251869,22WS,BUFFALO
LES BOURGEOIS VINEYARDS INC.,65279,266724,LWS,ROCHEPORT
LIBERTY CAP BREWING COMPANY,645012332,253997,22WS,ST. JOSEPH
LILE WINE LLC,641113667,220515,LWS,KANSAS CITY
LINDWEDEL WINE GARDEN LLC,656166136,190152,22WS,BRANSON
LLOYD DISTRIBUTING CO INC,635017709,269745,LWS,KIRKSVILLE
LOHR DISTRIBUTING CO. INC.,631293868,226108,LWS,ST. LOUIS
LOHR DISTRIBUTING COMPANY INC.,631043511,30097,LWS,ST LOUIS
LOHR DISTRIBUTING COMPANY INC.,641201370,194998,LWS,KANSAS CITY
"LONG, KRISTY I. & KEVIN LEE",653503622,215472,22WS,SMITHTON
"LORBERT IMPORTS, LLC",631321307,265136,LWS,ST. LOUIS
MAIN & MILL BARRELWORKS LLC,63028,267171,22WS,FESTUS
MAIN AND MILL BREWING COMPANY LLC,630281907,242861,22WS,FESTUS
MAJOR BRANDS INC.,637015124,178672,LWS,CAPE GIRARDEAU
MAJOR BRANDS INC.,631432623,178674,LWS,ST. LOUIS
MAJOR BRANDS INC.,631432623,178676,LWS,ST. LOUIS
MAJOR BRANDS INC.,641164036,178824,LWS,N. KANSAS CITY
MAJOR BRANDS INC.,658022502,178826,LWS,SPRINGFIELD
MAJOR BRANDS INC.,652020000,178840,LWS,COLUMBIA
MANOS INC.,641081714,227640,22WS,KANSAS CITY
MARK TWAIN DISTRIBUTING COMPANY,634014310,165928,LWS,HANNIBAL
MARTIN BROTHERS VINEYARD & WINERY LLC,65041,256459,22WS,HERMANN
"MCCORMICK WINE IMPORTS, LLC",630422319,242082,22WS,HAZELWOOD
MCCRACKEN ANCESTRAL SPIRITS DISTILLERY,65649,268199,LWS,FAIR PLAY
MCINTOSH AGRICULTURAL CONSORTIUM LLC,651019481,258725,LWS,JEFFERSON CITY
MEYER FARMS INC.,657126319,219963,22WS,MOUNT VERNON
MISSOURI BEER COMPANY LLC,633661926,247837,22WS,O'FALLON
MISSOURI EAGLE LLC,655360010,156889,LWS,LEBANON
