number,dorregionnumber,type,name,address1,address2,city,state,zipcode,located_in,county,phone,fax,size,email,agent,officemanager,contractmanager,daysopen,daysclosed,holidaysclosed,additionaldaysclosed,remarks,latlng,twitter_url,facebook_url,textingPhoneNumber,ManagerContactNumber,ManagerContactNumber2,OtherContactInfo,additional_license_office_info
153,14,1MV,SAINTE GENEVIEVE - Office Closed,207 PLAZA DRIVE,,STE GENEVIEVE,MO,63670-0000,This office is closed until further notice all personalized plates will go to the Twin City License Office.,Ste. Genevieve,(573) 883-2344,(573) 883-9958,1,SAINTEGENEVIEVEAGENTOFFICE@DOR.MO.GOV,,,,,,,,,"(37.96716516488852, -90.04920244216919)",,,,,,,
071,13,1MV,GAINESVILLE,98 FIRST STREET,,GAINESVILLE,MO,65655-0000,VERIZON BUILDING,Ozark,(417) 679-0280,(417) 679-0279,1,GAINESVILLEAGENTOFFICE@DOR.MO.GOV,ROBIN MORRISON,ANGELA BURKE,,Monday-Friday - 8:30 to 4:30,Mondays from 1:00 to 2:00,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/11/2020 (at 8:30 AM until 9:45 AM ), 3/26/2020,  03/27/20, 03/28/20, 3/30/2020 (open at 8:30 AM ),  4/2/2020, 04/03/20, 04/04/20, 4/6/2020 (open at 8:30 AM ), 11/27/20, 12/24/20",,"(36.600622, -92.435144)",,,,,,,
078,11,1MV,NEOSHO,112 WEST SPRING STREET,,NEOSHO,MO,64850-0000,,Newton,(417) 451-4750,(417) 451-1625,2,NEOSHOAGENTOFFICE@DOR.MO.GOV,"NEOSHO AREA BUSINESS & FOUNDATION, INC.",LADONNA ASHFORD,,"Monday - Friday - 8:00 to 5:00, Last 4 Weekdays of the Month - 8:00 to 6:00",,"President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/24/2020,  03/25/20,  03/26/20,  03/27/20,  03/28/20,  03/30/20,  03/31/20,  04/01/20,  04/02/20,  04/03/20,  04/04/20,  4/6/2020 (open at 8:00 AM ),  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,   4/20/2020 (open at 8:00 AM), 04/21/20, 04/22/20, 04/23/20, 04/24/20, 04/25/20, 04/27/20, 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20,  5/4/2020 (open at 8:00 AM ),  11/27/20,  12/24/20",,"(36.8697381, -94.3686012)",@Neosho078,https://www.facebook.com/neosholicenseoffice,(417) 319-4749,,,License Office's Website: http://growneosho.com/neosholicenseofficePublic E-mail Address: neosholicenseoffice@gmail.com,"Due to COVID-19 the office is operating by appointment onlyMonday, May 4, 2020 - Drop off onlyBeginning Tuesday, May 5, 2020 by appointment only for all transaction types"
047,9,1MV,NEW LONDON,112 E FOURTH ST,,NEW LONDON,MO,63459-0000,,Ralls,(573) 985-3560,(573) 985-3570,1,NEWLONDONAGENTOFFICE@DOR.MO.GOV,"Smith Custom Homes, LLC",HEATHER PATTERSON,,Monday - Thursday - 8:30 to 5:00,Monday - Thursday from 12:30 to 1:30,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/4/2020,         2/5/2020 (at 12:45 PM ),        2/6/2020 (at 3:30 PM ),        2/12/2020 (at 12:45 PM ),        2/18/2020 (at 8:30 AM ),         2/25/2020 (at 8:30 AM ),        3/25/2020 (at 8:30 AM ),        3/27/2020 (at 9:30 AM ),        03/28/20,        03/30/20,        03/31/20,        04/01/20,        04/02/20,        04/03/20,        04/04/20,        4/6/2020 (open at 9:30 AM ),       4/9/2020 (at 1:30 PM ),        4/10/2020,      04/10/20,      04/11/20,       4/13/2020 (open at 9:30 AM ),     04/14/20,     04/15/20,      4/16/2020 (open at 9:30 AM ),     4/16/2020 (at 8:30 AM until 9:30 AM ),    4/20/2020,   04/21/20,   04/22/20,   04/23/20,   04/24/20,   04/25/20,    4/27/2020 (open at 8:30 AM ),  04/28/20,  04/29/20,  04/30/20,  05/01/20,  05/02/20,   5/4/2020 (open at 8:30 AM ), 05/05/20, 05/06/20, 05/07/20, 05/08/20, 05/09/20,  5/11/2020 (open at 8:30 AM ),        11/27/20,        12/24/20",,"(39.5856297, -91.3997148)",,,(573) 470-1659,,,Public E-Mail: jrsmith573@earthlink.net,
085,13,1MV,ALTON,14360 MO 19,,ALTON,MO,65606-0000,,Oregon,(417) 778-2004,(417) 778-2003,1,ALTONAGENTOFFICE@DOR.MO.GOV,DAVIS BOOKKEEPING & TAX SVS,KRISTIE RACKLEY,,Monday - Friday - 9:00 to 4:30,Monday - Friday from 12:00 to 1:00,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","4/6/2020 (at 9:00 AM ),   4/10/20,   4/13/2020,  4/20/2020,    5/26/2020,    05/27/20,    5/28/2020 (open at 9:00 AM ),    11/27/20,    12/24/20",,"(36.682140814113986, -91.39990459748378)",,https://www.facebook.com/oregoncountylo/?fref=ts,(417) 270-7327,,,Public E-mail Address: freda22@hotmail.com,"Other Services and Initiatives: Office will have a greeter to ensure customers has proper documents. Ways to Contact the office: E-mail, Facebook, and Texting Number. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, process transactions in the customer waiting area and direct customers to the front of the line."
062,13,1MV,AVA,"301 SOUTH SPURLOCK ST, SUITE B",,AVA,MO,65608-0000,,Douglas,(417) 683-1503,(417) 683-1492,1,AVAAGENTOFFICE@DOR.MO.GOV,"LICENSE OFFICE SERVICES, LLC",JOYCE HINRICHS,,Monday - Friday  - 08:00 to 05:00,,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","11/25/20, 11/27/20, 12/24/20, 12/28/20",,"(36.9509048, -92.65959420000002)",,https://www.facebook.com/avalicenseoffice/,(417) 413-4636,,,Public E-Mail: avaoffice.los@gmail.comWebsite: www.losllc.com,
087,14,1MV,CAPE GIRARDEAU,51 S PLAZA WAY,,CAPE GIRARDEAU,MO,63703-0000,TOWN PLAZA,Cape Girardeau,(573) 335-3659,(573) 335-4547,3,CAPEGIRARDEAUAGENTOFFICE@DOR.MO.GOV,"MCLB MANAGEMENT CO, LLC",PENNY EAKER,,"Monday - Friday - 8:30 to 5:30, Last Saturday - 8:30 to 12:00",,"Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/12/2020 (at 4:30 PM ), 3/17/2020 (at 4:00 PM ),  4/6/2020, 04/07/20, 04/08/20, 04/09/20, 04/10/20, 04/11/20, 4/13/2020 (open at 8:30 AM ), 11/27/20,  11/28/20, 12/24/20, 12/26/20",,"(37.3058503, -89.54816570000003)",https://twitter.com/LicenseCape,https://www.facebook.com/Cape-Girardeau-License-Office-1522207628039716/,(573) 979-2143,,,Public E-mail Address: capelicenseoffice@gmail.com,"Due to COVID-19 the office is temporarily adjusting hoursMonday - Friday 8:30 a.m. - 3:30 p.m.The first hour of each day will be reserved for transactions for persons 65 years of age or older. Office will have a document checker, telephone operator, or greeter to assist customers while office clerks process transactions, Motor Vehicle transaction drop –off service for busy times. Ways to contact office: Public E-mail, Facebook, Twitter and Texting Number. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area. Customer Satisfaction Initiatives: Completed comment cards will be used in drawing. Other Services and Initiatives: Play area will be available within the waiting area for customer."
048,9,1MV,PALMYRA,"100 SOUTH MAIN, SUITE 003",,PALMYRA,MO,63461-0000,,Marion,(573) 769-3264,(573) 769-1043,1,PALMYRAAGENTOFFICE@DOR.MO.GOV,"Smith Custom Homes, LLC",JEANNIEA KEMPF,,Monday - Friday  - 8:30 to 5:00,Monday - Friday from 12:30 to 1:30,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/23/2020 (at 8:30 AM until 1:30 PM), 11/27/20, 12/24/20",,"(39.7996281, -91.5230763)",,,,,,Public E-Mail: jrsmith573@earthlink.net,Due to COVID-19 office is offering Curbside service only
003,8,1MV,AFFTON,9513 GRAVOIS RD,,AFFTON,MO,63123-0000,,St. Louis County,(314) 631-1311,(314) 631-1997,3,AFFTONAGENTOFFICE@DOR.MO.GOV,"BEACON VIRTUAL ASSISTANTS, LLC.",JOYCE HOGAN,,"Monday - Friday - 7:30 to 7:00, Saturday - 8:30 to 2:00",,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/18/2020,   03/19/20,   03/20/20,   03/21/20,   03/23/20,   03/24/20,   03/25/20,   03/26/20,   03/27/20,   03/28/20,   03/30/20,   03/31/20,   04/01/20,   04/02/20,   04/03/20,   04/04/20,    4/6/2020 (open at 7:30 AM ),  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,  04/20/20,  04/21/20,  04/22/20,  04/23/20,  04/24/20,  04/25/20,   4/27/2020 (open at 7:30 AM ), 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20, 05/04/20,  5/5/2020 (open at 7:30 AM ),   5/23/20,   9/5/20,   11/25/20 (p.m.),   12/24/20 (p.m. only)",,"(38.552923, -90.322375)",www.twitter.com/Affton_License,www.facebook.com/Affton-License-Office,(314) 467-8050,,,"Public Email Address: AfftonLicenseOffice@gmail.com, Contractor's Website: www.beaconvirtualassistants.com","Due to COVID-19 office hours will be temporarily adjustedMonday - Friday 9:00 a.m. - 4:00 p.m.Other Services and Initiatives: Office will have a greeter to ensure customers has proper documents, Motor Vehicle transaction drop-off service. Ways to Contact the office: E-mail, Facebook, Twitter, and  Texting Number. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, process transactions in the customer waiting area and direct customers to the front of the line. Customer Satisfaction Initiatives: Completed comment cards will be used in a drawing."
084,12,1MV,BRANSON,1447C STATE HIGHWAY 248,,BRANSON,MO,65616-0000,CEDAR RIDGE PLAZA,Taney,(417) 334-2496,(417) 339-4260,2,BRANSONAGENTOFFICE@DOR.MO.GOV,KOESTER & KOESTER,JEAN BLAND,,Monday - Friday - 8:00 to 5:00,,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/5/2020 (at 3:00 PM ),  3/17/2020 (at 12:00 PM ),   03/18/20,  3/19/2020 (open at 8:00 AM ),  3/23/2020 (at 12:00 PM ),  3/24/2020 (at 12:00 PM ),  03/25/20,  03/26/20,  03/27/20,  03/28/20,  03/30/20,  03/31/20,  04/01/20,  04/02/20,  04/03/20,  04/04/20,  4/6/2020 (open at 8:00 AM ),  11/27/20,  11/28/20,  12/24/20,  12/26/20",,"(36.662774, -93.2405969)",https://twitter.com/koestersdmv,www.facebook.com/koestersdmv,(573) 470-5928,,,www.koestersdmv.com/bransonwww.koestersdmv.com,"Due to COVID-19 the office is closing from 12:00 p.m. - 12:45 p.m. each day to disinfect the officeAbility to join virtual lines from your computer or mobile device and receive wait time updates. Ways to contact office: Email or ""Contact Us"" link on the Internet, Facebook, Twitter and Texting (Information listed below). Services for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, Direct customers to front of the line, Wheelchair availabilityCustomer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
