business name,address1,address2,city,state,zipcode,county,contact name,website,email,company profile,company description,location description,latlong
Hillsboro Farmers' Market,5137 Glade Chapel Road,,Hillsboro,MO,63050,Jefferson,Carmelita Davidson,http://facebook.com/Hillsboro-Farmers-Market-880684028708050,carmelitadavidson46@gmail.com,"May- October, Wednesday 3:30 p.m.- 6:30 p.m.",The Hillsboro Farmers&#39; Market sells a variety of products.,The Hillsboro Farmers&#39; Market is located at 5137 Glade Chapel Road.,"(38.306862, -90.549835)"
Shamba Creek Farm,4403 County Road SEE70B,,Pineville,MO,64856,McDonald,Adrienne Terrazas,http://www.shambacreekfarm.com,shambacreekfarm@gmail.com,"We are a small family farm serving SW Missouri and NW Arkansas.<br><br>We pasture raise pork, chicken, beef, lamb and eggs. We sell direct to our customers.",All of our animals are raised on pasture. Our hogs and chickens are supplemented with a non-GMO grain. Our beef and lamb are all grass fed.,"We sell at the Bentonville Farmers’ Market, online year-round and on the Square Wednesdays and Saturdays during market season.<br><br>We also sell online through our website and deliver directly to our consumers. <a href=""http://www.shambacreekfarm.com/shop"" target=""_blank"">www.shambacreekfarm.com/shop</a>","(36.51633, -94.135422)"
Richmond Missouri Farmers' Market,205 Summit Street,,Richmond,MO,64085,Ray,Lisa Hastings,https://www.facebook.com/Richmond.MO.Farmers.Market/,lhastings@cityofrichmondmo.org,"<p>The farmers’ market for Richmond, Missouri, and the surrounding community is held every Saturday, May through October from 8 a.m. - noon in the parking lot on W. Main in downtown Richmond. </p><p>Contact City Hall at 816-776-5304 for vendor permit information.</p>","<p>Locally grown produce (fruits/vegetables), honey, home-baked goods, flowers, plants and herbs, hand-made crafts, etc.</p>","<p>Downtown Richmond, Missouri, on W. Main Street in &quot;Public Parking Lot&quot;.</p>","(39.275813, -93.978221)"
Linn Creek Farmers' Market,City Park,,Linn Creek,MO,65052,Camden,Deby Blair,,kimstevens@lc-cg.org,"April- October, Friday 4:00 p.m.- 8:00 p.m.",The Linn Creek Farmers&#39; Market sells a variety of products.,The Linn Creek Farmers&#39; Market is located at the City Park.,"(38.126632, -92.673286)"
Lebanon Farmers' Market,Jefferson Ave at the railroad tracks,,Lebanon,MO,65536,Laclede,Kate Bolden,https://www.facebook.com/pg/Lebanon-Farmers-Market-120226951341240/about/?ref=page_internal,katebolden@missouricom.com,"April- October, Wednesday 2:00 p.m.- 6:00 p.m., Saturday 8:00 a.m.- 12:00 p.m.","Fruits, vegetables, honey, eggs, pork, beef, baked goods, crafts, jams, jellies",The Lebanon Farmers&#39; Market is located on Jefferson Avenue at the railroad tracks.,"(37.668843, -92.649681)"
Richland Farmers Market,Shady Dale Park,,Richland,MO,65556,Pulaski,Ed Boyd,https://www.facebook.com/RichlandFarmersMarket/,boydspot2@yahoo.com,Richland Farmers Market was formed January 2011 to provide an avenue for food producers to market the fruits of their labor directly to consumers. We promote and engage in self-sustaining community and economic development and revitalization projects.,The Richland Farmers&#39; Market sells a variety of products.,"We are located at Shady Dale Park in Richland, MO. Our market will be held every Saturday begining the middle of May through September with operating hours of 8a.m.-12 p.m.","(37.770218, -92.505996)"
Northeast Farmers' Market,3001 Independence Ave,,Kansas City,MO,64124,Jackson,Jenna Wilkins,,jennawwilkins@gmail.com,For more information about the member company contact them directly.,For more information about the member company contact them directly.,For more information about the member company contact them directly.,"(39.105814, -94.545682)"
Historic Soulard Farmers' Market,730 Carrol Street,,St. Louis,MO,63104,St. Louis City,Ryan Burrus,https://www.facebook.com/SoulardMarket/,burrusr@stlouis-mo.gov,The Historic Soulard Farmers&#39; Market is open year round.<br>Wednesday through Friday from 8 am to 5 pm<br>Saturday from 7 am to 5:30 pm,The Historic Soulard Farmers&#39; Market sells a variety of products.,The Historic Soulard Farmers&#39; Market is located at 730 Carrol Street in St. Louis.,"(38.610727, -90.201063)"
Blue Springs Farmers' Market,11th & Main Street,,Blue Springs,MO,64015,Franklin,Reta Schaefer,https://www.facebook.com/bluespringsfarmersmarket/,retaschaefer6@yahoo.com,"May- October, Saturday 7:00 a.m.- 12:00 p.m.","Throughout the season the market offers: vegetables, fruits, eggs, baked goods, meats, daylilies, herbs, cut flowers, hostas, baby blankets, lap blankets, garden art, paintings and rugs.<br><br>The market gathers on Saturday mornings in Downtown Blue Springs from 7 am until 12 pm, May through October.","The market gathers on Saturday mornings in Downtown Blue Springs from 7 am until 12 pm, May through October.","(51.371135, 0.635351)"
Greater Polk County Farmers' Market,320 S. Market Ave,,Bolivar,MO,65613,Polk,Cecilia Gulick,https://www.facebook.com/Greater-Polk-County-Farmers-Market-204977716206388/,berrypatch1@windstream.net,The Greater Polk County Farmers&#39; Market is year round on Saturday from 8 am to 12 pm.,The Greater Polk County Farmers&#39; Market sells a variety of products.,"The Greater Polk County Farmers Market is located at 320 S. Market Avenue in Bolivar, MO.","(37.613042, -93.408959)"
