Career Center Name,Address1,Address2,City,State,Zipcode,Phone,Fax,Toll-Free,Email,LatLng
Columbia Job Center,101 Park De Ville Drive,Suite E,Columbia,MO,65203,573-441-6361,,1-888-728-5627,columbia@dhewd.mo.gov,"(38.957287, -92.385812)"
Lebanon Job Center,"2639 South Jefferson Avenue, Suite 1",,Lebanon,MO,65536,417-532-6146,,1-888-728-5627,lebanon@dhewd.mo.gov,"(37.6427183, -92.6502992)"
St. Louis City-SLATE Job Center,"1520 Market Street, Room 3050",,St. Louis,MO,63103,314-589-8000,,1-888-728-5627,info@stlworks.com,"(38.6278174, -90.2031472)"
Poplar Bluff Job Center,"1903 Northwood Drive, Suite 2",,Poplar Bluff,MO,63901,573-840-9595,,1-888-728-5627,poplarbluff@dhewd.mo.gov,"(36.7777114, -90.4195743)"
Monett Limited,100 South Maple,,Monett,MO,65708,417-235-7877,,,,"(36.917465, -93.9160669)"
Kennett Job Center,"1100 South By-Pass, Suite 2",,Kennett,MO,63857,573-888-4518,,1-888-728-5627,kennett@dhewd.mo.gov,"(36.2358056, -90.0443874)"
Hannibal Job Center,203 North Sixth Street,,Hannibal,MO,63401,573-248-2520,,1-888-728-5627,hannibal@dhewd.mo.gov,"(39.7086298, -91.3612039)"
Kansas City - Northland Job Center,"3100 N.E. 83rd, Suite 2100",,Kansas City,MO,64119,816-468-8767,,1-888-728-5627,,"(39.244604, -94.54257)"
Cape Girardeau Job Center,"760 S. Kingshighway, Suite A1",,Cape Girardeau,MO,63701,573-381-2482,,1-888-728-5627,,"(37.3442325, -89.5936701)"
Rolla Job Center,"706 S. Bishop, Suite A & B",,Rolla,MO,65401,573-364-7030,,1-888-728-5627,rolla@dhewd.mo.gov,"(37.9343639, -91.778455)"
Springfield Job Center,2900 East Sunshine,,Springfield,MO,65804,417-887-4343,,1-888-728-5627,springfield@dhewd.mo.gov,"(37.179313, -93.2372299)"
Maryville Job Center,114 W. 3rd St.,,Maryville,MO,64468,660-582-8980,,1-888-728-5627,,"(40.3477051, -94.8735922)"
Kansas City - South FEC Job Center,6025 Prospect Avenue,,Kansas City,MO,64130,816-448-7601,,1-888-728-5627,,"(39.016619, -94.555506)"
West Plains Job Center,"3417 Division Drive, Suite 1",,West Plains,MO,65775,417-256-3158,,1-888-728-5627,westplains@dhewd.mo.gov,"(36.7806882, -91.8942466)"
Trenton Missouri Job Center,1104 Main,,Trenton,MO,64683,660-359-5636,,,,"(40.0761256, -93.6175137)"
St. Louis County-Florissant Job Center,"4040 Seven Hills Drive, Suite 166",,Florissant,MO,63033,314-475-7900,,1-888-728-5627,florissant@dhewd.mo.gov,"(38.777266, -90.278073)"
Nevada Job Center,"621 East Highland Ave., Suite 3",,Nevada,MO,64772,417-448-1177,,1-888-728-5627,nevada@dhewd.mo.gov,"(37.8585948, -94.3480835)"
Fort Leonard Wood Job Center,"140 Replacement Ave., Suite 2202",(send all correspondence to the Rolla Job Center address),Fort Leonard Wood,MO,65473,573-596-0294,,1-888-728-5627,,"(37.948544, -91.7715303)"
Warrenton Job Center,111 Steinhagen Road,,Warrenton,MO,63383,636-456-9467,,1-888-728-5627,warrenton@dhewd.mo.gov,"(38.8123513, -91.1399124)"
FEC (Richmond),1740 Paseo,,Kansas City,MO,64108,816-471-2330,,,,"(39.0915451, -94.5652555)"
THE CUBE (Full Employment Council),1722 E 17th Terrace,,Kansas City,MO,64108,816-471-2330,,,,"(39.0918044, -94.56209)"
Kirksville Job Center,2105 East Normal,,Kirksville,MO,63501,660-785-2400,,1-888-728-5627,kirksville@dhewd.mo.gov,"(40.1903519, -92.5608926)"
Branson Job Center,"2720 Shepherd of the Hills Expressway, Ste B",,Branson,MO,65616,417-334-4156,,1-888-728-5627,branson@dhewd.mo.gov,"(36.6538853, -93.2738724)"
St. Joseph Job Center,2202 Frederick,,St. Joseph,MO,64506,816-387-2380,,1-888-728-5627,stjoseph@dhewd.mo.gov,"(39.774461, -94.8336745)"
Clinton Job Center,117 W Franklin,,Clinton,MO,64735,660-885-5541,,1-888-728-5627,clinton@dhewd.mo.gov,"(38.3710287, -93.7767658)"
St. Charles County Job Center,212 Turner Boulevard,,St. Peters,MO,63376,636-255-6060,,1-888-728-5627,stcharles@dhewd.mo.gov,"(38.8052751, -90.6474431)"
South Kansas City,6025 South Prospect,,Kansas City,MO,64130,816-448-7601,,1-888-728-5627,,"(39.016619, -94.555506)"
Sedalia Job Center,515 S. Kentucky,,Sedalia,MO,65301,660-530-5627,,1-888-728-5627,sedalia@dhewd.mo.gov,"(38.7063365, -93.2299736)"
FACE FORWARD,1710 E. 18th Street,,Kansas City,MO,64108,816-471-2330,,,,"(39.0912763, -94.5614399)"
Independence Job Center,15301 East 23rd Street South,,Independence,MO,64055-1698,816-521-5700,,1-888-728-5627,independence@dhewd.mo.gov,"(39.0782254, -94.3985195)"
Chillicothe Job Center,601 West Mohawk Road,,Chillicothe,MO,64601,660-646-0671,,1-888-728-5627,chillicothe@dhewd.mo.gov,"(39.8190991, -93.551459)"
Potosi Missouri Job Center,10231 W. State St. Hwy E Ste. C,,Potosi,MO,63664,573-438-4414,,,,"(37.9440947, -90.7681456)"
Arnold Job Center,"3675 West Outer Road, Suite 102",,Arnold,MO,63010,(636) 865-6060,,1-888-728-5627,arnold@dhewd.mo.gov,"(38.4119791, -90.3906442)"
Fulton Missouri Job Center,512 Market St.,,Fulton,MO,65251,573-642-7760,,,,"(38.8481465, -91.9467865)"
Sikeston Job Center,202 South Kingshighway,,Sikeston,MO,63801,573-472-5250,,1-888-728-5627,sikeston@dhewd.mo.gov,"(36.8756439, -89.5869297)"
Joplin Job Center,730 S Wall Ave,,Joplin,MO,64801,417-629-3000,,1-888-728-5627,joplin@ded.mo.gov,"(37.0830538, -94.5160732)"
St. Louis County—The Crossings at Northwest,715 Northwest Plaza Drive,,St. Ann,MO,63074, (314) 615-6010,,1-888-728-5627,wfd@stlouisco.com,"(38.7327964, -90.4024107)"
Platte County Resource Center,11724 NW Plaza Circle,Suite 500,Kansas City,MO,64153,816-464-4620,,,,"(39.305988, -94.685134)"
St. Robert—Pulaski County Affiliate Office,St. Robert Affiliate Office,"194 Eastland Ave., Suite 105",St. Robert,MO,65584,573-451-3109,,,,"(0.0, 0.0)"
Kansas City - FEC Job Center,1740 The Paseo,,Kansas City,MO,64108,816-471-2330,,1-888-728-5627,,"(39.0915266, -94.565261)"
Washington Job Center,1108 Washington Square Shopping Center,,Washington,MO,63090,636-583-9670,,1-888-728-5627,washington@dhewd.mo.gov,"(38.5364118, -91.0041245)"
