Agency Name,Contact Name,CEO Title,Street Address,Street Address 2,City,Zip,County Name,Voice Number,Fax Number,Agency_Type
13th Judicial Court Marshal's Office,Benjamin Pruett,Marshal,705 East Walnut,,Columbia,65201,BOONE,5738864474,5738864146,Court
19th Circuit Court Marshal's Office,Donald Schulte,Marshal,PO Box 1870,,Jefferson City,65102,COLE,5736349161,5736342584,Court
Adair County Sheriff's Office,Robert Hardwick,Sheriff,215 N Franklin,,Kirksville,63501,ADAIR,6606654644,6607853224,County
Adrian Police Dept.,Christopher Dillon,Chief,PO Box 246,16 E 5th Street,Adrian,64720,BATES,8162972106,8162972888,Municipal
Advance Police Dept.,Donnie Bohnsack,Chief,PO Box 648,103 N. Oak Street,Advance,63730,STODDARD,5737223603,5737225487,Municipal
Alma Police Dept.,Nick Boehmer,Chief,205 S County Rd,,Alma,64001,LAFAYETTE,6606742475,6606742491,Municipal
Alton Police Dept.,Rusty Warren,Chief,PO Box 247,,Alton,65606,OREGON,4177787115,4177787941,Municipal
Amtrak Police Department,Neil Trugman,Chief,531 S. 16th Street,,St. Louis,63103,ST. LOUIS,3143313350,,Rail Road
Anderson Police Dept.,Seth Daniels,Chief,713 Business 71 Highway,PO Box 397,Anderson,64831,MCDONALD,4178452681,4178456565,Municipal
Andrew County Sheriff's Office,Bryan Atkins,Sheriff,400 E Main Street,,Savannah,64485,ANDREW,8163245801,8163240574,County
Annapolis Police Dept,Phillip Starnes,Chief,204 School Street,,Annapolis,63620,IRON,5735983531,5735983631,Municipal
Appleton City Police Dept.,Jason Gillespie,Chief,114 E Fourth St   PO Box 134,,Appleton City,64724,ST. CLAIR,6604762631,6604762651,Municipal
Arbyrd Police Dept.,Jerry Gentry,Chief,200 Broadway,P.O. Box 338,Arbyrd,63821,DUNKLIN,5736543834,5736543507,Municipal
Arcadia Police Dept.,Charles Helton,Chief,150 W Orchard    PO Box 86,,Arcadia,63621,IRON,5735467573,5735463756,Municipal
Archie Police Dept.,Gary Hacker,Chief,401 S Main Street,PO Box 346,Archie,64725,CASS,8164305242,8166706093,Municipal
Arnold Police Dept.,Robert Shockey,Chief,2101 Jeffco Boulevard,,Arnold,63010,JEFFERSON,6362963204,6362826620,Municipal
Ash Grove Police Dept.,Darin Chance,Chief,PO Box 235,,Ash Grove,65604,GREENE,4177512333,4177513814,Municipal
Ashland Police Dept.,Francis Woolford,Chief,109 E Broadway,PO Box 135,Ashland,65010,BOONE,5736579062,5736577018,Municipal
Atchison County Sheriff's Office,Dennis Martin,Sheriff,511 W Clay,,Rock Port,64482,ATCHISON,6607446271,6607446274,County
Audrain County Sheriff's Office,Matthew Oller,Sheriff,1100 Littleby Road,,Mexico,65265,AUDRAIN,5739754060,5735812924,County
Aurora Police Dept.,Richard Witthuhn,Chief,PO Box 30     106 S Elliott,,Aurora,65605,LAWRENCE,4176785025,4176785211,Municipal
Auxvasse Police Dept.,Kevin Suedmeyer,Chief,104 S Main   PO Box 489,,Auxvasse,65231,CALLAWAY,5733862326,5733865555,Municipal
Ava Police Dept.,Reggie Johnson,Chief,PO Box 518,504 NW 12th Avenue,Ava,65608,DOUGLAS,4176832900,4176835166,Municipal
Ballwin Police Dept.,Douglas Schaeffler,Chief,300 Park Drive,,Ballwin,63011,ST. LOUIS,6362279636,6362072340,Municipal
Barry County Sheriff's Office,Gary Davis,Sheriff,505 East Street,,Cassville,65625,BARRY,4178476556,4178476422,County
Barton County Sheriff's Office,Larry Shaw,Sheriff,1010 Cherry St,,Lamar,64759,BARTON,4176825515,4176825805,County
Bates City Police Dept.,Jana Mackay,Chief,203 N 2nd Street,,Bates City,64011,LAFAYETTE,8166906575,8166906586,Municipal
Bates County Sheriff's Office,Harold Anderson,Sheriff,6 W Fort Scott,,Butler,64730,BATES,6606793232,6606794147,County
Battlefield Police Dept.,Robert McPhail,Chief,5434 Tower Dr,,Battlefield,65619,GREENE,4178909876,4174470084,Municipal
Bel-Nor Police Dept.,Scott Ford,Chief,8416 Natural Bridge Rd,,Bel-Nor,63121,ST. LOUIS,3143812971,3143814902,Municipal
Bel-Ridge Police Dept.,Mark Harris,Chief,8920 Natural Bridge,,Bel-Ridge,63121,ST. LOUIS,3144292878,3144295333,Municipal
Bell City Police Dept.,Howard Pikey,Mayor,PO Box 206,,Bell City,63735,STODDARD,5737334255,5737334661,Municipal
Bella Villa Police Dept.,Jeffrey Welge,Chief,"751 Avenue ""H""",,Bella Villa,63125,ST. LOUIS,3146388840,3146384783,Municipal
Belle Police Dept.,Joseph Turnbough,Marshal,PO Box 813,,Belle,65013,MARIES,5738593535,5738593440,Municipal
Bellefontaine Neighbors Police Dept.,Jeremy Ihler,Chief,9641 Bellefontaine Rd,,Bellefontaine Neighbors,63137,ST. LOUIS,3148670080,3148670214,Municipal
Bellflower Police Dept.,Chief of Police,Chief,PO Box 87,,Bellflower,63333,MONTGOMERY,5739293512,5739293949,Municipal
Belton Police Dept.,James Person,Chief,7001 E 163rd St,,Belton,64012,CASS,8163484414,8163484455,Municipal
Benton County Sheriff's Office,Eric Knox,Sheriff,PO Box 67,174 W. Washington,Warsaw,65355,BENTON,6604386135,6604383053,County
Benton Police Dept.,Roy Moore,Chief,PO Box 185,,Benton,63736,SCOTT,5735453558,5735453558,Municipal
Berger Police Dept.,Tracey Gutierrez,Chief,784 Hwy 19,,Hermann,63014,FRANKLIN,5732524389,,Municipal
Berkeley Police Dept.,Art Jackson,Chief,8340 Frost Ave.,,Berkeley,63134,ST. LOUIS,3145243311,3142642198,Municipal
