weekEnding,county,claims
02/02/2019,Saline,4
02/02/2019,Franklin,105
02/02/2019,Bates,16
02/02/2019,Shelby,3
02/02/2019,Clinton,8
02/02/2019,Pike,11
02/02/2019,Crawford,20
02/02/2019,Laclede,27
02/02/2019,Dent,9
02/02/2019,Ray,8
02/02/2019,Howard,7
02/02/2019,Lafayette,22
02/02/2019,Scotland,7
02/02/2019,Adair,13
02/02/2019,Macon,12
02/02/2019,Dallas,7
02/02/2019,Nodaway,6
02/02/2019,Christian,50
02/02/2019,Clark,4
02/02/2019,Carroll,6
02/02/2019,Madison,10
02/02/2019,Pettis,22
02/02/2019,Buchanan,51
02/02/2019,Polk,15
02/02/2019,Webster,27
02/02/2019,Jefferson,180
02/02/2019,Jackson,391
02/02/2019,St. Louis,538
02/02/2019,Moniteau,14
02/02/2019,Grundy,10
02/02/2019,Perry,17
02/02/2019,Henry,21
02/02/2019,Dunklin,20
02/02/2019,Livingston,5
02/02/2019,Montgomery,7
02/02/2019,Callaway,38
02/02/2019,Scott,18
02/02/2019,Ste. Genevieve,16
02/02/2019,Certified Mail,0
02/02/2019,Greene,131
02/02/2019,St. Louis City,226
02/02/2019,Mississippi,5
02/02/2019,Barry,11
02/02/2019,St. Charles,222
02/02/2019,Putnam,0
02/02/2019,Knox,2
02/02/2019,Taney,153
02/02/2019,Monroe,7
02/02/2019,Wright,9
02/02/2019,Daviess,7
02/02/2019,Lincoln,68
02/02/2019,St. Clair,6
02/02/2019,Morgan,22
02/02/2019,Lawrence,19
02/02/2019,Clay,97
02/02/2019,Mercer,2
02/02/2019,Pemiscot,9
02/02/2019,Maries,5
02/02/2019,Butler,25
02/02/2019,Randolph,16
02/02/2019,Worth,0
02/02/2019,Miller,17
02/02/2019,New Madrid,12
02/02/2019,Ripley,8
02/02/2019,Douglas,2
02/02/2019,Oregon,2
02/02/2019,Barton,3
02/02/2019,Cooper,15
02/02/2019,Chariton,4
02/02/2019,Johnson,20
02/02/2019,Cape Girardeau,36
02/02/2019,DeKalb,4
02/02/2019,Texas,15
02/02/2019,Washington,30
02/02/2019,Wayne,10
02/02/2019,Platte,40
02/02/2019,Howell,16
02/02/2019,Harrison,2
02/02/2019,Bollinger,12
02/02/2019,Gentry,1
02/02/2019,Cedar,2
02/02/2019,Atchison,2
02/02/2019,Stoddard,20
02/02/2019,Lewis,1
02/02/2019,Holt,3
02/02/2019,Andrew,14
02/02/2019,Cole,43
02/02/2019,Audrain,18
02/02/2019,Gasconade,16
02/02/2019,Caldwell,5
02/02/2019,Reynolds,5
02/02/2019,Pulaski,14
02/02/2019,Carter,4
02/02/2019,McDonald,7
02/02/2019,Linn,8
02/02/2019,Stone,45
02/02/2019,Osage,3
02/02/2019,Cass,55
02/02/2019,Shannon,2
02/02/2019,Marion,19
02/02/2019,Hickory,1
02/02/2019,Ralls,8
02/02/2019,Ozark,5
02/02/2019,Sullivan,3
02/02/2019,Benton,5
02/02/2019,Boone,65
02/02/2019,Vernon,7
02/02/2019,St. Francois,41
02/02/2019,Schuyler,4
02/02/2019,Jasper,66
02/02/2019,Camden,34
02/02/2019,Phelps,23
02/02/2019,Warren,36
02/02/2019,Dade,1
02/02/2019,Newton,17
02/02/2019,Iron,3
01/26/2019,Sullivan,6
01/26/2019,Grundy,3
01/26/2019,Cedar,6
01/26/2019,Polk,15
01/26/2019,Shelby,6
01/26/2019,Gentry,1
01/26/2019,St. Francois,56
01/26/2019,Harrison,1
01/26/2019,Johnson,29
01/26/2019,Shannon,6
01/26/2019,Hickory,3
01/26/2019,McDonald,10
01/26/2019,Macon,18
01/26/2019,Warren,64
01/26/2019,Jasper,48
01/26/2019,Greene,121
01/26/2019,Crawford,37
01/26/2019,Boone,95
01/26/2019,St. Charles,235
01/26/2019,Cooper,15
01/26/2019,Ozark,6
01/26/2019,Wayne,9
01/26/2019,Marion,28
01/26/2019,Lafayette,30
01/26/2019,Camden,26
01/26/2019,Dallas,9
01/26/2019,Chariton,8
01/26/2019,Stoddard,21
01/26/2019,Lewis,4
01/26/2019,Madison,20
01/26/2019,Scott,36
01/26/2019,St. Clair,7
01/26/2019,Christian,48
01/26/2019,Daviess,11
01/26/2019,Clark,4
01/26/2019,Dade,1
01/26/2019,Texas,26
01/26/2019,Moniteau,19
01/26/2019,Schuyler,4
01/26/2019,Gasconade,17
01/26/2019,Knox,8
01/26/2019,Ripley,4
01/26/2019,Platte,44
01/26/2019,Stone,77
01/26/2019,Mercer,4
01/26/2019,Livingston,13
01/26/2019,Morgan,27
01/26/2019,Clinton,25
01/26/2019,Franklin,145
01/26/2019,Carter,3
01/26/2019,Audrain,27
01/26/2019,Monroe,15
01/26/2019,Perry,24
01/26/2019,St. Louis City,222
01/26/2019,Jefferson,296
01/26/2019,Randolph,29
01/26/2019,Certified Mail,0
01/26/2019,Maries,6
01/26/2019,Cole,63
01/26/2019,Ralls,15
01/26/2019,Bollinger,15
01/26/2019,Bates,9
01/26/2019,DeKalb,10
01/26/2019,Clay,124
01/26/2019,Miller,28
01/26/2019,Worth,1
01/26/2019,Taney,189
01/26/2019,Lawrence,20
01/26/2019,Dent,5
01/26/2019,Saline,10
01/26/2019,Buchanan,51
01/26/2019,Ste. Genevieve,15
01/26/2019,Osage,12
01/26/2019,Vernon,6
01/26/2019,Jackson,520
01/26/2019,Pettis,33
01/26/2019,Carroll,7
01/26/2019,Howard,7
01/26/2019,Ray,26
01/26/2019,Linn,16
01/26/2019,Atchison,3
01/26/2019,St. Louis,563
01/26/2019,Barton,2
01/26/2019,Webster,24
01/26/2019,Lincoln,115
01/26/2019,Newton,25
01/26/2019,Montgomery,25
01/26/2019,Pulaski,20
01/26/2019,Holt,1
01/26/2019,Douglas,9
01/26/2019,Oregon,0
01/26/2019,Benton,16
01/26/2019,Wright,16
01/26/2019,Barry,19
01/26/2019,Cass,80
01/26/2019,Phelps,33
01/26/2019,Mississippi,12
01/26/2019,Henry,12
01/26/2019,Callaway,51
01/26/2019,Putnam,0
01/26/2019,Nodaway,5
01/26/2019,Dunklin,27
01/26/2019,Howell,14
01/26/2019,Andrew,10
01/26/2019,New Madrid,10
01/26/2019,Reynolds,2
01/26/2019,Laclede,25
01/26/2019,Iron,10
01/26/2019,Pike,23
01/26/2019,Caldwell,11
01/26/2019,Washington,45
01/26/2019,Butler,26
01/26/2019,Adair,13
01/26/2019,Pemiscot,3
01/26/2019,Scotland,2
01/26/2019,Cape Girardeau,49
01/19/2019,Shannon,6
01/19/2019,Webster,17
01/19/2019,Andrew,9
01/19/2019,Jackson,512
01/19/2019,Livingston,8
01/19/2019,DeKalb,6
01/19/2019,Scott,24
01/19/2019,Clinton,19
01/19/2019,Dade,6
01/19/2019,Wayne,10
01/19/2019,Iron,9
01/19/2019,Franklin,150
01/19/2019,Ralls,12
01/19/2019,Gasconade,20
01/19/2019,Pike,23
01/19/2019,Bollinger,8
01/19/2019,Johnson,43
01/19/2019,Mississippi,6
01/19/2019,Clark,4
01/19/2019,Shelby,6
01/19/2019,Putnam,1
01/19/2019,Marion,21
01/19/2019,Pemiscot,7
01/19/2019,Greene,135
01/19/2019,Ripley,11
01/19/2019,St. Louis City,236
01/19/2019,Worth,1
01/19/2019,Audrain,14
01/19/2019,Pettis,38
01/19/2019,Gentry,4
01/19/2019,Howell,30
01/19/2019,Jefferson,304
01/19/2019,St. Louis,636
01/19/2019,Vernon,5
01/19/2019,Taney,354
01/19/2019,Henry,24
01/19/2019,Clay,131
01/19/2019,Phelps,38
01/19/2019,Lincoln,112
01/19/2019,Carter,4
01/19/2019,Ozark,9
01/19/2019,Dunklin,27
01/19/2019,Callaway,44
01/19/2019,Barton,4
01/19/2019,Dallas,8
01/19/2019,Bates,20
01/19/2019,St. Clair,6
01/19/2019,Cooper,28
01/19/2019,Randolph,26
01/19/2019,Holt,3
01/19/2019,Moniteau,27
01/19/2019,Lewis,3
01/19/2019,Newton,16
01/19/2019,Grundy,7
01/19/2019,Scotland,4
01/19/2019,Linn,14
01/19/2019,Saline,18
01/19/2019,Carroll,19
01/19/2019,Perry,8
01/19/2019,Laclede,28
01/19/2019,Boone,90
01/19/2019,Benton,10
01/19/2019,Sullivan,7
01/19/2019,Reynolds,6
01/19/2019,Cole,68
01/19/2019,Barry,12
01/19/2019,Warren,47
01/19/2019,Knox,1
01/19/2019,Christian,45
01/19/2019,Macon,15
01/19/2019,Texas,27
01/19/2019,Crawford,37
01/19/2019,Hickory,4
01/19/2019,Schuyler,1
01/19/2019,Miller,39
01/19/2019,St. Charles,273
01/19/2019,Morgan,8
01/19/2019,Douglas,13
01/19/2019,Washington,43
01/19/2019,Chariton,4
01/19/2019,Wright,20
01/19/2019,Montgomery,19
01/19/2019,Camden,55
01/19/2019,Nodaway,7
01/19/2019,Cass,81
01/19/2019,Buchanan,49
01/19/2019,St. Francois,66
01/19/2019,Cape Girardeau,38
01/19/2019,Certified Mail,0
01/19/2019,Lawrence,24
01/19/2019,Oregon,3
01/19/2019,Dent,5
01/19/2019,Maries,13
01/19/2019,Jasper,41
01/19/2019,Harrison,4
01/19/2019,Cedar,10
01/19/2019,McDonald,9
01/19/2019,Stone,106
01/19/2019,Madison,7
01/19/2019,Ray,27
01/19/2019,New Madrid,9
01/19/2019,Osage,20
01/19/2019,Daviess,7
01/19/2019,Platte,40
01/19/2019,Adair,9
01/19/2019,Polk,10
01/19/2019,Pulaski,25
01/19/2019,Butler,33
01/19/2019,Lafayette,41
01/19/2019,Caldwell,7
01/19/2019,Howard,15
01/19/2019,Monroe,8
01/19/2019,Mercer,5
01/19/2019,Stoddard,34
01/19/2019,Atchison,0
01/19/2019,Ste. Genevieve,26
01/05/2019,Warren,38
01/05/2019,Pemiscot,12
01/05/2019,Ralls,14
01/05/2019,Dent,9
01/05/2019,Jasper,94
01/05/2019,Grundy,7
01/05/2019,Lewis,4
01/05/2019,Lincoln,71
01/05/2019,Osage,13
01/05/2019,Taney,845
01/05/2019,Benton,29
01/05/2019,Atchison,3
01/05/2019,Knox,1
01/05/2019,Chariton,3
01/05/2019,Sullivan,1
01/05/2019,Lafayette,30
01/05/2019,Monroe,6
01/05/2019,Gasconade,14
01/05/2019,Stoddard,40
01/05/2019,St. Charles,252
01/05/2019,Stone,260
01/05/2019,Miller,41
01/05/2019,Putnam,1
01/05/2019,Newton,38
01/05/2019,St. Francois,72
01/05/2019,Worth,2
01/05/2019,Crawford,34
01/05/2019,Shelby,10
01/05/2019,McDonald,22
01/05/2019,Dade,4
01/05/2019,Audrain,22
01/05/2019,Ozark,8
01/05/2019,Wright,26
01/05/2019,Greene,192
01/05/2019,Lawrence,59
01/05/2019,Iron,14
01/05/2019,Jefferson,224
01/05/2019,Jackson,535
01/05/2019,Cole,41
01/05/2019,Douglas,16
01/05/2019,Shannon,17
01/05/2019,Holt,4
01/05/2019,Carter,9
01/05/2019,Dallas,13
01/05/2019,Linn,14
01/05/2019,Butler,133
01/05/2019,Clark,3
01/05/2019,Gentry,5
01/05/2019,Madison,14
01/05/2019,Andrew,13
01/05/2019,Maries,3
01/05/2019,Mercer,2
01/05/2019,Howell,16
01/05/2019,Macon,13
01/05/2019,Carroll,10
01/05/2019,DeKalb,7
01/05/2019,Johnson,49
01/05/2019,Barton,11
01/05/2019,Saline,15
01/05/2019,Adair,14
01/05/2019,Barry,35
01/05/2019,Franklin,118
01/05/2019,Callaway,20
01/05/2019,Polk,30
01/05/2019,Marion,20
01/05/2019,Livingston,9
01/05/2019,Clay,158
01/05/2019,Wayne,18
01/05/2019,Scott,24
01/05/2019,Schuyler,2
01/05/2019,Mississippi,18
01/05/2019,Nodaway,17
01/05/2019,Harrison,8
01/05/2019,Platte,47
01/05/2019,Certified Mail,0
01/05/2019,Ripley,28
01/05/2019,Reynolds,10
01/05/2019,Pulaski,55
01/05/2019,Cape Girardeau,45
01/05/2019,Buchanan,71
01/05/2019,New Madrid,15
01/05/2019,Moniteau,19
01/05/2019,Vernon,15
01/05/2019,St. Louis City,317
01/05/2019,Cedar,8
01/05/2019,Pettis,52
01/05/2019,Bollinger,18
01/05/2019,Phelps,18
01/05/2019,Camden,61
01/05/2019,Caldwell,7
01/05/2019,Clinton,17
01/05/2019,St. Clair,8
01/05/2019,Pike,13
01/05/2019,Daviess,7
01/05/2019,Perry,9
01/05/2019,Christian,108
01/05/2019,Washington,44
01/05/2019,Hickory,5
01/05/2019,Ste. Genevieve,25
01/05/2019,Cass,99
01/05/2019,Bates,20
01/05/2019,Dunklin,44
01/05/2019,Montgomery,14
01/05/2019,Scotland,4
01/05/2019,Webster,27
01/05/2019,Morgan,16
01/05/2019,Laclede,114
01/05/2019,Howard,15
01/05/2019,St. Louis,713
01/05/2019,Texas,13
01/05/2019,Boone,99
01/05/2019,Ray,27
01/05/2019,Cooper,14
01/05/2019,Randolph,23
01/05/2019,Oregon,6
01/05/2019,Henry,25
12/29/2018,Harrison,4
12/29/2018,Miller,31
12/29/2018,St. Louis City,330
12/29/2018,Webster,36
12/29/2018,Barton,11
12/29/2018,Nodaway,13
12/29/2018,McDonald,32
12/29/2018,DeKalb,7
12/29/2018,Pulaski,100
12/29/2018,Clinton,17
12/29/2018,St. Francois,71
12/29/2018,Atchison,3
12/29/2018,Mississippi,14
12/29/2018,Dunklin,37
12/29/2018,Platte,53
12/29/2018,Johnson,42
12/29/2018,Shelby,10
12/29/2018,Shannon,5
12/29/2018,Moniteau,11
12/29/2018,Putnam,2
12/29/2018,Clay,194
12/29/2018,Scotland,7
12/29/2018,Wayne,25
12/29/2018,Taney,193
12/29/2018,Stone,58
12/29/2018,Stoddard,45
12/29/2018,Christian,71
12/29/2018,Lafayette,52
12/29/2018,Worth,1
12/29/2018,Howard,9
12/29/2018,Knox,4
12/29/2018,Gasconade,7
12/29/2018,Buchanan,71
12/29/2018,Ozark,7
12/29/2018,Greene,120
12/29/2018,Hickory,6
12/29/2018,Howell,37
12/29/2018,Bollinger,9
12/29/2018,Texas,22
12/29/2018,Sullivan,1
12/29/2018,Wright,29
12/29/2018,Cass,101
12/29/2018,St. Louis,738
12/29/2018,Dallas,17
12/29/2018,Douglas,18
12/29/2018,Montgomery,9
12/29/2018,Perry,18
12/29/2018,Oregon,7
12/29/2018,Cooper,18
12/29/2018,Jackson,536
12/29/2018,Laclede,131
12/29/2018,Crawford,38
12/29/2018,Camden,36
12/29/2018,Franklin,96
12/29/2018,Warren,40
12/29/2018,Macon,17
12/29/2018,Cedar,13
12/29/2018,Holt,7
12/29/2018,Morgan,12
12/29/2018,Ray,40
12/29/2018,Osage,18
12/29/2018,Polk,24
12/29/2018,Pettis,41
12/29/2018,Carroll,4
12/29/2018,Bates,15
12/29/2018,Phelps,32
12/29/2018,Henry,30
12/29/2018,Callaway,48
12/29/2018,Randolph,21
12/29/2018,St. Clair,8
12/29/2018,Vernon,21
12/29/2018,Newton,44
12/29/2018,Livingston,10
12/29/2018,Schuyler,7
12/29/2018,Lawrence,43
12/29/2018,Dent,10
12/29/2018,Ripley,33
12/29/2018,Jefferson,227
12/29/2018,Ralls,7
12/29/2018,Mercer,3
12/29/2018,Gentry,4
12/29/2018,Lincoln,80
12/29/2018,Iron,12
12/29/2018,Pemiscot,21
12/29/2018,Jasper,42
12/29/2018,Maries,7
12/29/2018,Ste. Genevieve,26
12/29/2018,Cole,49
12/29/2018,Linn,10
12/29/2018,Audrain,12
12/29/2018,Grundy,5
12/29/2018,Barry,21
12/29/2018,Andrew,29
12/29/2018,Marion,16
12/29/2018,Chariton,9
12/29/2018,New Madrid,27
12/29/2018,St. Charles,293
12/29/2018,Saline,20
12/29/2018,Pike,19
12/29/2018,Monroe,14
12/29/2018,Dade,3
12/29/2018,Scott,40
