Planning Area,Total Units,Total MPDU,Total Workforce,Rental Indicator,Offering Date
PA34 - Fairland,102,16,,For-Sale & Rental,
N/A,325,41,,For-Sale & Rental,05/01/2006
PA25 - Travilah,131,17,,For-Sale & Rental,09/01/2016
PA36 - Silver Spring,135,19,,For-Sale & Rental,
PA13 - Clarksburg,1680,266,,For-Sale & Rental,01/01/2012
PA36 - Silver Spring,64,8,,For-Sale & Rental,03/01/2014
PA36 - Silver Spring,52,42,,For-Sale & Rental,04/01/2013
PA36 - Silver Spring,293,44,,For-Sale & Rental,02/15/2011
N/A,68,9,,For-Sale & Rental,
N/A,71,15,,For-Sale & Rental,
PA29 - Potomac,0,60,,For-Sale & Rental,
PA13 - Clarksburg,1680,266,,For-Sale & Rental,03/01/2013
PA13 - Clarksburg,1206,151,,For-Sale & Rental,09/01/2018
PA25 - Travilah,73,14,,For-Sale & Rental,
PA24 - Darnestown,45,6,,For-Sale & Rental,09/01/2012
N/A,343,43,,For-Sale & Rental,
N/A,2703,405,,For-Sale & Rental,
PA13 - Clarksburg,844,118,,For-Sale & Rental,
PA36 - Silver Spring,379,48,,For-Sale & Rental,11/01/2011
PA22 - Upper Rock Creek,118,15,,For-Sale & Rental,09/01/2013
PA36 - Silver Spring,457,58,,For-Sale & Rental,
PA13 - Clarksburg,284,43,,For-Sale & Rental,
PA19 - Germantown,195,64,,For-Sale & Rental,09/01/2009
N/A,75,9,,For-Sale & Rental,
PA11 - Damascus,234,35,,For-Sale & Rental,
N/A,122,16,,For-Sale & Rental,05/01/2007
N/A,0,54,,For-Sale & Rental,
N/A,53,7,,For-Sale & Rental,
N/A,175,27,,For-Sale & Rental,
PA28 - Cloverly,40,6,,For-Sale & Rental,08/01/2011
N/A,161,21,,For-Sale & Rental,
N/A,,8,,For-Sale & Rental,
N/A,,8,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,112,17,,For-Sale & Rental,09/01/2016
PA31 - Kensington/Wheaton,195,25,,For-Sale & Rental,03/01/2013
PA30 - North Bethesda,112,17,,For-Sale & Rental,
PA36 - Silver Spring,0,10,,For-Sale & Rental,
PA13 - Clarksburg,1206,151,,For-Sale & Rental,06/01/2019
N/A,189,24,,For-Sale & Rental,
N/A,254,38,,For-Sale & Rental,
PA27 - Aspen Hill,38,6,,For-Sale & Rental,
N/A,0,34,,For-Sale & Rental,
PA23 - Olney,69,10,,For-Sale & Rental,07/01/2018
PA13 - Clarksburg,973,132,,For-Sale & Rental,10/01/2004
PA19 - Germantown,45,6,,For-Sale & Rental,08/01/2017
PA34 - Fairland,63,10,,For-Sale & Rental,
PA36 - Silver Spring,243,31,,For-Sale & Rental,10/01/2014
PA22 - Upper Rock Creek,118,15,,For-Sale & Rental,
N/A,325,41,,For-Sale & Rental,
PA19 - Germantown,20,2,,For-Sale & Rental,
PA33 - White Oak,106,16,,For-Sale & Rental,12/01/2005
PA31 - Kensington/Wheaton,173,53,,For-Sale & Rental,
PA13 - Clarksburg,1206,151,,For-Sale & Rental,05/01/2016
PA19 - Germantown,200,30,,For-Sale & Rental,
N/A,0,49,,For-Sale & Rental,
PA30 - North Bethesda,168,21,,For-Sale & Rental,02/01/2017
PA35 - Bethesda/Chevy Chase,140,21,,For-Sale & Rental,09/01/2013
N/A,227,28,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,200,30,,For-Sale & Rental,01/01/2014
PA26 - Rockville,80,24,,For-Sale & Rental,
PA22 - Upper Rock Creek,68,13,,For-Sale & Rental,09/01/2013
PA36 - Silver Spring,120,10,,For-Sale & Rental,
PA36 - Silver Spring,280,56,,For-Sale & Rental,
PA23 - Olney,54,8,,For-Sale & Rental,
N/A,0,73,,For-Sale & Rental,
PA13 - Clarksburg,256,32,,For-Sale & Rental,11/30/2012
PA20 - Gaithersburg & Vicinity,148,16,9,For-Sale & Rental,
PA30 - North Bethesda,312,39,,For-Sale & Rental,
PA19 - Germantown,470,59,,For-Sale & Rental,01/01/2016
PA11 - Damascus,48,6,,For-Sale & Rental,12/31/2009
PA27 - Aspen Hill,30,4,,For-Sale & Rental,07/01/2012
PA31 - Kensington/Wheaton,171,22,,For-Sale & Rental,11/01/2015
PA29 - Potomac,450,61,,For-Sale & Rental,
PA31 - Kensington/Wheaton,107,14,,For-Sale & Rental,
PA36 - Silver Spring,457,58,,For-Sale & Rental,01/30/2006
N/A,116,14,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,359,45,,For-Sale & Rental,01/01/2014
PA34 - Fairland,59,8,,For-Sale & Rental,12/01/2013
PA35 - Bethesda/Chevy Chase,200,30,,For-Sale & Rental,03/31/2011
N/A,100,20,,For-Sale & Rental,
PA19 - Germantown,45,6,,For-Sale & Rental,
PA36 - Silver Spring,247,31,,For-Sale & Rental,12/01/2008
PA13 - Clarksburg,973,132,,For-Sale & Rental,
N/A,0,7,,For-Sale & Rental,
PA36 - Silver Spring,325,41,,For-Sale & Rental,
PA19 - Germantown,300,55,,For-Sale & Rental,
PA20 - Gaithersburg & Vicinity,32,4,,For-Sale & Rental,
PA31 - Kensington/Wheaton,232,32,,For-Sale & Rental,08/15/2012
PA19 - Germantown,0,10,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,453,68,,For-Sale & Rental,11/01/2012
PA13 - Clarksburg,1680,266,,For-Sale & Rental,12/01/2012
PA36 - Silver Spring,241,31,,For-Sale & Rental,09/30/2010
PA13 - Clarksburg,439,70,,For-Sale & Rental,02/01/2014
PA31 - Kensington/Wheaton,773,116,,For-Sale & Rental,04/30/2015
N/A,247,31,,For-Sale & Rental,
N/A,,15,,For-Sale & Rental,
PA30 - North Bethesda,124,40,,For-Sale & Rental,
N/A,196,69,,For-Sale & Rental,12/01/2005
PA13 - Clarksburg,1206,151,,For-Sale & Rental,
PA19 - Germantown,470,59,,For-Sale & Rental,01/01/2014
PA13 - Clarksburg,256,32,,For-Sale & Rental,04/30/2015
PA23 - Olney,69,10,,For-Sale & Rental,05/01/2016
N/A,0,28,,For-Sale & Rental,
N/A,0,28,,For-Sale & Rental,
PA30 - North Bethesda,112,17,,For-Sale & Rental,10/31/2011
PA35 - Bethesda/Chevy Chase,101,13,,For-Sale & Rental,11/01/2014
N/A,35,5,,For-Sale & Rental,
PA13 - Clarksburg,256,32,,For-Sale & Rental,08/31/2011
N/A,29,6,,For-Sale & Rental,
PA34 - Fairland,59,8,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,31,,,For-Sale & Rental,
PA36 - Silver Spring,57,0,,For-Sale & Rental,
N/A,138,23,,For-Sale & Rental,
N/A,0,89,,For-Sale & Rental,
N/A,159,20,,For-Sale & Rental,
PA36 - Silver Spring,292,35,17,For-Sale & Rental,08/01/2015
PA36 - Silver Spring,102,13,,For-Sale & Rental,
PA29 - Potomac,450,61,,For-Sale & Rental,10/01/2013
PA13 - Clarksburg,341,41,,For-Sale & Rental,06/01/2018
PA13 - Clarksburg,844,118,,For-Sale & Rental,03/31/2007
PA27 - Aspen Hill,47,6,,For-Sale & Rental,06/01/2012
N/A,60,12,,For-Sale & Rental,
PA22 - Upper Rock Creek,113,20,,For-Sale & Rental,
N/A,244,41,,For-Sale & Rental,
N/A,0,157,,For-Sale & Rental,
PA22 - Upper Rock Creek,113,20,,For-Sale & Rental,08/30/2007
PA35 - Bethesda/Chevy Chase,158,27,,For-Sale & Rental,
PA30 - North Bethesda,341,43,,For-Sale & Rental,06/01/2012
PA29 - Potomac,450,61,,For-Sale & Rental,12/01/2013
N/A,654,82,,For-Sale & Rental,
N/A,654,82,,For-Sale & Rental,
PA36 - Silver Spring,,,,For-Sale & Rental,
N/A,83,83,,For-Sale & Rental,
N/A,253,33,,For-Sale & Rental,
PA13 - Clarksburg,844,118,,For-Sale & Rental,03/31/2010
PA36 - Silver Spring,149,15,32,For-Sale & Rental,
N/A,113,15,,For-Sale & Rental,
PA13 - Clarksburg,0,20,,For-Sale & Rental,
PA35 - Bethesda/Chevy Chase,162,14,24,For-Sale & Rental,04/01/2013
PA19 - Germantown,0,18,,For-Sale & Rental,
N/A,56,7,,For-Sale & Rental,
PA19 - Germantown,576,75,,For-Sale & Rental,
PA34 - Fairland,247,31,,For-Sale & Rental,08/01/2017
PA23 - Olney,42,6,,For-Sale & Rental,03/01/2014
N/A,196,69,,For-Sale & Rental,10/01/2005
PA34 - Fairland,247,31,,For-Sale & Rental,09/01/2014
PA36 - Silver Spring,247,31,,For-Sale & Rental,01/01/2009
PA34 - Fairland,63,10,,For-Sale & Rental,09/01/2012
PA34 - Fairland,36,5,,For-Sale & Rental,07/01/2013
PA13 - Clarksburg,392,49,,For-Sale & Rental,01/01/2017
PA30 - North Bethesda,112,17,,For-Sale & Rental,02/28/2012
PA36 - Silver Spring,210,27,,For-Sale & Rental,06/30/2011
PA23 - Olney,37,6,,For-Sale & Rental,07/01/2013
PA25 - Travilah,520,65,,For-Sale & Rental,
PA34 - Fairland,247,31,,For-Sale & Rental,06/01/2015
PA36 - Silver Spring,210,27,,For-Sale & Rental,03/01/2004
PA36 - Silver Spring,379,48,,For-Sale & Rental,
