LocationAbbr,LocationDesc,Year,Topic,Indicator,SubMeasure,Amount,Data_Value_Unit,Data_Value_Footnote_Symbol,Data_Value_Footnote,GeoLocation,TopicTypeId,TopicId,MeasureId,Source,SubMeasureID,DisplayOrder
AL,Alabama,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,103382422.07,$,,,"(32.840571122, -86.631860762)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,82359389.24,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,35309044.26,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VT,Vermont,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,23993499.53,$,,,"(43.625381239, -72.517640791)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MT,Montana,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,24129653.87,$,,,"(47.066528972, -109.424420645)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
RI,Rhode Island,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,41489404.77,$,,,"(41.708280193, -71.522470314)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NE,Nebraska,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,38060542.49,$,,,"(41.641040988001, -99.365720623)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,49376132.66,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MA,Massachusetts,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,229690333.47,$,,,"(42.27687047, -72.082690675)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WI,Wisconsin,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,117826438.87,$,,,"(44.393191174, -89.816370742)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NM,New Mexico,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,33902106.05,$,,,"(34.520880952, -106.240580985)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AK,Alaska,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,20065839.94,$,,,"(64.845079957001, -147.722059036)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CT,Connecticut,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,118761009.33,$,,,"(41.56266102, -72.649840952)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NJ,New Jersey,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,246693668.83,$,,,"(40.130570048, -74.273691288)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SC,South Carolina,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,75250164.97,$,,,"(33.998821303, -81.045371207)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,278390142.77,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OH,Ohio,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,286628875.26,$,,,"(40.060210141, -82.404260056)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
GA,Georgia,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,157009420.96,$,,,"(32.839681093, -83.627580346)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IN,Indiana,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,130484368.67,$,,,"(39.766910452, -86.149960194)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
UT,Utah,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,26049954.12,$,,,"(39.360700171, -111.587130635)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AZ,Arizona,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,94283056.55,$,,,"(34.86597028, -111.763811277)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ND,North Dakota,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,21280388.02,$,,,"(47.475319779, -100.118421049)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,66280746.05,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,56706069.15,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,143879458.34,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MS,Mississippi,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,105625862.64,$,,,"(32.745510099, -89.538030825)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WA,Washington,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,116607083.75,$,,,"(47.522278629, -120.47001079)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NH,New Hampshire,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,42599194.61,$,,,"(43.655950113, -71.50036092)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IL,Illinois,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,264814646.96,$,,,"(40.485010283, -88.997710178)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
DE,Delaware,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,30000000.00,$,,,"(39.008830667, -75.577741168)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,20864744.11,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AR,Arkansas,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,52970637.86,$,,,"(34.748650124, -92.274490743)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OR,Oregon,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,65932799.68,$,,,"(44.567449424, -120.155031326)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ME,Maine,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,46217090.83,$,,,"(45.254228894001, -68.985031336)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KY,Kentucky,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,112659718.88,$,,,"(37.645970271, -84.774971048)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NC,North Carolina,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,149194157.49,$,,,"(35.466220975, -79.159250463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ID,Idaho,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,20642818.51,$,,,"(43.682630005, -114.363730042)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VA,Virginia,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,130443794.05,$,,,"(37.542680674, -78.457890463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TN,Tennessee,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,156141808.04,$,,,"(35.68094058, -85.774490914)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NV,Nevada,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,39016995.85,$,,,"(39.49324039, -117.071840564)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,129408249.25,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
DC,District of Columbia,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,38836807.43,$,,,"(38.890371385, -77.031961127)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
PA,Pennsylvania,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,345628690.33,$,,,"(40.793730152, -77.860700294)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NY,New York,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,706597670.12,$,,,"(42.827001032, -75.543970427)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MD,Maryland,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,128520164.02,$,,,"(39.290580964, -76.609260111)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,814272043.05,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WY,Wyoming,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,15886398.45,$,,,"(43.235541343, -108.109830353)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KS,Kansas,2020,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,53329191.64,$,,,"(38.3477403, -98.200781227)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NH,New Hampshire,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,42154298.48,$,,,"(43.655950113, -71.50036092)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TN,Tennessee,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,172954641.94,$,,,"(35.68094058, -85.774490914)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AZ,Arizona,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,93960354.19,$,,,"(34.86597028, -111.763811277)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,51704454.06,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
PA,Pennsylvania,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,349843211.19,$,,,"(40.793730152, -77.860700294)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NE,Nebraska,2019,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,39834821.95,$,,,"(41.641040988001, -99.365720623)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WI,Wisconsin,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,127079163.57,$,,,"(44.393191174, -89.816370742)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KY,Kentucky,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,106905178.60,$,,,"(37.645970271, -84.774971048)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CT,Connecticut,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,121421994.56,$,,,"(41.56266102, -72.649840952)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,2003,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,60062791.30,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,713588532.35,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,249085913.43,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KS,Kansas,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,60475586.63,$,,,"(38.3477403, -98.200781227)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SC,South Carolina,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,75950445.65,$,,,"(33.998821303, -81.045371207)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TX,Texas,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,508807529.00,$,,,"(31.827240407, -99.426770206)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IN,Indiana,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,139108931.97,$,,,"(39.766910452, -86.149960194)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NE,Nebraska,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,41017448.29,$,,,"(41.641040988001, -99.365720623)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,53842279.65,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,48749839.46,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TN,Tennessee,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,144153887.52,$,,,"(35.68094058, -85.774490914)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2013,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,135166246.44,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VA,Virginia,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,113824205.43,$,,,"(37.542680674, -78.457890463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,277437301.16,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2002,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,43035045.51,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
UT,Utah,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,36931855.48,$,,,"(39.360700171, -111.587130635)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AK,Alaska,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,15772415.46,$,,,"(64.845079957001, -147.722059036)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OR,Oregon,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,53018023.49,$,,,"(44.567449424, -120.155031326)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MT,Montana,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,34614275.29,$,,,"(47.066528972, -109.424420645)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NJ,New Jersey,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,204332402.68,$,,,"(40.130570048, -74.273691288)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,2003,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,751386589.26,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,299637572.62,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KS,Kansas,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,62442634.28,$,,,"(38.3477403, -98.200781227)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MA,Massachusetts,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,288490173.91,$,,,"(42.27687047, -72.082690675)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VT,Vermont,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,36215906.59,$,,,"(43.625381239, -72.517640791)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
