Year and Quarter,Time Period,Indicator,Rate Type,Rate,Unit,Significant
2017 Q4,12 months ending with quarter,All Causes,Crude,863.8,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Alzheimer disease,Crude,37.3,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Cancer,Crude,183.9,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,12.8,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Chronic lower respiratory diseases,Crude,49.2,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Diabetes,Crude,25.7,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Drug overdose,Crude,21.6,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,"Falls, ages 65 and over",Crude,61.3,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Firearm-related injury,Crude,12.2,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Heart disease,Crude,198.8,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,HIV disease,Crude,1.7,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Homicide,Crude,6.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Hypertension,Crude,10.8,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Influenza and pneumonia,Crude,17.1,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Kidney disease,Crude,15.5,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Parkinson disease,Crude,9.8,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,6.2,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Septicemia,Crude,12.6,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Stroke,Crude,44.9,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Suicide,Crude,14.5,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Unintentional injuries,Crude,52.2,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,All Causes,Age-adjusted,731.9,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Alzheimer disease,Age-adjusted,31.0,"Deaths per 100,000",
2017 Q4,12 months ending with quarter,Cancer,Age-adjusted,152.5,"Deaths per 100,000",
