AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
FB-10007-68,2,"University of California, Berkeley",Four-Year College,Berkeley,CA,94704-5940,USA,13,37.87029,-122.26813,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,English,0,NULL,1,John Elliot [Project Director],1,English
FB-10009-68,2,Pitzer College,Four-Year College,Claremont,CA,91711-6101,USA,27,34.10373,-117.70701,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,History of Religion,0,NULL,1,Steven Matthysse [Project Director],1,History of Religion
FB-10015-68,2,"University of California, Riverside",University,Riverside,CA,92521-0001,USA,41,33.97561,-117.33113,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,"History, General",0,NULL,1,John Staude [Project Director],1,"History, General"
FB-10019-68,2,Northeastern University,Four-Year College,Boston,MA,02115-5005,USA,7,42.3395,-71.09048,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,"History, General",0,NULL,1,Thomas Havens [Project Director],1,"History, General"
FB-10023-68,2,University of Pennsylvania,University,Philadelphia,PA,19104-6205,USA,3,39.95298,-75.19276,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,Psychology,0,NULL,1,Gresham Riley [Project Director],1,Psychology
FB-10045-68,2,Mount Holyoke College,Four-Year College,South Hadley,MA,01075-1461,USA,1,42.25674,-72.57653,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,"Political Science, General",0,NULL,1,Stephen Ellenburg [Project Director],1,"Political Science, General"
FB-10047-68,2,Boston University,University,Boston,MA,02215-1300,USA,7,42.35085,-71.11284,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,English,0,NULL,1,Arthur Freeman [Project Director],1,English
FB-10051-68,2,Smith College,Four-Year College,Northampton,MA,01063-6304,USA,2,42.31917,-72.63678,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,U.S. History,0,NULL,1,Raymond Wilson [Project Director],1,U.S. History
FB-10063-68,2,"University of Nebraska, Lincoln",University,Lincoln,NE,68588-0007,USA,1,40.81649,-96.7069,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,U.S. History,0,NULL,1,Benjamin Rader [Project Director],1,U.S. History
FB-10067-68,2,Upsala College,Four-Year College,East Orange,NJ,07019,USA,10,40.75993,-74.20793,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,"History, General",0,NULL,1,James Stam [Project Director],1,"History, General"
FB-10069-68,2,"Rutgers University, New Brunswick",University,New Brunswick,NJ,08901-8559,USA,6,40.47722,-74.426,1967-11-01,1967,Title not available,Fellowships for Younger Scholars,Fellowships and Seminars,8387.00,0.00,8387.00,0.00,8387.00,0.00,1969-01-01,1969-12-31,None,None,Comparative Languages,0,NULL,1,Albert Wolohojian [Project Director],1,Comparative Languages
XN-10001-69,1,Langston University,Four-Year College,Langston,OK,73050,USA,3,35.94605,-97.25253,1969-02-01,1969,Faculty Development Project,Negro College Faculty Development,Fellowships and Seminars,1500.00,0.00,1500.00,0.00,1500.00,0.00,1969-06-01,1970-05-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Henry Ponder [Project Director],1,"Interdisciplinary Studies, General"
XN-10003-69,1,Tuskegee University,University,Tuskegee,AL,36088-1923,USA,3,32.42834,-85.70931,1969-02-01,1969,Faculty Development Program,Negro College Faculty Development,Fellowships and Seminars,7000.00,0.00,7000.00,0.00,7000.00,0.00,1969-06-01,1969-08-31,None,None,"Interdisciplinary Studies, General",0,NULL,2,Aubrey LaBrie [Project Director]; James Preston [Co Project Director],1,"Interdisciplinary Studies, General"
XN-10005-69,1,Albany State University,Four-Year College,Albany,GA,31705-2796,USA,2,31.57181,-84.14433,1969-02-01,1969,Faculty Development Program,Negro College Faculty Development,Fellowships and Seminars,8460.00,0.00,8460.00,0.00,8460.00,0.00,1969-03-01,1970-05-15,None,None,"Interdisciplinary Studies, General",0,NULL,1,James Marquis [Project Director],1,"Interdisciplinary Studies, General"
XN-10007-69,1,Clark Atlanta University,Four-Year College,Atlanta,GA,30314-4358,USA,5,33.74827,-84.41288,1969-02-01,1969,Faculty Development Grant,Negro College Faculty Development,Fellowships and Seminars,8670.00,0.00,8670.00,0.00,8670.00,0.00,1969-03-15,1970-03-14,None,None,"Interdisciplinary Studies, General",0,NULL,1,John Winters [Project Director],1,"Interdisciplinary Studies, General"
XN-10021-69,1,Claflin University,Four-Year College,Orangeburg,SC,29115-6815,USA,6,33.49531,-80.85542,1969-02-01,1969,Faculty Development Project,Negro College Faculty Development,Fellowships and Seminars,7520.00,0.00,7520.00,0.00,7520.00,0.00,1969-04-01,1969-08-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Marian Miller [Project Director],1,"Interdisciplinary Studies, General"
XN-10029-69,1,City College of New York,Two-Year College,New York,NY,10016-4309,USA,12,40.74879,-73.98418,1969-02-01,1969,Faculty Development Project,Negro College Faculty Development,Fellowships and Seminars,10000.00,0.00,10000.00,0.00,10000.00,0.00,1969-01-01,1969-12-31,None,None,"Interdisciplinary Studies, General",0,NULL,1,Bernard Harleston [Project Director],1,"Interdisciplinary Studies, General"
