Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WEST NORTH CENTRAL,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,16,,134,,30,,41,,,WEST NORTH CENTRAL,20200220,
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,7,,36,,13,,18,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,1,,3,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,,-,3,,,-,1,,,-,6,,,-,1,,30,,546,,53,,280,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,,-,1,,,-,,-,,-,5,,,-,,-,,-,234,,,-,140,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,93,,,-,27,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,1,,,-,,-,,-,2,,,-,1,,16,,46,,23,,26,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,108,,,-,45,,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,12,,85,,24,,33,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,2,,,-,,-,,-,2,,,-,,-,2,,58,,6,,9,,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,7,,116,,20,,16,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,4,,53,,13,,8,,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,,-,7,,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,3,,51,,7,,1,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,2,,,-,,-,,-,6,,,-,,-,16,,338,,19,,42,,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,8,,42,,9,,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,,-,12,,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,7,,74,,9,,6,,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,1,,,-,,-,,-,6,,,-,,-,1,,207,,1,,24,,TEXAS,,20200247,POINT (-99.317341 31.447238)
