Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,1,,-,0,,,-,,-,25,,911,,25,,135,,55,,770,,55,,197,,,TOTAL,20200170,
US RESIDENTS,2020,2,,-,0,,,-,,-,31,,540,,82,,320,,75,,458,,154,,501,,,US RESIDENTS,20200201,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
WEST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,2,,202,,2,,2,,5,,182,,5,,4,,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,-,0,,,-,,-,,-,23,,,-,4,,,-,16,,,-,11,,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,20,,,-,,-,,-,2,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,0,,,-,,-,,-,43,,,-,,-,,-,8,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,,-,0,,,-,,-,,-,4,,,-,1,,3,,42,,3,,32,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,,-,0,,,-,,-,,-,83,,,-,19,,1,,77,,1,,31,,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,12,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,0,,,-,,-,,-,17,,,-,3,,,-,14,,,-,1,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
