Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,12,,-,41,,153,,319,,57,,773,,4985,,8379,,,US RESIDENTS,20201201,
NEW ENGLAND,2020,8,,-,1,,,-,,-,,-,26,,43,,134,,,NEW ENGLAND,20200802,
US RESIDENTS,2020,6,,-,40,,33,,169,,54,,773,,1748,,4275,,,US RESIDENTS,20200601,
NEW ENGLAND,2020,7,,-,1,,,-,,-,,-,26,,42,,119,,,NEW ENGLAND,20200702,
US TERRITORIES,2020,1,,-,1,,,-,1,,,-,14,,,-,3,,,US TERRITORIES,20200163,
US RESIDENTS,2020,1,,-,37,,,-,24,,43,,771,,43,,558,,,US RESIDENTS,20200101,
NEW YORK,2020,1,,-,2,,,-,,-,,-,27,,,-,3,,NEW YORK,,20200111,POINT (-75.59655 42.921241)
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,3,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,1,,-,1,,,-,1,,,-,3,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,1,,,-,,-,,-,15,,,-,2,,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
SOUTH ATLANTIC,2020,1,,-,8,,,-,7,,28,,195,,28,,121,,,SOUTH ATLANTIC,20200128,
NEW JERSEY,2020,1,,-,2,,,-,,-,,-,20,,,-,14,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
GEORGIA,2020,1,,-,3,,,-,2,,,-,62,,,-,33,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
TEXAS,2020,1,,-,11,,,-,1,,,-,55,,,-,23,,TEXAS,,20200147,POINT (-99.317341 31.447238)
DELAWARE,2020,1,,-,1,,,-,,-,,-,6,,,-,3,,DELAWARE,,20200129,POINT (-75.452394 38.994926)
ARIZONA,2020,1,,-,5,,,-,2,,,-,33,,,-,16,,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,,-,2,,,-,,-,,-,29,,,-,14,,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,5,,,-,1,,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
NEW ENGLAND,2020,1,,-,1,,,-,,-,,-,27,,,-,12,,,NEW ENGLAND,20200102,
PACIFIC,2020,1,,-,14,,,-,9,,6,,211,,6,,142,,,PACIFIC,20200157,
CALIFORNIA,2020,1,,-,14,,,-,7,,1,,186,,1,,121,,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
TENNESSEE,2020,1,,-,2,,,-,,-,,-,20,,,-,9,,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
PENNSYLVANIA,2020,1,,-,2,,,-,,-,3,,28,,3,,21,,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
ALABAMA,2020,1,,-,1,,,-,,-,,-,21,,,-,11,,ALABAMA,,20200139,POINT (-86.844516 32.756889)
OHIO,2020,1,,-,1,,,-,,-,,-,24,,,-,11,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,0,,,-,,-,,-,23,,,-,10,,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
EAST SOUTH CENTRAL,2020,1,,-,2,,,-,1,,,-,59,,,-,29,,,EAST SOUTH CENTRAL,20200138,
NEW YORK CITY,2020,1,,-,0,,,-,,-,4,,52,,4,,44,,,NEW YORK CITY,20200112,
IOWA,2020,1,,-,1,,,-,,-,1,,6,,1,,1,,IOWA,,20200121,POINT (-93.500061 42.074659)
VERMONT,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
CONNECTICUT,2020,1,,-,1,,,-,,-,,-,7,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PACIFIC,2020,14,,-,16,,90,,130,,25,,216,,1796,,2641,,,PACIFIC,20201457,
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,4,,,-,,-,,-,15,,,-,8,,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
