Reporting Area,MMWR Year,MMWR Week,"Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag","Tularemia, Cum 2018†","Tularemia, Cum 2018†, flag","Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2018†","Vancomycin-intermediate Staphylococcus aureus, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,,-,16,,,-,,-,,-,7,,,-,1,,,
NEW ENGLAND,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,
MIDDDLE ATLANTIC,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,
EAST NORTH CENTRAL,2019,1,,-,2,,,-,,-,,-,2,,,-,,-,,
WEST NORTH CENTRAL,2019,1,,-,7,,,-,,-,,-,1,,,-,,-,,
SOUTH ATLANTIC,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,
EAST SOUTH CENTRAL,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,
WEST SOUTH CENTRAL,2019,1,,-,13,,,-,,-,,-,4,,,-,,-,,
MOUNTAIN,2019,1,,-,2,,,-,,-,,-,1,,,-,1,,,
PACIFIC,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,,
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
TOTAL,2019,1,,-,16,,,-,,-,,-,7,,,-,1,,,
MINNESOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2019,1,,-,13,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEBRASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2019,1,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW HAMPSHIRE,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IDAHO,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
OHIO,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
WYOMING,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OREGON,2019,1,,-,2,,,-,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
IOWA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2019,1,,-,0,,,-,,-,,-,1,,,-,1,,"ARIZONA
(34.869712, -111.760902)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
COLORADO,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
INDIANA,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DISTRICT OF COLUMBIA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MASSACHUSETTS,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MONTANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
HAWAII,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VERMONT,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UTAH,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
VIRGINIA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
KENTUCKY,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2019,1,,-,8,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2019,1,,-,5,,,-,,-,,-,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW YORK,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,
DELAWARE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2019,2,,-,1,,,-,,-,,-,1,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2019,2,,-,0,,,-,,-,,-,1,,1,,1,,"ARIZONA
(34.869712, -111.760902)",
US RESIDENTS,2019,2,,-,16,,,-,,-,,-,7,,1,,2,,,
NEW JERSEY,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2019,2,,-,13,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MIDDDLE ATLANTIC,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,,
KANSAS,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
SOUTH DAKOTA,2019,2,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST VIRGINIA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
GEORGIA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OHIO,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
FLORIDA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WEST NORTH CENTRAL,2019,2,,-,7,,,-,,-,,-,1,,,-,,-,,
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TOTAL,2019,2,,-,16,,,-,,-,,-,7,,1,,2,,,
NEW ENGLAND,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,
CONNECTICUT,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DISTRICT OF COLUMBIA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WYOMING,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH ATLANTIC,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,
RHODE ISLAND,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
INDIANA,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"INDIANA
(39.76845, -86.156212)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW HAMPSHIRE,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2019,2,,-,8,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MAINE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEVADA,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
EAST SOUTH CENTRAL,2019,2,,-,1,,,-,,-,,-,1,,,-,1,,,
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,,
SOUTH CAROLINA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2019,2,,-,5,,,-,,-,,-,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEBRASKA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2019,2,,-,2,,,-,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
IDAHO,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MOUNTAIN,2019,2,,-,2,,,-,,-,,-,1,,1,,1,,,
WEST SOUTH CENTRAL,2019,2,,-,13,,,-,,-,,-,4,,,-,,-,,
EAST NORTH CENTRAL,2019,2,,-,2,,,-,,-,,-,2,,,-,,-,,
CALIFORNIA,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
PACIFIC,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,
WISCONSIN,2019,2,,-,1,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MONTANA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KENTUCKY,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
ALABAMA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MASSACHUSETTS,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TEXAS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW MEXICO,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2019,3,,-,2,,,-,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
COLORADO,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2019,3,,-,0,,,-,,-,,-,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KENTUCKY,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
WEST NORTH CENTRAL,2019,3,,-,7,,,-,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL
TOTAL,2019,3,,-,16,,,-,,-,,-,7,,1,,3,,,TOTAL
ALASKA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK CITY,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY
GEORGIA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
SOUTH ATLANTIC,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
CALIFORNIA,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IDAHO,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MIDDDLE ATLANTIC,2019,3,,-,1,,,-,,-,,-,2,,,-,1,,,MIDDDLE ATLANTIC
MASSACHUSETTS,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
INDIANA,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"INDIANA
(39.76845, -86.156212)",
WEST SOUTH CENTRAL,2019,3,,-,13,,,-,,-,,-,4,,,-,,-,,WEST SOUTH CENTRAL
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW JERSEY,2019,3,,-,1,,,-,,-,,-,1,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2019,3,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MAINE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
DELAWARE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WASHINGTON,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2019,3,,-,8,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DISTRICT OF COLUMBIA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
ILLINOIS,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW ENGLAND,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
RHODE ISLAND,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
MOUNTAIN,2019,3,,-,2,,,-,,-,,-,1,,1,,1,,,MOUNTAIN
PACIFIC,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,PACIFIC
HAWAII,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
