Reporting Area,MMWR Year,MMWR Week,"Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-resistant Staphylococcus aureus, Current week","Vancomycin-resistant Staphylococcus aureus, Current week, flag","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2020†","Vancomycin-resistant Staphylococcus aureus, Cum 2020†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2019†","Vancomycin-resistant Staphylococcus aureus, Cum 2019†, flag","Varicella morbidity, Current week","Varicella morbidity, Current week, flag","Varicella morbidity, Previous 52 weeks Max†","Varicella morbidity, Previous 52 weeks Max†, flag","Varicella morbidity, Cum 2020†","Varicella morbidity, Cum 2020†, flag","Varicella morbidity, Cum 2019†","Varicella morbidity, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,,-,5,,,-,1,,,-,1,,,-,,-,57,,227,,100,,262,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,3,,25,,4,,21,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,3,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,2,,6,,3,,4,,MAINE,,20200204,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,2,,N,,NC,,N,,N,,-,0,,,-,,-,,-,5,,,-,1,,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1,,4,,1,,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,17,,,-,24,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PENNSYLVANIA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,7,,20,,13,,20,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,16,,48,,28,,68,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,1,,18,,2,,18,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
OHIO,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,9,,24,,15,,15,,OHIO,,20200218,POINT (-82.70936 40.415534)
IOWA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,,-,11,,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,3,,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,19,,61,,35,,59,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,3,,,-,1,,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
MARYLAND,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,,-,7,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
