Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†, flag","Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Max†","Giardiasis, Previous 52 weeks Max†, flag","Giardiasis, Cum 2020†","Giardiasis, Cum 2020†, flag","Giardiasis, Cum 2019†","Giardiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,4,,-,4,,,-,,-,,-,8,,1,,1,,67,,361,,395,,733,,,US RESIDENTS,20200401,
NEW ENGLAND,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,2,,34,,37,,63,,,NEW ENGLAND,20200402,
CONNECTICUT,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,,-,19,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MAINE,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,8,,3,,5,,MAINE,,20200404,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,2,,22,,29,,28,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,1,,8,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,4,,3,,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
VERMONT,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200408,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,4,,-,1,,,-,,-,,-,5,,1,,1,,18,,61,,70,,110,,,MIDDLE ATLANTIC,20200409,
NEW JERSEY,2020,4,,-,1,,,-,,-,,-,2,,,-,1,,,-,18,,6,,32,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW YORK,2020,4,,-,0,,,-,,-,,-,4,,,-,,-,18,,48,,46,,42,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
