Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,1,,108,,1,,8,,,-,41,,,-,8,,,
NEW ENGLAND,2019,1,,-,14,,,-,2,,,-,4,,,-,,-,,
MIDDDLE ATLANTIC,2019,1,,-,13,,,-,1,,,-,7,,,-,,-,,
NEW YORK CITY,2019,1,,-,4,,,-,,-,,-,3,,,-,,-,,
EAST NORTH CENTRAL,2019,1,,-,10,,,-,1,,,-,7,,,-,,-,,
WEST NORTH CENTRAL,2019,1,,-,5,,,-,1,,,-,4,,,-,2,,,
SOUTH ATLANTIC,2019,1,1,,20,,1,,3,,,-,8,,,-,2,,,
EAST SOUTH CENTRAL,2019,1,,-,5,,,-,,-,,-,4,,,-,2,,,
WEST SOUTH CENTRAL,2019,1,,-,9,,,-,,-,,-,11,,,-,2,,,
MOUNTAIN,2019,1,,-,12,,,-,,-,,-,4,,,-,,-,,
PACIFIC,2019,1,,-,48,,,-,,-,,-,13,,,-,,-,,
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,
AMERICAN SAMOA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
TOTAL,2019,1,1,,108,,1,,8,,,-,41,,,-,8,,,
HAWAII,2019,1,,-,3,,,-,,-,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2019,1,,-,8,,,-,,-,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
WYOMING,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2019,1,,-,6,,,-,1,,,-,4,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
