Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2020†","Gonorrhea, Cum 2020†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW ENGLAND,2020,2,2,,357,,96,,534,,1,,11,,2,,12,,,-,0,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,111,,,-,184,,,-,4,,,-,5,,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
NEW HAMPSHIRE,2020,2,,-,20,,,-,20,,,-,3,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,77,,,-,1,,,-,4,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
NEW JERSEY,2020,2,138,,249,,297,,390,,,-,7,,,-,7,,,-,0,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,223,,446,,244,,213,,4,,16,,4,,4,,,-,1,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
EAST NORTH CENTRAL,2020,2,590,,2099,,1374,,3282,,17,,37,,37,,62,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,616,,,-,989,,,-,11,,,-,13,,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
OHIO,2020,2,312,,598,,746,,989,,15,,16,,27,,25,,,-,1,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
IOWA,2020,2,51,,130,,146,,230,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,120,,,-,215,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,210,,,-,295,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,28,,80,,41,,78,,1,,3,,4,,3,,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,43,,,-,55,,,-,2,,,-,2,,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,57,,1,,83,,,-,2,,,-,2,,,-,0,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,904,,2706,,1682,,4429,,11,,42,,35,,65,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,59,,,-,99,,,-,3,,,-,1,,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,4,,126,,21,,201,,,-,1,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,411,,880,,792,,821,,6,,26,,18,,14,,,-,0,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,137,,503,,220,,905,,,-,13,,3,,20,,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,16,,281,,97,,422,,4,,7,,7,,9,,,-,1,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,590,,,-,967,,,-,11,,1,,5,,,-,0,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,367,,,-,534,,,-,8,,,-,5,,,-,0,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,336,,353,,552,,470,,1,,9,,5,,6,,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,146,,,-,10,,,-,4,,1,,3,,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,335,,1232,,506,,1676,,4,,17,,12,,26,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,235,,371,,326,,540,,1,,6,,2,,9,,,-,0,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,259,,,-,99,,,-,9,,,-,3,,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,100,,311,,107,,464,,,-,5,,1,,5,,,-,1,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,389,,73,,573,,3,,9,,9,,9,,,-,0,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,166,,1325,,417,,2424,,9,,25,,11,,10,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,1,,174,,1,,298,,1,,6,,1,,1,,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,117,,311,,305,,447,,,-,8,,,-,3,,,-,0,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,48,,229,,111,,280,,5,,5,,5,,3,,,-,0,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,805,,,-,1399,,3,,19,,5,,3,,,-,1,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
MOUNTAIN,2020,2,201,,942,,451,,1486,,9,,20,,26,,32,,,-,1,,,-,,-,,MOUNTAIN,20200248,
ARIZONA,2020,2,12,,357,,34,,540,,7,,9,,14,,11,,,-,1,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,150,,277,,276,,313,,1,,8,,3,,8,,,-,0,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,52,,15,,50,,,-,3,,1,,1,,,-,0,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,57,,,-,56,,,-,4,,,-,2,,,-,0,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,155,,,-,211,,,-,4,,2,,1,,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,12,,123,,47,,191,,1,,3,,4,,6,,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
NEW YORK CITY,2020,3,403,,716,,1534,,1708,,4,,8,,8,,7,,,-,0,,,-,,-,,NEW YORK CITY,20200312,
UTAH,2020,2,22,,75,,71,,110,,,-,5,,2,,3,,,-,0,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,5,,16,,8,,15,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
ALASKA,2020,2,,-,59,,,-,95,,,-,3,,,-,1,,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,239,,1779,,1108,,3131,,,-,5,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,40,,,-,70,,,-,3,,1,,3,,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,92,,156,,191,,171,,2,,6,,8,,6,,,-,0,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,134,,321,,286,,418,,,-,2,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,17,,,-,16,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,17,,,-,16,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,4111,,12351,,8739,,21634,,72,,161,,169,,273,,,-,3,,,-,,-,,TOTAL,20200270,
NEW ENGLAND,2020,4,,-,359,,517,,1072,,,-,11,,3,,26,,,-,0,,,-,,-,,NEW ENGLAND,20200402,
CONNECTICUT,2020,4,,-,111,,,-,332,,,-,3,,,-,8,,,-,0,,,-,,-,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
US TERRITORIES,2020,1,,-,17,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
TOTAL,2020,1,2111,,12236,,2111,,9173,,51,,233,,51,,113,,,-,3,,,-,,-,,TOTAL,20200170,
