Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,4,1,,18,,5,,9,,51,,468,,384,,1421,,8,,99,,69,,210,,,US RESIDENTS,20200401,
NEW ENGLAND,2020,4,,-,1,,,-,,-,,-,19,,9,,57,,,-,5,,4,,13,,,NEW ENGLAND,20200402,
CONNECTICUT,2020,4,,-,1,,,-,,-,,-,3,,1,,2,,,-,1,,,-,3,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MAINE,2020,4,,-,1,,,-,,-,,-,6,,3,,1,,,-,4,,1,,3,,MAINE,,20200404,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,4,,-,1,,,-,,-,,-,14,,2,,10,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,,U,,NC,,U,,U,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
VERMONT,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,VERMONT,,20200408,POINT (-72.662695 44.075252)
NEW JERSEY,2020,4,,-,0,,,-,,-,,-,23,,,-,12,,,-,5,,,-,3,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW YORK,2020,4,,-,2,,,-,,-,5,,14,,12,,7,,,-,4,,,-,2,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,4,,-,0,,,-,,-,3,,5,,7,,4,,1,,4,,7,,2,,,NEW YORK CITY,20200412,
PENNSYLVANIA,2020,4,,-,4,,,-,,-,2,,43,,19,,13,,,-,5,,5,,2,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,,-,4,,,-,1,,,-,144,,33,,473,,1,,39,,10,,34,,,EAST NORTH CENTRAL,20200414,
ILLINOIS,2020,4,,-,1,,,-,1,,,-,8,,2,,23,,,-,3,,,-,1,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
MICHIGAN,2020,4,,-,2,,,-,,-,,-,4,,,-,8,,,-,3,,,-,5,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,1,,,-,,-,,-,80,,25,,307,,1,,29,,10,,19,,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IOWA,2020,4,,-,2,,,-,,-,,-,2,,,-,1,,,-,3,,,-,3,,IOWA,,20200421,POINT (-93.500061 42.074659)
KANSAS,2020,4,,-,1,,,-,,-,,-,2,,,-,1,,,-,2,,,-,2,,KANSAS,,20200422,POINT (-98.38018 38.484729)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,5,,,-,8,,,-,1,,,-,1,,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
NEBRASKA,2020,4,,-,1,,1,,,-,,-,3,,1,,,-,,-,1,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,4,,-,2,,,-,2,,21,,150,,90,,325,,3,,37,,8,,78,,,SOUTH ATLANTIC,20200428,
DELAWARE,2020,4,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,-,1,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
GEORGIA,2020,4,,-,0,,,-,,-,9,,30,,38,,24,,,-,5,,,-,12,,GEORGIA,,20200432,POINT (-83.426574 32.638481)
