Reporting Area,MMWR Year,MMWR Week,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max†","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2020†","Hepatitis B, perinatal infection, Cum 2020†, flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis C, acute§, Confirmed, Current week","Hepatitis C, acute§, Confirmed, Current week, flag","Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†","Hepatitis C, acute§, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Confirmed, Cum 2020†","Hepatitis C, acute§, Confirmed, Cum 2020†, flag","Hepatitis C, acute§, Confirmed, Cum 2019†","Hepatitis C, acute§, Confirmed, Cum 2019†, flag","Hepatitis C, acute§,  Probable, Current week","Hepatitis C, acute§, Probable, Current week, flag","Hepatitis C, acute§, Probable, Previous 52 weeks Max†","Hepatitis C, acute§, Probable, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Probable, Cum 2020†","Hepatitis C, acute§, Probable, Cum 2020†, flag","Hepatitis C, acute§, Probable, Cum 2019†","Hepatitis C, acute§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,,-,2,,1,,,-,5,,99,,13,,104,,7,,0,,17,,,NP,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,1,,,-,,-,1,,10,,2,,8,,,-,0,,,-,,NP,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,1,,,-,,-,1,,3,,2,,3,,,-,0,,,-,,NP,MAINE,,20200204,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,,-,0,,,-,,-,,-,4,,,-,2,,,-,0,,,-,,NP,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,0,,,-,,-,,-,9,,,-,1,,,-,0,,,-,,NP,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PENNSYLVANIA,2020,2,,-,1,,,-,,-,,-,9,,,-,3,,,-,0,,,-,,NP,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,0,,1,,,-,1,,27,,5,,28,,1,,0,,5,,,NP,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,0,,,-,,-,,-,6,,,-,7,,,-,0,,,-,,NP,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
OHIO,2020,2,,-,0,,1,,,-,1,,13,,5,,13,,1,,0,,5,,,NP,OHIO,,20200218,POINT (-82.70936 40.415534)
IOWA,2020,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,NP,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,NP,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,,-,1,,,-,,-,2,,44,,3,,18,,1,,0,,2,,,NP,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,NP,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
MARYLAND,2020,2,,-,0,,,-,,-,,-,2,,1,,,-,1,,0,,2,,,NP,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,1,,,-,,-,,-,8,,,-,4,,,-,0,,,-,,NP,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,1,,2,,1,,1,,,-,0,,,-,,NP,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,1,,,-,,-,1,,4,,1,,,-,,-,0,,,-,,NP,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,2,,-,1,,,-,,-,,-,12,,,-,16,,3,,0,,4,,,NP,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,0,,,-,,-,,-,9,,,-,5,,3,,0,,4,,,NP,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
TENNESSEE,2020,2,,-,1,,,-,,-,,-,8,,,-,11,,,-,0,,,-,,NP,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,7,,,-,2,,2,,0,,2,,,NP,,WEST SOUTH CENTRAL,20200243,
LOUISIANA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
