Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,3,232,,554,,1177,,1578,,13,,10,,30,,23,,,US RESIDENTS,20200301,
IOWA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200321,POINT (-93.500061 42.074659)
US RESIDENTS,2020,2,358,,552,,754,,1087,,11,,10,,19,,16,,,US RESIDENTS,20200201,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
TOTAL,2020,1,241,,856,,241,,534,,10,,13,,10,,6,,,TOTAL,20200170,
WEST SOUTH CENTRAL,2020,1,1,,271,,1,,7,,,-,4,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,6,,,-,1,,,-,2,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,24,,,-,2,,,-,1,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,7,,26,,7,,26,,,-,3,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,35,,95,,35,,95,,,-,3,,,-,1,,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,2,,19,,2,,19,,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,45,,,-,33,,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,5,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,1,,25,,1,,18,,,-,1,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,27,,37,,27,,31,,1,,1,,1,,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,4,,,-,1,,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,18,,19,,18,,11,,,-,1,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,17,,,-,12,,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,241,,856,,241,,534,,10,,13,,10,,6,,,US RESIDENTS,20200101,
NEBRASKA,2020,1,5,,9,,5,,4,,,-,1,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,14,,,-,11,,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,4,,22,,4,,9,,,-,1,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,17,,,-,8,,,-,1,,,-,1,,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,60,,67,,60,,67,,9,,3,,9,,3,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,23,,,-,23,,,-,1,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,19,,,-,13,,,-,1,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2020,1,40,,29,,40,,26,,,-,3,,,-,,-,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,6,,,-,2,,,-,1,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,4,,,-,,-,,-,1,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,1,51,,124,,51,,62,,,-,4,,,-,,-,,MIDDLE ATLANTIC,20200109,
PACIFIC,2020,9,,-,11,,6,,62,,,-,1,,,-,1,,,PACIFIC,20200957,
NEW HAMPSHIRE,2020,1,,-,10,,,-,7,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,27,,45,,27,,36,,,-,5,,,-,2,,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,8,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,6,,9,,6,,4,,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
TENNESSEE,2020,1,18,,38,,18,,20,,,-,2,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
TEXAS,2020,1,1,,227,,1,,4,,,-,4,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,32,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,22,,96,,22,,59,,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,-,12,,,-,10,,,-,1,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,29,,96,,29,,96,,1,,2,,1,,,-,,MOUNTAIN,20200148,
NEW YORK,2020,1,,-,66,,,-,1,,,-,2,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,-,20,,,-,3,,,-,1,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,9,,19,,9,,14,,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,8,,,-,5,,,-,1,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,28,,,-,17,,,-,1,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
