Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,13,10,,40,,203,,273,,,-,2,,10,,11,,24,,333,,745,,1260,,,TOTAL,20201370,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
TOTAL,2020,1,6,,33,,6,,18,,1,,2,,1,,2,,30,,329,,30,,120,,,TOTAL,20200170,
WEST SOUTH CENTRAL,2020,1,,-,11,,,-,,-,,-,2,,,-,,-,,-,46,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,,-,10,,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,1,,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,3,,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,1,,4,,1,,1,,,-,0,,,-,,-,,-,8,,,-,5,,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,,-,9,,,-,7,,,-,1,,,-,,-,5,,140,,5,,13,,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,4,,,-,1,,,-,0,,,-,,-,,-,9,,,-,1,,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,2,,6,,2,,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,3,,3,,3,,,-,,-,0,,,-,,-,1,,6,,1,,1,,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,5,,16,,5,,6,,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,2,,,-,2,,,-,0,,,-,,-,,-,7,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,6,,33,,6,,18,,1,,2,,1,,2,,30,,329,,30,,120,,,US RESIDENTS,20200101,
NEBRASKA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,1,,6,,1,,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,19,,,-,9,,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,8,,,-,3,,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,4,,31,,4,,19,,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,2,,,-,,-,,-,1,,,-,1,,,-,5,,,-,1,,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,2,,3,,2,,,-,1,,1,,1,,1,,12,,68,,12,,5,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,3,,,-,2,,,-,0,,,-,,-,,-,12,,,-,12,,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,2,,39,,2,,9,,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,,-,1,,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,4,,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,14,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,,-,5,,,-,,-,,-,1,,,-,1,,3,,32,,3,,12,,,WEST NORTH CENTRAL,20200120,
