Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2020†","Malaria, Cum 2020†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2020†","Measles§, Imported, Cum 2020†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Indigenous, Current week","Measles§, Indigenous, Current week, flag","Measles§, Indigenous, Previous 52 weeks Max†","Measles§, Indigenous, Previous 52 weeks Max†, flag","Measles§, Indigenous, Cum 2020†","Measles§, Indigenous, Cum 2020†, flag","Measles§, Indigenous, Cum 2019†","Measles§, Indigenous, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,5,,70,,19,,45,,,-,8,,,-,4,,,-,86,,,-,24,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,1,,7,,4,,3,,,-,1,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,3,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,1,,6,,3,,2,,,-,1,,,-,,-,,-,1,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,22,,2,,12,,,-,5,,,-,1,,,-,70,,,-,10,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,7,,,-,4,,,-,1,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,4,,,-,,-,,-,4,,,-,,-,,-,35,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,13,,2,,5,,,-,4,,,-,1,,,-,2,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,9,,,-,3,,,-,2,,,-,,-,,-,66,,,-,10,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,9,,3,,3,,,-,2,,,-,,-,,-,17,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,5,,,-,2,,,-,1,,,-,,-,,-,2,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,3,,,-,1,,,-,1,,,-,,-,,-,17,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,5,,3,,,-,,-,0,,,-,,-,,-,1,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL,20200220,
