Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,6,16,,110,,141,,190,,,-,0,,,-,,-,,US RESIDENTS,20200601,
NEW ENGLAND,2020,5,,-,8,,18,,14,,,-,0,,,-,,-,,NEW ENGLAND,20200502,
MASSACHUSETTS,2020,1,,-,5,,,-,2,,,-,0,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEW ENGLAND,2020,1,1,,8,,1,,3,,,-,0,,,-,,-,,NEW ENGLAND,20200102,
WASHINGTON,2020,1,,-,58,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
HAWAII,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
WISCONSIN,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MARYLAND,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
NEW YORK,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
NORTH CAROLINA,2020,1,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
WEST SOUTH CENTRAL,2020,1,,-,72,,,-,7,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200143,
