Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,112,,423,,211,,548,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,3,,25,,5,,43,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,5,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,2,,17,,4,,24,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,2,,-,5,,,-,6,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,1,,5,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,,-,11,,,-,14,,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,8,,30,,8,,7,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PENNSYLVANIA,2020,2,14,,50,,32,,13,,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,51,,106,,81,,112,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,40,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
OHIO,2020,2,51,,43,,81,,35,,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
IOWA,2020,2,,-,17,,,-,11,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,5,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,14,,,-,16,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,3,,10,,8,,7,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,9,,56,,19,,57,,,-,0,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200228,
