Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, Jamestown Canyon virus disease, Current week","Arboviral diseases, Jamestown Canyon virus disease, Current week, flag","Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†","Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†","Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†, flag","Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†","Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†, flag","Arboviral diseases, La Crosse virus disease, Current week","Arboviral diseases, La Crosse virus disease, Current week, flag","Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†","Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, La Crosse virus disease, Cum 2020†","Arboviral diseases, La Crosse virus disease, Cum 2020†, flag","Arboviral diseases, La Crosse virus disease, Cum 2019†","Arboviral diseases, La Crosse virus disease, Cum 2019†, flag","Arboviral diseases, Powassan virus disease, Current week","Arboviral diseases, Powassan virus disease, Current week, flag","Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†","Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, Powassan virus disease, Cum 2020†","Arboviral diseases, Powassan virus disease, Cum 2020†, flag","Arboviral diseases, Powassan virus disease, Cum 2019†","Arboviral diseases, Powassan virus disease, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW ENGLAND,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PENNSYLVANIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,2,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
MICHIGAN,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
MARYLAND,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
TENNESSEE,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200243,
LOUISIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
