Reporting Area,MMWR Year,MMWR Week,"Brucellosis, Current week","Brucellosis, Current week, flag","Brucellosis, Previous 52 weeks Max†","Brucellosis, Previous 52 weeks Max†, flag","Brucellosis, Cum 2020†","Brucellosis, Cum 2020†, flag","Brucellosis, Cum 2019†","Brucellosis, Cum 2019, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Max†","Campylobacteriosis, Previous 52 weeks Max†, flag","Campylobacteriosis, Cum 2020†","Campylobacteriosis, Cum 2020†, flag","Campylobacteriosis, Cum 2019†","Campylobacteriosis, Cum 2019†, flag","Candida auris, clinical§, Current week","Candida auris, clinical§, Current week, flag","Candida auris, clinical§, Previous 52 weeks Max†","Candida auris, clinical§, Previous 52 weeks Max†, flag","Candida auris, clinical§, Cum 2020†","Candida auris, clinical§, Cum 2020†, flag","Candida auris, clinical§, Cum 2019†","Candida auris, clinical§, Cum 2019, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,4,,-,7,,,-,6,,331,,2038,,1920,,3691,,,-,7,,,-,13,,,US RESIDENTS,20200401,
NEW ENGLAND,2020,4,,-,1,,,-,,-,14,,133,,96,,168,,,-,0,,,-,,-,,NEW ENGLAND,20200402,
CONNECTICUT,2020,4,,-,0,,,-,,-,,-,29,,,-,39,,,-,0,,,-,,-,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MAINE,2020,4,,-,0,,,-,,-,,-,8,,5,,9,,,-,0,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,2,,15,,4,,13,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,19,,2,,10,,,-,0,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
VERMONT,2020,4,,-,0,,,-,,-,3,,8,,8,,12,,,-,0,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,4,,-,1,,,-,,-,44,,243,,221,,392,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200409,
NEW JERSEY,2020,4,,-,1,,,-,,-,,-,67,,,-,133,,,-,0,,,-,,-,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW YORK,2020,4,,-,1,,,-,,-,27,,90,,97,,79,,,-,0,,,-,,-,NEW YORK,,20200411,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
PENNSYLVANIA,2020,4,,-,1,,,-,,-,17,,94,,124,,180,,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,,-,2,,,-,,-,40,,276,,228,,515,,,-,7,,,-,13,,,EAST NORTH CENTRAL,20200414,
ILLINOIS,2020,4,,-,2,,,-,,-,,-,86,,36,,159,,,-,7,,,-,13,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
MICHIGAN,2020,4,,-,1,,,-,,-,,-,59,,,-,101,,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,0,,,-,,-,35,,99,,133,,154,,,-,0,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,1,,,-,,-,5,,54,,59,,100,,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
