Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,1,,12,,2,,16,,,-,2,,,-,,-,10556,,36757,,22679,,59476,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,80,,1411,,423,,2084,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,533,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,124,,,-,127,,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,262,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,24,,48,,30,,22,,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,486,,940,,1019,,1560,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,534,,1604,,611,,921,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PENNSYLVANIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1049,,1379,,1808,,2090,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,7,,,-,10,,,-,0,,,-,,-,1538,,5609,,3259,,8865,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1736,,,-,2687,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
OHIO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,760,,1502,,1683,,2498,,OHIO,,20200218,POINT (-82.70936 40.415534)
IOWA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,89,,390,,253,,586,,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,329,,,-,580,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,561,,,-,961,,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,57,,239,,92,,213,,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,98,,,-,162,,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,2499,,8333,,4897,,12624,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,199,,,-,275,,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,35,,226,,93,,333,,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
MARYLAND,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,62,,822,,329,,1424,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1512,,,-,2610,,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,979,,,-,1098,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
EAST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,683,,2782,,971,,3512,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,481,,810,,633,,1077,,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,,-,157,,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
