Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW ENGLAND,2020,2,2,,26,,7,,31,,1,,91,,1,,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,6,,,-,6,,,-,26,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,12,,,-,1,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
RHODE ISLAND,2020,2,,-,7,,,-,1,,,-,5,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,1,,3,,1,,,-,,-,5,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,,-,18,,1,,6,,,-,36,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,2,,27,,3,,1,,,-,85,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
PENNSYLVANIA,2020,2,5,,21,,11,,15,,,N,,NC,,N,,N,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,12,,111,,27,,70,,,-,121,,4,,1,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,24,,,-,16,,,-,51,,,-,1,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
MICHIGAN,2020,2,,-,20,,,-,15,,,-,69,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,9,,32,,19,,21,,,-,37,,4,,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,3,,40,,8,,18,,,-,28,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,1,,30,,5,,8,,,-,48,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,4,,,-,3,,,-,2,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,3,,8,,5,,2,,,-,6,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,3,,,-,1,,,N,,NC,,N,,N,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,1,,79,,2,,53,,1,,217,,1,,,-,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,4,,,-,1,,,-,2,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,2,,,-,,-,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
GEORGIA,2020,2,,-,23,,,-,10,,,-,14,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,6,,1,,1,,1,,76,,1,,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,10,,,-,13,,,-,30,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,1,,7,,1,,4,,,-,4,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,51,,,-,3,,,-,47,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,2,2,,45,,5,,14,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,14,,,-,2,,,N,,NC,,N,,N,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,21,,,-,8,,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
TENNESSEE,2020,2,1,,13,,3,,3,,,-,17,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,6,,69,,6,,15,,,-,127,,,-,,-,,WEST SOUTH CENTRAL,20200243,
