Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
MID. ATLANTIC,2015,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,52,,68,,187,,798,,954,,,
MARYLAND,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,14,,50,,182,,181,,"MARYLAND
(39.290583, -76.60926)",
WISCONSIN,2015,17,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,14,,67,,24,,207,,"WISCONSIN
(44.393191, -89.816366)",
WEST VIRGINIA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,12,,40,,39,,"WEST VIRGINIA
(38.665511, -80.712638)",
PACIFIC,2015,17,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,34,,105,,187,,1104,,1276,,,
INDIANA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,105,,155,,"INDIANA
(39.766913, -86.149956)",
NEW MEXICO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,62,,63,,"NEW MEXICO
(34.520881, -106.240578)",
OKLAHOMA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,13,,53,,102,,117,,"OKLAHOMA
(35.472031, -97.521068)",
ARKANSAS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,12,,29,,99,,66,,"ARKANSAS
(34.74865, -92.27449)",
COLORADO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,26,,48,,154,,"COLORADO
(38.843843, -106.133609)",
MICHIGAN,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,17,,56,,195,,207,,"MICHIGAN
(44.661322, -84.714386)",
PUERTO RICO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,34,,89,,170,,"PUERTO RICO
(18.248289, -66.49989)",
PENNSYLVANIA,2015,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,13,,25,,69,,223,,262,,"PENNSYLVANIA
(40.793734, -77.860697)",
MONTANA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,29,,60,,34,,"MONTANA
(47.066528, -109.424416)",
VERMONT,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,1,,7,,18,,25,,"VERMONT
(43.625384, -72.517637)",
DELAWARE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,15,,18,,22,,"DELAWARE
(39.008834, -75.577736)",
KENTUCKY,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,96,,112,,"KENTUCKY
(37.645973, -84.774968)",
E.S. CENTRAL,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,56,,155,,413,,626,,,
