Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,,-,1,,3,,,-,,-,38,,151,,205,,38,,163,,,
NEW ENGLAND,2017,1,,-,0,,1,,,-,,-,3,,14,,27,,3,,18,,,
MID. ATLANTIC,2017,1,,-,0,,2,,,-,,-,9,,17,,39,,9,,15,,,
NEW YORK CITY,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,,-,0,,1,,,-,,-,15,,35,,70,,15,,70,,,
W.N. CENTRAL,2017,1,,-,0,,1,,,-,,-,1,,11,,29,,1,,14,,,
S. ATLANTIC,2017,1,,-,0,,1,,,-,,-,6,,23,,54,,6,,18,,,
E.S. CENTRAL,2017,1,,-,0,,1,,,-,,-,2,,2,,6,,2,,4,,,
W.S. CENTRAL,2017,1,,-,0,,1,,,-,,-,1,,25,,52,,1,,6,,,
MOUNTAIN,2017,1,,-,0,,1,,,-,,-,1,,12,,34,,1,,17,,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
PENNSYLVANIA,2017,1,,-,0,,1,,,-,,-,9,,11,,29,,9,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2017,1,,-,0,,0,,,-,,-,2,,2,,20,,2,,2,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2017,1,,-,0,,1,,,-,,-,1,,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,1,,-,0,,1,,,-,,-,6,,14,,39,,6,,12,,"FLORIDA
(28.915325, -81.922409)",
HAWAII,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2017,1,,-,0,,0,,,-,,-,,-,3,,9,,,-,9,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEVADA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,1,,-,0,,1,,,-,,-,,-,8,,20,,,-,16,,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2017,1,,-,0,,0,,,-,,-,,-,6,,15,,,-,7,,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,1,,-,0,,0,,,-,,-,,-,4,,18,,,-,4,,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,1,,-,0,,0,,,-,,-,,-,2,,6,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,1,,6,,14,,1,,2,,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GEORGIA,2017,1,,-,0,,0,,,-,,-,,-,2,,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2017,1,,-,0,,0,,,-,,-,,-,2,,12,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALASKA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,1,,21,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,1,,-,0,,1,,,-,,-,2,,10,,31,,2,,31,,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2017,1,,-,0,,1,,,-,,-,2,,4,,8,,2,,4,,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,4,,12,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,1,,-,0,,0,,,-,,-,,-,0,,18,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2017,1,,-,0,,0,,,-,,-,,-,0,,5,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,1,,-,0,,1,,,-,,-,,-,3,,9,,,-,7,,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,1,,-,0,,0,,,-,,-,,-,5,,16,,,-,6,,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
TENNESSEE,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
