Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2015","Tuberculosis†, Cum 2015, flag","Tuberculosis†, Cum 2014","Tuberculosis†, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,1471,,1471,,2849,,1471,,1249,,,
NEW ENGLAND,2015,1,45,,45,,86,,45,,51,,,
MID. ATLANTIC,2015,1,247,,247,,383,,247,,157,,,
E.N. CENTRAL,2015,1,137,,137,,239,,137,,103,,,
W.N. CENTRAL,2015,1,37,,37,,137,,37,,51,,,
S. ATLANTIC,2015,1,257,,257,,486,,257,,208,,,
DIST. OF COL.,2015,1,6,,4,,12,,6,,4,,DIST. OF COL.,
E.S. CENTRAL,2015,1,88,,88,,137,,88,,62,,,
W.S. CENTRAL,2015,1,319,,319,,412,,319,,210,,,
MOUNTAIN,2015,1,46,,46,,168,,46,,27,,,
PACIFIC,2015,1,295,,295,,806,,295,,380,,,
AMER. SAMOA,2015,1,,-,0,,0,,,-,1,,AMER. SAMOA,
C.N.M.I.,2015,1,,-,0,,6,,,-,7,,C.N.M.I.,
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,VIRGIN ISL.,
DIST. OF COL.,2015,2,9,,6,,12,,15,,11,,DIST. OF COL.,
VERMONT,2015,1,3,,0,,3,,3,,,-,"VERMONT
(43.625384, -72.517637)",
WYOMING,2015,1,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
MASSACHUSETTS,2015,1,25,,25,,58,,25,,33,,"MASSACHUSETTS
(42.276874, -72.082687)",
OREGON,2015,1,17,,17,,24,,17,,11,,"OREGON
(44.56745, -120.155029)",
CONNECTICUT,2015,1,7,,6,,23,,7,,10,,"CONNECTICUT
(41.562661, -72.64984)",
MARYLAND,2015,2,51,,21,,72,,72,,82,,"MARYLAND
(39.290583, -76.60926)",
E.S. CENTRAL,2015,2,102,,88,,137,,190,,202,,,
VERMONT,2015,2,,-,0,,3,,3,,,-,"VERMONT
(43.625384, -72.517637)",
WISCONSIN,2015,1,16,,10,,17,,16,,7,,"WISCONSIN
(44.393191, -89.816366)",
S. ATLANTIC,2015,2,281,,281,,491,,610,,778,,,
CONNECTICUT,2015,2,12,,6,,23,,22,,29,,"CONNECTICUT
(41.562661, -72.64984)",
NEW JERSEY,2015,2,79,,35,,109,,114,,115,,"NEW JERSEY
(40.130571, -74.273688)",
ARKANSAS,2015,2,22,,22,,35,,57,,44,,"ARKANSAS
(34.74865, -92.27449)",
CALIFORNIA,2015,1,211,,211,,676,,211,,300,,"CALIFORNIA
(37.638642, -120.999996)",
ALABAMA,2015,1,30,,28,,35,,30,,27,,"ALABAMA
(32.840572, -86.631857)",
FLORIDA,2015,1,110,,110,,169,,110,,102,,"FLORIDA
(28.932043, -81.928958)",
NEW YORK CITY,2015,2,121,,121,,175,,280,,284,,"NEW YORK CITY
(40.714268, -74.005966)",
MAINE,2015,2,4,,2,,4,,8,,10,,"MAINE
(45.254229, -68.985026)",
W.S. CENTRAL,2015,2,256,,256,,414,,642,,743,,,
ARIZONA,2015,1,7,,7,,102,,7,,1,,"ARIZONA
(34.865974, -111.763807)",
ARIZONA,2015,2,30,,7,,102,,37,,57,,"ARIZONA
(34.865974, -111.763807)",
IOWA,2015,2,,-,0,,18,,,-,23,,"IOWA
(42.469401, -93.816487)",
KANSAS,2015,2,,-,0,,15,,,-,13,,"KANSAS
(38.347743, -98.200778)",
NEW MEXICO,2015,1,8,,8,,14,,8,,8,,"NEW MEXICO
(34.520881, -106.240578)",
KENTUCKY,2015,1,7,,7,,29,,7,,3,,"KENTUCKY
(37.645973, -84.774968)",
SOUTH DAKOTA,2015,1,1,,0,,3,,1,,2,,"SOUTH DAKOTA
(44.35313, -100.373529)",
C.N.M.I.,2015,2,,-,0,,6,,4,,13,,C.N.M.I.,
NORTH CAROLINA,2015,1,16,,16,,81,,16,,13,,"NORTH CAROLINA
(35.46622, -79.15925)",
MISSOURI,2015,1,8,,8,,22,,8,,10,,"MISSOURI
(38.635791, -92.566299)",
MICHIGAN,2015,2,4,,4,,32,,25,,50,,"MICHIGAN
(44.661322, -84.714386)",
COLORADO,2015,2,15,,15,,24,,32,,25,,"COLORADO
(38.843843, -106.133609)",
NEBRASKA,2015,2,2,,2,,12,,8,,14,,"NEBRASKA
(41.641044, -99.365719)",
ALASKA,2015,2,7,,7,,11,,17,,38,,"ALASKA
(64.845087, -147.722028)",
UTAH,2015,2,10,,4,,10,,14,,14,,"UTAH
(39.360701, -111.587128)",
MARYLAND,2015,1,21,,21,,69,,21,,22,,"MARYLAND
(39.290583, -76.60926)",
NEW JERSEY,2015,1,35,,35,,107,,35,,11,,"NEW JERSEY
(40.130571, -74.273688)",
NEW YORK,2015,1,32,,32,,66,,32,,20,,"NEW YORK
(42.827004, -75.543966)",
MISSOURI,2015,2,,-,0,,22,,20,,40,,"MISSOURI
(38.635791, -92.566299)",
MONTANA,2015,2,,-,0,,1,,,-,4,,"MONTANA
(47.066528, -109.424416)",
TEXAS,2015,1,273,,273,,327,,273,,189,,"TEXAS
(31.82724, -99.426768)",
WEST VIRGINIA,2015,1,4,,2,,4,,4,,2,,"WEST VIRGINIA
(38.665511, -80.712638)",
W.N. CENTRAL,2015,2,43,,43,,138,,98,,161,,,
NEW HAMPSHIRE,2015,2,2,,2,,4,,6,,6,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
MASSACHUSETTS,2015,2,31,,31,,58,,63,,94,,"MASSACHUSETTS
(42.276874, -72.082687)",
OKLAHOMA,2015,2,14,,14,,20,,30,,25,,"OKLAHOMA
(35.472031, -97.521068)",
IDAHO,2015,1,,-,0,,4,,,-,2,,"IDAHO
(43.682632, -114.363727)",
MINNESOTA,2015,1,22,,22,,66,,22,,22,,"MINNESOTA
(46.355649, -94.7942)",
UTAH,2015,1,4,,4,,10,,4,,2,,"UTAH
(39.360701, -111.587128)",
MONTANA,2015,1,,-,0,,3,,,-,1,,"MONTANA
(47.066528, -109.424416)",
ALABAMA,2015,2,26,,26,,34,,56,,71,,"ALABAMA
(32.840572, -86.631857)",
KANSAS,2015,1,,-,0,,15,,,-,5,,"KANSAS
(38.347743, -98.200778)",
GEORGIA,2015,2,39,,39,,93,,108,,151,,"GEORGIA
(32.839683, -83.627579)",
NEVADA,2015,2,21,,12,,32,,33,,29,,"NEVADA
(39.493242, -117.071839)",
GUAM,2015,2,17,,15,,19,,36,,24,,"GUAM
(13.480999, 144.731496)",
AMER. SAMOA,2015,2,,-,0,,0,,,-,1,,AMER. SAMOA,
VIRGINIA,2015,1,25,,25,,64,,25,,15,,"VIRGINIA
(37.542681, -78.457889)",
UNITED STATES,2015,2,1759,,1759,,2854,,3593,,4325,,,
MINNESOTA,2015,2,36,,22,,66,,58,,65,,"MINNESOTA
(46.355649, -94.7942)",
NEVADA,2015,1,12,,12,,32,,12,,5,,"NEVADA
(39.493242, -117.071839)",
NORTH DAKOTA,2015,2,,-,0,,5,,3,,1,,"NORTH DAKOTA
(47.475319, -100.118428)",
TEXAS,2015,2,220,,220,,335,,555,,624,,"TEXAS
(31.82724, -99.426768)",
GEORGIA,2015,1,49,,49,,92,,49,,38,,"GEORGIA
(32.839683, -83.627579)",
INDIANA,2015,1,24,,24,,36,,24,,12,,"INDIANA
(39.766913, -86.149956)",
E.N. CENTRAL,2015,2,166,,166,,238,,335,,331,,,
ARKANSAS,2015,1,34,,21,,34,,34,,15,,"ARKANSAS
(34.74865, -92.27449)",
HAWAII,2015,2,16,,16,,39,,55,,70,,"HAWAII
(21.304852, -157.857748)",
LOUISIANA,2015,2,,-,0,,42,,,-,50,,"LOUISIANA
(31.312663, -92.445678)",
LOUISIANA,2015,1,,-,0,,50,,,-,,-,"LOUISIANA
(31.312663, -92.445678)",
CALIFORNIA,2015,2,382,,324,,673,,706,,1001,,"CALIFORNIA
(37.638642, -120.999996)",
MAINE,2015,1,4,,2,,5,,4,,4,,"MAINE
(45.254229, -68.985026)",
INDIANA,2015,2,33,,24,,36,,57,,46,,"INDIANA
(39.766913, -86.149956)",
OHIO,2015,2,43,,28,,50,,71,,67,,"OHIO
(40.060212, -82.404257)",
HAWAII,2015,1,30,,30,,37,,30,,24,,"HAWAII
(21.304852, -157.857748)",
NEBRASKA,2015,1,3,,3,,12,,3,,4,,"NEBRASKA
(41.641044, -99.365719)",
ILLINOIS,2015,2,69,,69,,110,,148,,141,,"ILLINOIS
(40.485012, -88.997709)",
MISSISSIPPI,2015,2,13,,13,,24,,29,,34,,"MISSISSIPPI
(32.745513, -89.538027)",
WYOMING,2015,2,,-,0,,0,,,-,2,,"WYOMING
(43.235541, -108.109827)",
RHODE ISLAND,2015,1,2,,2,,9,,2,,1,,"RHODE ISLAND
(41.708281, -71.522466)",
WASHINGTON,2015,1,33,,33,,58,,33,,28,,"WASHINGTON
(47.522288, -120.470028)",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,VIRGIN ISL.,
NORTH DAKOTA,2015,1,3,,0,,5,,3,,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
GUAM,2015,1,6,,6,,22,,6,,2,,"GUAM
(13.480999, 144.731498)",
NEW ENGLAND,2015,2,59,,55,,86,,114,,146,,,
PUERTO RICO,2015,2,10,,7,,18,,23,,23,,"PUERTO RICO
(18.24829, -66.499887)",
OKLAHOMA,2015,1,12,,12,,21,,12,,6,,"OKLAHOMA
(35.472031, -97.521068)",
PENNSYLVANIA,2015,1,28,,28,,78,,28,,28,,"PENNSYLVANIA
(40.793734, -77.860697)",
WASHINGTON,2015,2,58,,47,,58,,105,,88,,"WASHINGTON
(47.522288, -120.470028)",
NEW YORK CITY,2015,1,152,,134,,175,,152,,98,,"NEW YORK CITY
(40.714268, -74.005969)",
FLORIDA,2015,2,76,,76,,149,,217,,313,,"FLORIDA
(28.932572, -81.928326)",
OREGON,2015,2,16,,16,,24,,33,,36,,"OREGON
(44.56745, -120.155029)",
IOWA,2015,1,,-,0,,18,,,-,8,,"IOWA
(42.469401, -93.816487)",
TENNESSEE,2015,1,35,,29,,54,,35,,19,,"TENNESSEE
(35.680941, -85.774487)",
MISSISSIPPI,2015,1,16,,16,,24,,16,,13,,"MISSISSIPPI
(32.745513, -89.538027)",
MICHIGAN,2015,1,7,,7,,32,,7,,16,,"MICHIGAN
(44.661322, -84.714386)",
NORTH CAROLINA,2015,2,28,,28,,81,,60,,74,,"NORTH CAROLINA
(35.46622, -79.15925)",
PUERTO RICO,2015,1,13,,7,,18,,13,,8,,"PUERTO RICO
(18.248289, -66.49989)",
TENNESSEE,2015,2,41,,29,,54,,76,,68,,"TENNESSEE
(35.680941, -85.774487)",
KENTUCKY,2015,2,22,,7,,29,,29,,29,,"KENTUCKY
(37.645973, -84.774968)",
PENNSYLVANIA,2015,2,49,,33,,78,,82,,74,,"PENNSYLVANIA
(40.793734, -77.860697)",
SOUTH CAROLINA,2015,2,33,,21,,33,,54,,32,,"SOUTH CAROLINA
(33.998822, -81.045366)",
MID. ATLANTIC,2015,2,293,,259,,383,,552,,572,,,
NEW YORK,2015,2,44,,32,,64,,76,,99,,"NEW YORK
(42.827004, -75.543966)",
ILLINOIS,2015,1,63,,63,,110,,63,,57,,"ILLINOIS
(40.485012, -88.997709)",
NEW MEXICO,2015,2,3,,3,,14,,16,,24,,"NEW MEXICO
(34.520881, -106.240578)",
WISCONSIN,2015,2,17,,10,,17,,34,,27,,"WISCONSIN
(44.393191, -89.816366)",
DELAWARE,2015,2,,-,0,,6,,5,,14,,"DELAWARE
(39.008834, -75.577736)",
PACIFIC,2015,2,479,,437,,803,,916,,1233,,,
IDAHO,2015,2,1,,1,,5,,4,,4,,"IDAHO
(43.682632, -114.363727)",
NEW HAMPSHIRE,2015,1,4,,2,,4,,4,,3,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
VIRGINIA,2015,2,45,,30,,53,,75,,93,,"VIRGINIA
(37.542681, -78.457889)",
WEST VIRGINIA,2015,2,,-,0,,4,,4,,8,,"WEST VIRGINIA
(38.665511, -80.712638)",
ALASKA,2015,1,4,,4,,16,,4,,17,,"ALASKA
(64.845078, -147.72206)",
OHIO,2015,1,27,,27,,50,,27,,11,,"OHIO
(40.060212, -82.404257)",
MOUNTAIN,2015,2,80,,56,,169,,136,,159,,,
RHODE ISLAND,2015,2,10,,2,,10,,12,,7,,"RHODE ISLAND
(41.708281, -71.522466)",
SOUTH CAROLINA,2015,1,21,,18,,25,,21,,9,,"SOUTH CAROLINA
(33.998822, -81.045366)",
SOUTH DAKOTA,2015,2,5,,0,,5,,9,,5,,"SOUTH DAKOTA
(44.35313, -100.373529)",
COLORADO,2015,1,15,,15,,24,,15,,8,,"COLORADO
(38.843843, -106.133609)",
DELAWARE,2015,1,5,,3,,9,,5,,3,,"DELAWARE
(39.008834, -75.577736)",
UNITED STATES,2015,3,1615,,1615,,2862,,5803,,6731,,,
NEW MEXICO,2015,3,5,,5,,14,,32,,38,,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2015,3,8,,8,,20,,40,,58,,"MISSISSIPPI
(32.738663, -89.537312)",
W.N. CENTRAL,2015,3,32,,32,,139,,161,,252,,,
FLORIDA,2015,3,81,,81,,149,,357,,459,,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2015,3,5,,2,,6,,13,,20,,"DELAWARE
(39.008676, -75.574561)",
MARYLAND,2015,3,39,,21,,72,,113,,127,,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2015,3,25,,24,,32,,77,,78,,"MICHIGAN
(44.66399, -84.711206)",
TEXAS,2015,3,184,,184,,343,,870,,944,,"TEXAS
(31.827233, -99.423022)",
C.N.M.I.,2015,3,,-,0,,4,,4,,19,,C.N.M.I.,
W.S. CENTRAL,2015,3,204,,204,,415,,981,,1141,,,
TENNESSEE,2015,3,25,,25,,54,,100,,97,,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2015,3,9,,9,,20,,48,,41,,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2015,3,326,,326,,674,,1231,,1548,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2015,3,25,,12,,25,,60,,61,,"NEVADA
(39.491833, -117.070159)",
E.S. CENTRAL,2015,3,73,,73,,137,,265,,307,,,
MOUNTAIN,2015,3,100,,55,,169,,256,,268,,,
LOUISIANA,2015,3,,-,0,,42,,,-,79,,"LOUISIANA
(31.31111, -92.445)",
VIRGINIA,2015,3,54,,30,,54,,131,,145,,"VIRGINIA
(37.542699, -78.45822)",
MAINE,2015,3,7,,3,,7,,15,,12,,"MAINE
(45.252223, -68.986647)",
OHIO,2015,3,21,,21,,50,,93,,107,,"OHIO
(40.056807, -82.405897)",
IDAHO,2015,3,1,,1,,5,,8,,7,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2015,3,41,,32,,79,,133,,141,,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2015,3,57,,57,,110,,216,,214,,"ILLINOIS
(40.477092, -88.993221)",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,"VIRGIN ISL.
(18.060868, -64.840836)",
ARKANSAS,2015,3,6,,6,,34,,65,,73,,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2015,3,6,,6,,14,,28,,48,,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2015,3,11,,11,,58,,79,,147,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2015,3,50,,50,,94,,200,,246,,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2015,3,38,,7,,102,,75,,91,,"ARIZONA
(34.869712, -111.760902)",
ALABAMA,2015,3,29,,26,,34,,85,,99,,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2015,3,93,,34,,109,,205,,199,,"NEW JERSEY
(40.121601, -74.321404)",
NEBRASKA,2015,3,,-,0,,12,,10,,26,,"NEBRASKA
(41.640503, -99.367122)",
OKLAHOMA,2015,3,14,,14,,16,,46,,45,,"OKLAHOMA
(35.468494, -97.521264)",
AMER. SAMOA,2015,3,,-,0,,0,,,-,1,,AMER. SAMOA,
RHODE ISLAND,2015,3,10,,2,,13,,25,,12,,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2015,3,10,,6,,12,,25,,20,,DIST. OF COL.,
NEW YORK,2015,3,42,,32,,64,,116,,138,,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2015,3,29,,22,,66,,87,,93,,"MINNESOTA
(44.943719, -93.094281)",
IOWA,2015,3,,-,0,,18,,,-,36,,"IOWA
(42.46942, -93.815856)",
MID. ATLANTIC,2015,3,326,,258,,384,,882,,936,,,
KANSAS,2015,3,,-,0,,12,,19,,28,,"KANSAS
(38.345528, -98.201847)",
COLORADO,2015,3,18,,16,,24,,54,,43,,"COLORADO
(38.841772, -106.132562)",
NEW ENGLAND,2015,3,42,,42,,81,,179,,232,,,
S. ATLANTIC,2015,3,295,,295,,492,,1028,,1196,,,
MONTANA,2015,3,,-,0,,1,,,-,5,,"MONTANA
(47.062617, -109.430168)",
VERMONT,2015,3,2,,0,,3,,5,,,-,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2015,3,3,,3,,24,,31,,57,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2015,3,1,,0,,4,,5,,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
E.N. CENTRAL,2015,3,141,,141,,238,,516,,510,,,
PACIFIC,2015,3,402,,402,,807,,1535,,1889,,,
SOUTH DAKOTA,2015,3,,-,0,,5,,9,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2015,3,24,,24,,36,,82,,74,,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2015,3,11,,6,,23,,47,,52,,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2015,3,14,,10,,17,,48,,37,,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2015,3,13,,4,,13,,27,,21,,"UTAH
(39.359772, -111.584173)",
OREGON,2015,3,15,,15,,24,,50,,54,,"OREGON
(44.567912, -120.156945)",
SOUTH CAROLINA,2015,3,23,,21,,34,,78,,54,,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2015,3,16,,16,,40,,79,,100,,"HAWAII
(21.30992, -157.858158)",
NEW HAMPSHIRE,2015,3,1,,1,,4,,8,,9,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK CITY,2015,3,150,,118,,160,,428,,458,,NEW YORK CITY,
NORTH CAROLINA,2015,3,32,,32,,81,,106,,115,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2015,3,39,,39,,61,,147,,139,,"WASHINGTON
(47.517368, -120.467672)",
PUERTO RICO,2015,3,10,,10,,18,,33,,30,,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2015,3,,-,0,,0,,,-,2,,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2015,3,11,,7,,29,,40,,53,,"KENTUCKY
(37.64591, -84.774043)",
NORTH DAKOTA,2015,3,,-,0,,5,,5,,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2015,4,7,,7,,13,,40,,48,,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2015,4,,-,0,,9,,15,,38,,"NEBRASKA
(41.640503, -99.367122)",
